crisis_id,strategy_id,evidence_type,status,start,end,return,maximum_drawdown
2000_2003,GLOBAL_DEVELOPED_WORLD,CAUSAL_IMPLEMENTATION_EVIDENCE,UNAVAILABLE_NO_ACCEPTED_HISTORY,2000-01-01,2003-12-31,,
2000_2003,CORE_1_GLOBAL_ABSOLUTE_MOMENTUM,CAUSAL_IMPLEMENTATION_EVIDENCE,UNAVAILABLE_NO_ACCEPTED_HISTORY,2000-01-01,2003-12-31,,
2000_2003,M2_BASE_TOP7_CASH1,CAUSAL_ROTATION_IMPLEMENTATION_EVIDENCE_FROM_2017_ONLY,UNAVAILABLE_NO_ACCEPTED_HISTORY,2000-01-01,2003-12-31,,
2007_2009,GLOBAL_DEVELOPED_WORLD,CAUSAL_IMPLEMENTATION_EVIDENCE,UNAVAILABLE_NO_ACCEPTED_HISTORY,2007-01-01,2009-12-31,,
2007_2009,CORE_1_GLOBAL_ABSOLUTE_MOMENTUM,CAUSAL_IMPLEMENTATION_EVIDENCE,UNAVAILABLE_NO_ACCEPTED_HISTORY,2007-01-01,2009-12-31,,
2007_2009,M2_BASE_TOP7_CASH1,CAUSAL_ROTATION_IMPLEMENTATION_EVIDENCE_FROM_2017_ONLY,UNAVAILABLE_NO_ACCEPTED_HISTORY,2007-01-01,2009-12-31,,
2011,GLOBAL_DEVELOPED_WORLD,CAUSAL_IMPLEMENTATION_EVIDENCE,AVAILABLE,2011-01-01,2011-12-31,-0.012553707515505219,-0.24244649128676454
2011,CORE_1_GLOBAL_ABSOLUTE_MOMENTUM,CAUSAL_IMPLEMENTATION_EVIDENCE,UNAVAILABLE_NO_ACCEPTED_HISTORY,2011-01-01,2011-12-31,,
2011,M2_BASE_TOP7_CASH1,CAUSAL_ROTATION_IMPLEMENTATION_EVIDENCE_FROM_2017_ONLY,UNAVAILABLE_NO_ACCEPTED_HISTORY,2011-01-01,2011-12-31,,
2015_2016,GLOBAL_DEVELOPED_WORLD,CAUSAL_IMPLEMENTATION_EVIDENCE,AVAILABLE,2015-01-01,2016-12-31,0.34715219421101917,-0.1628064243448848
2015_2016,CORE_1_GLOBAL_ABSOLUTE_MOMENTUM,CAUSAL_IMPLEMENTATION_EVIDENCE,UNAVAILABLE_NO_ACCEPTED_HISTORY,2015-01-01,2016-12-31,,
2015_2016,M2_BASE_TOP7_CASH1,CAUSAL_ROTATION_IMPLEMENTATION_EVIDENCE_FROM_2017_ONLY,UNAVAILABLE_NO_ACCEPTED_HISTORY,2015-01-01,2016-12-31,,
2018,GLOBAL_DEVELOPED_WORLD,CAUSAL_IMPLEMENTATION_EVIDENCE,AVAILABLE,2018-01-01,2018-12-31,-0.03127536050939628,-0.14952004517221928
2018,CORE_1_GLOBAL_ABSOLUTE_MOMENTUM,CAUSAL_IMPLEMENTATION_EVIDENCE,AVAILABLE,2018-01-01,2018-12-31,-0.08174500188968503,-0.14952004517221906
2018,M2_BASE_TOP7_CASH1,CAUSAL_ROTATION_IMPLEMENTATION_EVIDENCE_FROM_2017_ONLY,AVAILABLE,2018-01-01,2018-12-31,-0.08444794306656045,-0.12521001837200396
2020,GLOBAL_DEVELOPED_WORLD,CAUSAL_IMPLEMENTATION_EVIDENCE,AVAILABLE,2020-01-01,2020-12-31,0.1103626943005167,-0.2558185599683075
2020,CORE_1_GLOBAL_ABSOLUTE_MOMENTUM,CAUSAL_IMPLEMENTATION_EVIDENCE,AVAILABLE,2020-01-01,2020-12-31,-0.0815891746814219,-0.2558185599683076
2020,M2_BASE_TOP7_CASH1,CAUSAL_ROTATION_IMPLEMENTATION_EVIDENCE_FROM_2017_ONLY,AVAILABLE,2020-01-01,2020-12-31,0.17121000687112242,-0.21887910393821963
2022,GLOBAL_DEVELOPED_WORLD,CAUSAL_IMPLEMENTATION_EVIDENCE,AVAILABLE,2022-01-01,2022-12-31,-0.08457711442786076,-0.14895220865370118
2022,CORE_1_GLOBAL_ABSOLUTE_MOMENTUM,CAUSAL_IMPLEMENTATION_EVIDENCE,AVAILABLE,2022-01-01,2022-12-31,-0.1448355627628033,-0.1504115429903421
2022,M2_BASE_TOP7_CASH1,CAUSAL_ROTATION_IMPLEMENTATION_EVIDENCE_FROM_2017_ONLY,AVAILABLE,2022-01-01,2022-12-31,-0.11070936473954529,-0.1416038916557002
