strategy_id,sipp_size_gbp,commission_estimate,spread_estimate,fx_estimate,ter_estimate,tracking_difference_estimate,platform_fee_estimate,cash_cost_estimate,turnover,total_estimated_annual_cost,cost_as_percentage,canonical_cost_comparison,double_cost_comparison,source_url,retrieval_date,assumption_notes
GLOBAL_CASH_75_25,100000,48.01566576589595,28.251177411185292,0.0,150.0,0.0,71.88,0.0,0.14125588705592645,298.1468431770812,0.0029814684317708124,76.26684317708124,152.53368635416248,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
GLOBAL_CASH_75_25,250000,48.01566576589595,70.62794352796323,0.0,375.0,0.0,179.88,0.0,0.14125588705592645,673.5236092938592,0.0026940944371754367,118.64360929385919,237.28721858771837,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
GLOBAL_CASH_75_25,500000,48.01566576589595,141.25588705592645,0.0,750.0,0.0,179.88,0.0,0.14125588705592645,1119.1515528218224,0.002238303105643645,189.2715528218224,378.5431056436448,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
GLOBAL_CASH_75_25,750000,48.01566576589595,211.88383058388968,0.0,1125.0,0.0,179.88,0.0,0.14125588705592645,1564.7794963497856,0.0020863726617997144,259.89949634978564,519.7989926995713,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
GLOBAL_CASH_75_25,1000000,48.01566576589595,282.5117741118529,0.0,1500.0,0.0,179.88,0.0,0.14125588705592645,2010.4074398777489,0.002010407439877749,330.52743987774886,661.0548797554977,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
M2_BASE_TOP7_CASH1_ROTATION,100000,323.47395884393063,1058.4030036399947,0.0,550.0,0.0,71.88,0.0,5.292015018199973,2003.7569624839252,0.02003756962483925,1381.8769624839254,2763.7539249678507,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
M2_BASE_TOP7_CASH1_ROTATION,250000,323.47395884393063,2646.0075090999862,0.0,1375.0000000000002,0.0,179.88,0.0,5.292015018199973,4524.361467943917,0.01809744587177567,2969.481467943917,5938.962935887834,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
M2_BASE_TOP7_CASH1_ROTATION,500000,323.47395884393063,5292.0150181999725,0.0,2750.0000000000005,0.0,179.88,0.0,5.292015018199973,8545.368977043903,0.017090737954087807,5615.488977043903,11230.977954087806,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
M2_BASE_TOP7_CASH1_ROTATION,750000,323.47395884393063,7938.0225272999605,0.0,4125.0,0.0,179.88,0.0,5.292015018199973,12566.37648614389,0.016755168648191855,8261.496486143891,16522.992972287782,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
M2_BASE_TOP7_CASH1_ROTATION,1000000,323.47395884393063,10584.030036399945,0.0,5500.000000000001,0.0,179.88,0.0,5.292015018199973,16587.383995243876,0.016587383995243874,10907.503995243875,21815.00799048775,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
CORE_0_GLOBAL,100000,0.4389,0.0,0.0,200.0,0.0,71.88,0.0,0.0,272.3189,0.002723189,0.4389,0.8778,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
CORE_0_GLOBAL,250000,0.4389,0.0,0.0,500.0,0.0,179.88,0.0,0.0,680.3189,0.0027212755999999998,0.4389,0.8778,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
CORE_0_GLOBAL,500000,0.4389,0.0,0.0,1000.0,0.0,179.88,0.0,0.0,1180.3189,0.0023606378,0.4389,0.8778,https://www.ii.co.uk/our-charges,2026-08-24,Conservative ad-hoc £3.99 per UK ETF leg; published free monthly trade ignored. Preferred GBP lines imply zero FX. Active TER uses median 0.55% of documented current-map TER values; missing product TER/tracking difference remains an open implementation item.
