economic_exposure_family_id,fund_name,ticker,isin,exchange,domicile,ucits_status,priips_kid_status,uk_retail_status,sipp_availability,broker_availability,distribution_policy,ter,tracking_difference,aum,launch_date,replication_method,base_currency,trading_currency,currency_hedging_status,underlying_index,indicative_spread,traded_value,closure_risk,substitute_instrument,no_investment_rule,source_url,retrieval_date,evidence_notes
CHINA_INTERNET,KRANESHARES ICAV CSI CHINA INTERNET UCITS ETF GBP,KWBP,IE00BMW13836,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,NOT_DETERMINED,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,KWBH|IE000CD5SH30,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D21%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.
EUROPE_AEROSPACE_DEFENCE,iShares Europe Defence UCITS ETF,DFEU,IE000IAXNM41,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,0.0034999999999999996,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,"May 23, 2025",NOT_VERIFIED,EUR,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,EDEG|IE000WRQ9RR1,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D17%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.
EUROPE_BANKS,INVESCO MARKETS PLC INVESCO EURO STOXX OPT BANKS UCITS ETF,S7XP,IE00B3Q19T94,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,NOT_DETERMINED,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,CB5|LU1834983477,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D12%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.
GLOBAL_AEROSPACE_DEFENCE,FIRST TRUST GLOBAL FUNDS ICAV FT INDXX GLOBAL AEROSPACE & DEF,ICBM,IE000NVDQXE1,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,NOT_DETERMINED,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,MISL|IE000NVDQXE1,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D4%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.
GLOBAL_AGRIBUSINESS,iShares Agribusiness UCITS ETF,SPAG,IE00B6R52143,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,YES,CURRENT_PUBLIC_DOCUMENTATION_CONFIRMED,PUBLIC_UK_ELIGIBLE_CONFIRMED,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,0.0055000000000000005,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,16/Sept/2011,Replicated,USD,GBP,UNHEDGED,S&P Commodity Producers Agribusiness Index NTR,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,ISAG|IE00B6R52143,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D17%26size%3D100;https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-agribusiness-ucits-etf-usd-acc-gb-ie00b6r52143-en.pdf,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.
GLOBAL_AI,iShares AI Adopters & Applications UCITS ETF,AIAA,IE000Q9W2IR3,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,0.0034999999999999996,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,"Dec 05, 2024",NOT_VERIFIED,USD,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,IAIX|IE000LGWDNE5,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D14%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.
GLOBAL_BATTERY_EV,WISDOMTREE ISSUER ICAV WT BATTERY SOLUTIONS UCITS ETF - USD ACC,CHRG,IE00BKLF1R75,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,VOLT|IE00BKLF1R75,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D30%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.
GLOBAL_BIOTECHNOLOGY,INVESCO MARKETS PLC INVESCO NASDAQ BIOTECH UCITS ETF ACC,SBIX,IE00BQ70R696,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,SBIO|IE00BQ70R696,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D12%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.
GLOBAL_CLEAN_ENERGY,iShares Global Clean Energy Transition UCITS ETF,INRA,IE000U58J0M1,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,0.006500000000000001,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,"Feb 23, 2022",NOT_VERIFIED,USD,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,GCEX|IE00BLRB0028,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D13%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.
GLOBAL_CYBERSECURITY,WISDOMTREE ISSUER ICAV WT CYBERSECURITY UCITS ETF - USD ACC,CYSE,IE00BLPK3577,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,WCBR|IE00BLPK3577,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D30%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.
