policy_id,switch_mode,exclusion_count,excluded_spell_ids,excluded_families_and_dates,exclusion_ranking_field,replacement_rule,replacement_control_id,net_cagr,maximum_drawdown,ulcer_index,delta_cagr,incremental_vs_replacement_control,dependency_status
M2_TOP7_CASH0_100,STATIC_MONTHLY,1,SPELL-0001,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,GLOBAL_100,0.11597324792053465,-0.23530840174956913,0.08143366840867422,-0.015403012994354093,-3.758437272072257e-05,RIGHT_TAIL_SIGN_REVERSAL
M2_TOP7_CASH0_100,STATIC_MONTHLY,3,SPELL-0001;SPELL-0002;SPELL-0003,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01;GLOBAL_BATTERY_EV:2019-10-31:2021-09-01;GLOBAL_SEMICONDUCTORS:2023-01-31:2024-09-02,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,GLOBAL_100,0.0946895929506466,-0.22341277467683351,0.0866472010915504,-0.03668666796424214,-0.021321239342608767,RIGHT_TAIL_SIGN_REVERSAL
M2_TOP7_CASH0_100,STATIC_MONTHLY,5,SPELL-0001;SPELL-0002;SPELL-0003;SPELL-0004;SPELL-0005,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01;GLOBAL_BATTERY_EV:2019-10-31:2021-09-01;GLOBAL_SEMICONDUCTORS:2023-01-31:2024-09-02;GLOBAL_BATTERY_EV:2025-07-31:2026-07-01;GLOBAL_OIL_GAS:2021-09-30:2023-02-01,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,GLOBAL_100,0.07765519418703826,-0.2650831886228623,0.10966579242362393,-0.053721066727850486,-0.038355638106217116,RIGHT_TAIL_SIGN_REVERSAL
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,1,SPELL-0001,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,POLICY_3_BALANCED_REGIME_STRATEGY|SWITCH_IMMEDIATE_MONTHLY|MATCHED_AVERAGE_EXPOSURE,0.07705590679466767,-0.1687668671790422,0.06185497574427401,-0.003254134326379443,-0.025137502244558796,RIGHT_TAIL_SIGN_REVERSAL
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,3,SPELL-0001;SPELL-0002;SPELL-0003,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01;GLOBAL_SEMICONDUCTORS:2023-04-28:2024-09-02;GLOBAL_BATTERY_EV:2025-07-31:2026-07-01,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,POLICY_3_BALANCED_REGIME_STRATEGY|SWITCH_IMMEDIATE_MONTHLY|MATCHED_AVERAGE_EXPOSURE,0.07310265603481692,-0.1687668671790422,0.06209678563695386,-0.0072073850862302,-0.029090753004409553,RIGHT_TAIL_SIGN_REVERSAL
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,5,SPELL-0001;SPELL-0002;SPELL-0003;SPELL-0004;SPELL-0005,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01;GLOBAL_SEMICONDUCTORS:2023-04-28:2024-09-02;GLOBAL_BATTERY_EV:2025-07-31:2026-07-01;GLOBAL_BATTERY_EV:2020-04-30:2021-09-01;GLOBAL_GOLD_MINERS:2025-08-29:2026-05-01,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,POLICY_3_BALANCED_REGIME_STRATEGY|SWITCH_IMMEDIATE_MONTHLY|MATCHED_AVERAGE_EXPOSURE,0.0693595731571639,-0.1687668671790422,0.062409998216866686,-0.010950467963883215,-0.03283383588206257,RIGHT_TAIL_SIGN_REVERSAL
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,1,SPELL-0001,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,POLICY_3_BALANCED_REGIME_STRATEGY|SWITCH_ASYMMETRIC_HYSTERESIS|MATCHED_AVERAGE_EXPOSURE,0.07097323386382337,-0.1687704707594745,0.060723131778539365,-0.0029518663712559956,-0.028178238115810883,RIGHT_TAIL_SIGN_REVERSAL
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,3,SPELL-0001;SPELL-0002;SPELL-0003,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01;GLOBAL_BATTERY_EV:2025-07-31:2026-07-01;GLOBAL_BATTERY_EV:2020-05-29:2021-09-01,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,POLICY_3_BALANCED_REGIME_STRATEGY|SWITCH_ASYMMETRIC_HYSTERESIS|MATCHED_AVERAGE_EXPOSURE,0.06720094851842062,-0.1687704707594745,0.060948515557940015,-0.006724151716658744,-0.03195052346121363,RIGHT_TAIL_SIGN_REVERSAL
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,5,SPELL-0001;SPELL-0002;SPELL-0003;SPELL-0004;SPELL-0005,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01;GLOBAL_BATTERY_EV:2025-07-31:2026-07-01;GLOBAL_BATTERY_EV:2020-05-29:2021-09-01;GLOBAL_GOLD_MINERS:2025-08-29:2026-05-01;GLOBAL_SEMICONDUCTORS:2023-05-31:2024-09-02,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,POLICY_3_BALANCED_REGIME_STRATEGY|SWITCH_ASYMMETRIC_HYSTERESIS|MATCHED_AVERAGE_EXPOSURE,0.06424484389046348,-0.1687704707594745,0.06086986783793664,-0.00968025634461589,-0.03490662808917078,RIGHT_TAIL_SIGN_REVERSAL
GLOBAL_50_M2_50,STATIC_MONTHLY,1,SPELL-0001,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,GLOBAL_100,0.11609191524590168,-0.23615256304303933,0.059067792796867746,-0.007954177531294349,8.108295264630527e-05,RIGHT_TAIL_REMAINS_INCREMENTALLY_POSITIVE
GLOBAL_50_M2_50,STATIC_MONTHLY,3,SPELL-0001;SPELL-0002;SPELL-0003,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01;GLOBAL_BATTERY_EV:2019-10-31:2021-09-01;GLOBAL_SEMICONDUCTORS:2023-01-31:2024-09-02,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,GLOBAL_100,0.1054762740279056,-0.21762662215433826,0.05952614519362759,-0.018569818749290423,-0.01053455826534977,RIGHT_TAIL_SIGN_REVERSAL
GLOBAL_50_M2_50,STATIC_MONTHLY,5,SPELL-0001;SPELL-0002;SPELL-0003;SPELL-0004;SPELL-0005,GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01;GLOBAL_BATTERY_EV:2019-10-31:2021-09-01;GLOBAL_SEMICONDUCTORS:2023-01-31:2024-09-02;GLOBAL_BATTERY_EV:2025-07-31:2026-07-01;GLOBAL_OIL_GAS:2021-09-30:2023-02-01,normalised_arithmetic_return_contribution,EXCLUDED_M2_SPELL_SLOT_REMAINS_GBP_CASH;OTHER_BASELINE_WEIGHTS_UNCHANGED,GLOBAL_100,0.0967786008501268,-0.21762662215433826,0.06837845483745213,-0.027267491927069232,-0.019232231443128578,RIGHT_TAIL_SIGN_REVERSAL
