policy_id,switch_mode,decision_date,eligible_universe_hash,top7_families,risk_score,leadership_state,regime,raw_global_weight,raw_m2_weight,raw_cash_weight,previous_global_weight,previous_m2_weight,previous_cash_weight,applied_global_weight,applied_m2_weight,applied_cash_weight,risk_confirmation_count,leadership_confirmation_count,switch_decision,execution_date,execution_lag_xlon_sessions,execution_status,execution_price_evidence,execution_total_return_endpoints_gbp_json,target_weights_json,post_execution_holdings,traded_notional_fraction,trade_legs,transaction_cost_rate,transaction_cost_value
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017-02-28,9c22ced62f9145d7ff45ebd4f7e866a3ddc0e4bf2e6263eaf1d5bb7e1389d7b2,GLOBAL_SEMICONDUCTORS;GLOBAL_BIOTECHNOLOGY;EUROPE_BANKS;GLOBAL_WATER;GLOBAL_AGRIBUSINESS;GLOBAL_OIL_GAS;GLOBAL_INFRASTRUCTURE,0,LEADERSHIP_WEAK,R1_BROAD_RISK_ON,0.75,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.25,0,0,IMMEDIATE_MONTHLY,2017-03-01,1.0,EXECUTED,ACCEPTED_A2R2_GBP_TOTAL_RETURN_ENDPOINTS;NO_FORWARD_FILL;NO_SAME_CLOSE,"{""GLOBAL_DEVELOPED_WORLD"": 191.8413521972357}","{""GLOBAL_DEVELOPED_WORLD"": 0.75}",GLOBAL_DEVELOPED_WORLD,0.75,1,0.00151596,0.00151596
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017-03-31,9c22ced62f9145d7ff45ebd4f7e866a3ddc0e4bf2e6263eaf1d5bb7e1389d7b2,EUROPE_BANKS;GLOBAL_SEMICONDUCTORS;GLOBAL_WATER;GLOBAL_AGRIBUSINESS;GLOBAL_BIOTECHNOLOGY;GLOBAL_INFRASTRUCTURE;GLOBAL_OIL_GAS,0,LEADERSHIP_STRONG,R2_LEADERSHIP_RISK_ON,0.75,0.0,0.25,0.75,0.0,0.25,0.75,0.0,0.25,0,1,IMMEDIATE_MONTHLY,2017-04-03,1.0,EXECUTED,ACCEPTED_A2R2_GBP_TOTAL_RETURN_ENDPOINTS;NO_FORWARD_FILL;NO_SAME_CLOSE,"{""GLOBAL_DEVELOPED_WORLD"": 188.5740423864614}","{""GLOBAL_DEVELOPED_WORLD"": 0.75}",GLOBAL_DEVELOPED_WORLD,0.0032701903544253286,1,2.2730658521588646e-05,2.2407355463606077e-05
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017-04-28,9c22ced62f9145d7ff45ebd4f7e866a3ddc0e4bf2e6263eaf1d5bb7e1389d7b2,EUROPE_BANKS;GLOBAL_WATER;GLOBAL_SEMICONDUCTORS;GLOBAL_BIOTECHNOLOGY;GLOBAL_AGRIBUSINESS;GLOBAL_INFRASTRUCTURE;GLOBAL_OIL_GAS,0,LEADERSHIP_STRONG,R2_LEADERSHIP_RISK_ON,0.75,0.0,0.25,0.75,0.0,0.25,0.75,0.0,0.25,0,2,IMMEDIATE_MONTHLY,2017-05-02,1.0,EXECUTED,ACCEPTED_A2R2_GBP_TOTAL_RETURN_ENDPOINTS;NO_FORWARD_FILL;NO_SAME_CLOSE,"{""GLOBAL_DEVELOPED_WORLD"": 186.26179236652877}","{""GLOBAL_DEVELOPED_WORLD"": 0.75}",GLOBAL_DEVELOPED_WORLD,0.002352077947775477,1,2.1044386198665916e-05,2.0554692161632565e-05
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017-05-31,ec53dd9faccba82ee67cb36ebc7a8eba16aa83e5894dda04fa5d2b6a799f4c29,EUROPE_BANKS;GLOBAL_SEMICONDUCTORS;GLOBAL_INFRASTRUCTURE;GLOBAL_AGRIBUSINESS;GLOBAL_BIOTECHNOLOGY;GLOBAL_OIL_GAS,0,LEADERSHIP_STRONG,R2_LEADERSHIP_RISK_ON,0.75,0.0,0.25,0.75,0.0,0.25,0.75,0.0,0.25,0,3,IMMEDIATE_MONTHLY,2017-06-01,1.0,EXECUTED,ACCEPTED_A2R2_GBP_TOTAL_RETURN_ENDPOINTS;NO_FORWARD_FILL;NO_SAME_CLOSE,"{""GLOBAL_DEVELOPED_WORLD"": 190.5092951205355}","{""GLOBAL_DEVELOPED_WORLD"": 0.75}",GLOBAL_DEVELOPED_WORLD,0.00417142910570667,1,2.4407969290302192e-05,2.4248272418429268e-05
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017-06-30,9c22ced62f9145d7ff45ebd4f7e866a3ddc0e4bf2e6263eaf1d5bb7e1389d7b2,EUROPE_BANKS;GLOBAL_SEMICONDUCTORS;GLOBAL_BIOTECHNOLOGY;GLOBAL_INFRASTRUCTURE;GLOBAL_AGRIBUSINESS;GLOBAL_WATER;GLOBAL_OIL_GAS,0,LEADERSHIP_STRONG,R2_LEADERSHIP_RISK_ON,0.75,0.0,0.25,0.75,0.0,0.25,0.75,0.0,0.25,0,4,IMMEDIATE_MONTHLY,2017-07-03,1.0,EXECUTED,ACCEPTED_A2R2_GBP_TOTAL_RETURN_ENDPOINTS;NO_FORWARD_FILL;NO_SAME_CLOSE,"{""GLOBAL_DEVELOPED_WORLD"": 191.0873576255187}","{""GLOBAL_DEVELOPED_WORLD"": 0.75}",GLOBAL_DEVELOPED_WORLD,0.0005330063160572385,1,1.7094298549570898e-05,1.702147105786387e-05
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017-07-31,9c22ced62f9145d7ff45ebd4f7e866a3ddc0e4bf2e6263eaf1d5bb7e1389d7b2,EUROPE_BANKS;GLOBAL_BIOTECHNOLOGY;GLOBAL_SEMICONDUCTORS;GLOBAL_AGRIBUSINESS;GLOBAL_INFRASTRUCTURE;GLOBAL_WATER;GLOBAL_OIL_GAS,0,LEADERSHIP_STRONG,R2_LEADERSHIP_RISK_ON,0.75,0.0,0.25,0.75,0.0,0.25,0.75,0.0,0.25,0,5,IMMEDIATE_MONTHLY,2017-08-01,1.0,EXECUTED,ACCEPTED_A2R2_GBP_TOTAL_RETURN_ENDPOINTS;NO_FORWARD_FILL;NO_SAME_CLOSE,"{""GLOBAL_DEVELOPED_WORLD"": 191.36382230181502}","{""GLOBAL_DEVELOPED_WORLD"": 0.75}",GLOBAL_DEVELOPED_WORLD,0.0002393430397188423,1,1.6489197128458492e-05,1.6437175888042167e-05
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017-08-31,9c22ced62f9145d7ff45ebd4f7e866a3ddc0e4bf2e6263eaf1d5bb7e1389d7b2,EUROPE_BANKS;GLOBAL_BIOTECHNOLOGY;GLOBAL_SEMICONDUCTORS;GLOBAL_INFRASTRUCTURE;GLOBAL_AGRIBUSINESS;GLOBAL_WATER;GLOBAL_OIL_GAS,0,LEADERSHIP_STRONG,R2_LEADERSHIP_RISK_ON,0.75,0.0,0.25,0.75,0.0,0.25,0.75,0.0,0.25,0,6,IMMEDIATE_MONTHLY,2017-09-01,1.0,EXECUTED,ACCEPTED_A2R2_GBP_TOTAL_RETURN_ENDPOINTS;NO_FORWARD_FILL;NO_SAME_CLOSE,"{""GLOBAL_DEVELOPED_WORLD"": 195.13379516040084}","{""GLOBAL_DEVELOPED_WORLD"": 0.75}",GLOBAL_DEVELOPED_WORLD,0.003606459853834676,1,2.2989869765841512e-05,2.3256606638795423e-05
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017-09-29,3e9f06b83e2d8936d83fe193ba43df3c1b2b3ac49a03fa28466f43a92a59c2b6,GLOBAL_ROBOTICS_AUTOMATION;EUROPE_BANKS;GLOBAL_BIOTECHNOLOGY;GLOBAL_AGRIBUSINESS;GLOBAL_OIL_GAS;GLOBAL_WATER;GLOBAL_SEMICONDUCTORS,0,LEADERSHIP_STRONG,R2_LEADERSHIP_RISK_ON,0.75,0.0,0.25,0.75,0.0,0.25,0.75,0.0,0.25,0,7,IMMEDIATE_MONTHLY,2017-10-02,1.0,EXECUTED,ACCEPTED_A2R2_GBP_TOTAL_RETURN_ENDPOINTS;NO_FORWARD_FILL;NO_SAME_CLOSE,"{""GLOBAL_DEVELOPED_WORLD"": 194.65626526498002}","{""GLOBAL_DEVELOPED_WORLD"": 0.75}",GLOBAL_DEVELOPED_WORLD,0.0004934349499869928,1,1.6792481943142425e-05,1.695650956638484e-05
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017-10-31,3e9f06b83e2d8936d83fe193ba43df3c1b2b3ac49a03fa28466f43a92a59c2b6,GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_SEMICONDUCTORS;GLOBAL_AGRIBUSINESS;GLOBAL_OIL_GAS;EUROPE_BANKS;GLOBAL_WATER;GLOBAL_BIOTECHNOLOGY,0,LEADERSHIP_STRONG,R2_LEADERSHIP_RISK_ON,0.75,0.0,0.25,0.75,0.0,0.25,0.75,0.0,0.25,0,8,IMMEDIATE_MONTHLY,2017-11-01,1.0,EXECUTED,ACCEPTED_A2R2_GBP_TOTAL_RETURN_ENDPOINTS;NO_FORWARD_FILL;NO_SAME_CLOSE,"{""GLOBAL_DEVELOPED_WORLD"": 199.00430062854895}","{""GLOBAL_DEVELOPED_WORLD"": 0.75}",GLOBAL_DEVELOPED_WORLD,0.004087065012586266,1,2.3718916586326287e-05,2.435246744807481e-05
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017-11-30,3e9f06b83e2d8936d83fe193ba43df3c1b2b3ac49a03fa28466f43a92a59c2b6,GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_AGRIBUSINESS;GLOBAL_OIL_GAS;GLOBAL_WATER;EUROPE_BANKS;GLOBAL_SEMICONDUCTORS;GLOBAL_INFRASTRUCTURE,0,LEADERSHIP_STRONG,R2_LEADERSHIP_RISK_ON,0.75,0.0,0.25,0.75,0.0,0.25,0.75,0.0,0.25,0,9,IMMEDIATE_MONTHLY,2017-12-01,1.0,EXECUTED,ACCEPTED_A2R2_GBP_TOTAL_RETURN_ENDPOINTS;NO_FORWARD_FILL;NO_SAME_CLOSE,"{""GLOBAL_DEVELOPED_WORLD"": 196.24030874042117}","{""GLOBAL_DEVELOPED_WORLD"": 0.75}",GLOBAL_DEVELOPED_WORLD,0.00270175844960141,1,2.111083376224273e-05,2.1450443114075343e-05
