policy_id,switch_mode,control_id,monthly_observations,mean_monthly_incremental_return,annualised_incremental_return,hac_standard_error,hac_t_stat,hac_p_value,bootstrap_lower_95,bootstrap_upper_95,raw_p_value,inference_status,bh_q_value
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,MATCHED_AVERAGE_EXPOSURE,113,0.0,0.0,0.0,,,0.0,0.0,,CONTEXTUAL_ONLY_ECONOMIC_GATES_PRIMARY,
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,MATCHED_AVERAGE_EXPOSURE,113,0.0,0.0,0.0,,,0.0,0.0,,CONTEXTUAL_ONLY_ECONOMIC_GATES_PRIMARY,
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,MATCHED_AVERAGE_EXPOSURE,113,-0.001819231938390383,-0.021830783260684595,0.0009917863478091148,-1.8342982260333789,0.06660973735781134,-0.004042639219466687,-8.59931390032467e-05,0.06660973735781134,CONTEXTUAL_ONLY_ECONOMIC_GATES_PRIMARY,0.15508510909612955
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,MATCHED_AVERAGE_EXPOSURE,113,-0.002005551849550114,-0.024066622194601366,0.0010777019878980903,-1.860952166806027,0.062750931893126,-0.004406519010203614,-3.184204171829578e-05,0.062750931893126,CONTEXTUAL_ONLY_ECONOMIC_GATES_PRIMARY,0.15508510909612955
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,MATCHED_AVERAGE_EXPOSURE,113,3.905093467795663e-05,0.00046861121613547954,0.0007132843556965576,0.054748059965259506,0.9563391804353105,-0.00128182290466896,0.0017217826009904942,0.9563391804353105,CONTEXTUAL_ONLY_ECONOMIC_GATES_PRIMARY,0.9563391804353105
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,MATCHED_AVERAGE_EXPOSURE,113,7.718180057292694e-05,0.0009261816068751233,0.0006799525179866456,0.11351057394634548,0.9096257804664742,-0.0011441315956314951,0.0016796933194505904,0.9096257804664742,CONTEXTUAL_ONLY_ECONOMIC_GATES_PRIMARY,0.9563391804353105
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,MATCHED_AVERAGE_EXPOSURE,113,-0.0017095299456322325,-0.02051435934758679,0.0011005352907185555,-1.5533622229561175,0.12033662263908716,-0.004042216424226771,0.0005005553008356138,0.12033662263908716,CONTEXTUAL_ONLY_ECONOMIC_GATES_PRIMARY,0.16044883018544956
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,MATCHED_AVERAGE_EXPOSURE,113,-0.0019527204280038067,-0.02343264513604568,0.0011757716276389989,-1.6607990719464418,0.09675380762816628,-0.00441934587768887,0.00041760882920603704,0.09675380762816628,CONTEXTUAL_ONLY_ECONOMIC_GATES_PRIMARY,0.15508510909612955
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,MATCHED_AVERAGE_EXPOSURE,113,-0.0023309658378767337,-0.027971590054520802,0.0014042540643719127,-1.6599317011194237,0.09692819318508096,-0.005347700672450148,0.00036516066697054835,0.09692819318508096,CONTEXTUAL_ONLY_ECONOMIC_GATES_PRIMARY,0.15508510909612955
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,MATCHED_AVERAGE_EXPOSURE,113,-0.002649518896193762,-0.031794226754325146,0.001508191649522405,-1.7567521322855608,0.07896006734485199,-0.005881576831048117,0.0002660352352082643,0.07896006734485199,CONTEXTUAL_ONLY_ECONOMIC_GATES_PRIMARY,0.15508510909612955
