regime,strategy_id,sample_status,annualised_return,maximum_drawdown,ulcer_index,rank_by_return,rank_by_drawdown,rank_by_balanced_score,interpretation,summary_level,risk_score_substate
R1_BROAD_RISK_ON,GLOBAL_0_M2_100,INSUFFICIENT_REGIME_SAMPLE,0.1308044144194338,-0.014393974562113998,,1.0,14.0,2.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,GLOBAL_100,INSUFFICIENT_REGIME_SAMPLE,0.09261284025942018,-0.0061157283989341504,,7.0,9.0,4.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,GLOBAL_25_CASH75,INSUFFICIENT_REGIME_SAMPLE,0.03964566503379019,0.0,,15.0,1.0,4.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,GLOBAL_50_CASH50,INSUFFICIENT_REGIME_SAMPLE,0.057640400420132076,-0.0014460639367124273,,13.0,4.0,11.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,GLOBAL_50_M2_25_CASH25,INSUFFICIENT_REGIME_SAMPLE,0.0836634830060381,-0.00594639029998667,,9.0,8.0,11.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,GLOBAL_50_M2_50,INSUFFICIENT_REGIME_SAMPLE,0.11078337282547879,-0.010371221387574736,,3.0,13.0,4.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,GLOBAL_75_CASH25,INSUFFICIENT_REGIME_SAMPLE,0.0752494848832228,-0.0037867719493981378,,11.0,5.0,4.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,GLOBAL_75_M2_10_CASH15,INSUFFICIENT_REGIME_SAMPLE,0.08482464097836995,-0.005628142248295442,,8.0,6.0,1.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,GLOBAL_75_M2_25,INSUFFICIENT_REGIME_SAMPLE,0.10103288974113789,-0.008283318763043668,,5.0,11.0,4.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,GLOBAL_90_M2_10,INSUFFICIENT_REGIME_SAMPLE,0.09515125941177738,-0.0070295281813714805,,6.0,10.0,4.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,M2_TOP7_CASH0_100,INSUFFICIENT_REGIME_SAMPLE,0.1308044144194338,-0.014393974562113998,,1.0,14.0,2.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,M2_TOP7_CASH0_25_CASH75,INSUFFICIENT_REGIME_SAMPLE,0.04781733414425959,-0.0012693768144694806,,14.0,3.0,11.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,M2_TOP7_CASH0_50_CASH50,INSUFFICIENT_REGIME_SAMPLE,0.07552030341857141,-0.005688656610083553,,10.0,7.0,11.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,M2_TOP7_CASH0_75_CASH25,INSUFFICIENT_REGIME_SAMPLE,0.10300319188149487,-0.010108893796175522,,4.0,12.0,4.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,EQUAL_WEIGHT_OPPORTUNITY_POOL,INSUFFICIENT_REGIME_SAMPLE,0.05964106727640073,-0.04452610239934518,,12.0,16.0,16.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R1_BROAD_RISK_ON,ACTUAL_GBP_CASH,INSUFFICIENT_REGIME_SAMPLE,0.02147284595592902,0.0,,16.0,1.0,11.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_0_M2_100,REGIME_SAMPLE_SUFFICIENT,0.09772077022055381,-0.09774737295100921,,1.0,15.0,3.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_100,REGIME_SAMPLE_SUFFICIENT,0.07967275593851153,-0.08231569425599239,,6.0,13.0,15.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_25_CASH75,REGIME_SAMPLE_SUFFICIENT,0.036690649339029324,-0.02060093981181399,,15.0,2.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_50_CASH50,REGIME_SAMPLE_SUFFICIENT,0.05144718259119374,-0.04141272422087605,,13.0,4.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_50_M2_25_CASH25,REGIME_SAMPLE_SUFFICIENT,0.07003711617969488,-0.06047738573422923,,10.0,6.0,3.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_50_M2_50,REGIME_SAMPLE_SUFFICIENT,0.0890574601380083,-0.07999476470025912,,3.0,10.0,1.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_75_CASH25,REGIME_SAMPLE_SUFFICIENT,0.06573755658662561,-0.06199018762049224,,11.0,7.0,14.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_75_M2_10_CASH15,REGIME_SAMPLE_SUFFICIENT,0.07241625196033818,-0.06966345681204711,,9.0,8.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_75_M2_25,REGIME_SAMPLE_SUFFICIENT,0.08399377168611322,-0.08082333467910607,,4.0,11.0,2.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_90_M2_10,REGIME_SAMPLE_SUFFICIENT,0.08070803648643365,-0.08183411816882102,,5.0,12.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,M2_TOP7_CASH0_100,REGIME_SAMPLE_SUFFICIENT,0.09772077022055381,-0.09774737295100921,,1.0,15.0,3.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,M2_TOP7_CASH0_25_CASH75,REGIME_SAMPLE_SUFFICIENT,0.040787119552917694,-0.022696860367024896,,14.0,3.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,M2_TOP7_CASH0_50_CASH50,REGIME_SAMPLE_SUFFICIENT,0.060646743932235125,-0.04651875348268253,,12.0,5.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
