policy_id,switch_mode,prior_regime,new_regime,transition_count,average_prior_duration_months,next_1m_return,next_3m_return,next_6m_return,m2_minus_global_1m,risky_minus_cash_1m,allocation_switch_count,switch_gain_loss,reversal_within_1m,reversal_within_3m,transition_classification
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,R1_BROAD_RISK_ON,R2_LEADERSHIP_RISK_ON,6,1.1666666666666667,-0.003321516422131743,0.018776975351976016,0.0322623829408788,0.004591924297709993,-0.006425956597795046,0,0.0,0,2,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,R2_LEADERSHIP_RISK_ON,R1_BROAD_RISK_ON,3,3.0,0.02674688882572666,0.024854945313969035,0.060378626223267284,-0.00690126245047884,0.03360123687933051,0,0.0,2,3,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,R2_LEADERSHIP_RISK_ON,R3_ISOLATED_LEADERSHIP,4,12.5,-0.021792401464401312,0.017672600781524384,0.05079881724578622,0.002988552085113755,-0.030693732985151545,0,0.0,1,1,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,R2_LEADERSHIP_RISK_ON,R4_CAPITAL_PRESERVATION,3,4.666666666666667,0.03263307323879464,0.05074095771623736,0.10251760080027077,0.011207928550541757,0.04237292817323568,0,0.0,0,3,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,R3_ISOLATED_LEADERSHIP,R1_BROAD_RISK_ON,1,1.0,-0.021512940491416166,0.01020619733575634,0.019779232839691296,0.015038932151390627,-0.03247396016869941,0,0.0,0,0,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,R3_ISOLATED_LEADERSHIP,R2_LEADERSHIP_RISK_ON,5,2.4,0.005199879969817811,0.03593552613479445,0.04229236548393687,0.010893485975184247,0.005635845978775311,0,0.0,1,1,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,R3_ISOLATED_LEADERSHIP,R4_CAPITAL_PRESERVATION,2,1.5,0.0635962335096597,0.09311679480337298,0.12002922804813432,-0.009767815670420954,0.08414851767460241,0,0.0,1,1,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,R4_CAPITAL_PRESERVATION,R1_BROAD_RISK_ON,1,1.0,0.0020091576499521313,-0.002546250609583911,0.01483825700716146,0.023138989403120203,0.0008485572641558914,0,0.0,0,1,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,R4_CAPITAL_PRESERVATION,R3_ISOLATED_LEADERSHIP,4,1.0,0.029497331817973427,0.05807651630937344,0.0712668607113715,-0.0038172219235557414,0.038262357579993744,0,0.0,0,0,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,R1_BROAD_RISK_ON,R2_LEADERSHIP_RISK_ON,6,1.1666666666666667,-0.003321516422131743,0.018776975351976016,0.0322623829408788,0.004591924297709993,-0.006425956597795046,0,0.0,0,2,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,R2_LEADERSHIP_RISK_ON,R1_BROAD_RISK_ON,3,3.0,0.02674688882572666,0.024854945313969035,0.060378626223267284,-0.00690126245047884,0.03360123687933051,0,0.0,2,3,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,R2_LEADERSHIP_RISK_ON,R3_ISOLATED_LEADERSHIP,4,12.5,-0.021792401464401312,0.017672600781524384,0.05079881724578622,0.002988552085113755,-0.030693732985151545,0,0.0,1,1,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,R2_LEADERSHIP_RISK_ON,R4_CAPITAL_PRESERVATION,3,4.666666666666667,0.03263307323879464,0.05074095771623736,0.10251760080027077,0.011207928550541757,0.04237292817323568,0,0.0,0,3,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,R3_ISOLATED_LEADERSHIP,R1_BROAD_RISK_ON,1,1.0,-0.021512940491416166,0.01020619733575634,0.019779232839691296,0.015038932151390627,-0.03247396016869941,0,0.0,0,0,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,R3_ISOLATED_LEADERSHIP,R2_LEADERSHIP_RISK_ON,5,2.4,0.005199879969817811,0.03593552613479445,0.04229236548393687,0.010893485975184247,0.005635845978775311,0,0.0,1,1,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,R3_ISOLATED_LEADERSHIP,R4_CAPITAL_PRESERVATION,2,1.5,0.0635962335096597,0.09311679480337298,0.12002922804813432,-0.009767815670420954,0.08414851767460241,0,0.0,1,1,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,R4_CAPITAL_PRESERVATION,R1_BROAD_RISK_ON,1,1.0,0.0020091576499521313,-0.002546250609583911,0.01483825700716146,0.023138989403120203,0.0008485572641558914,0,0.0,0,1,NO_ALLOCATION_SWITCH
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,R4_CAPITAL_PRESERVATION,R3_ISOLATED_LEADERSHIP,4,1.0,0.029497331817973427,0.05807651630937344,0.0712668607113715,-0.0038172219235557414,0.038262357579993744,0,0.0,0,0,NO_ALLOCATION_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R1_BROAD_RISK_ON,R2_LEADERSHIP_RISK_ON,6,1.1666666666666667,-0.005440974873547648,0.011396454980022619,0.02186599729842344,0.004591924297709993,-0.006425956597795046,0,-0.008807520023302762,0,2,NO_ALLOCATION_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R2_LEADERSHIP_RISK_ON,R1_BROAD_RISK_ON,3,3.0,0.03508507827780264,0.020686007823414676,0.051369740085523384,-0.00690126245047884,0.03360123687933051,0,0.014701957499422935,2,3,NO_ALLOCATION_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R2_LEADERSHIP_RISK_ON,R3_ISOLATED_LEADERSHIP,4,12.5,-0.014439166840627293,-0.0061053707133175705,0.015302979036265985,0.002988552085113755,-0.030693732985151545,4,0.041925486633681674,1,1,BENEFICIAL_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R2_LEADERSHIP_RISK_ON,R4_CAPITAL_PRESERVATION,3,4.666666666666667,0.013976062117132612,0.023077065217555592,0.08289557358095483,0.011207928550541757,0.04237292817323568,3,-0.06897530602329849,0,3,FALSE_OR_COSTLY_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R3_ISOLATED_LEADERSHIP,R1_BROAD_RISK_ON,1,1.0,-0.021514647687291055,0.010201022534953141,0.01976886308839143,0.015038932151390627,-0.03247396016869941,1,0.003311820711578539,0,0,BENEFICIAL_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R3_ISOLATED_LEADERSHIP,R2_LEADERSHIP_RISK_ON,5,2.4,0.0048086257803490184,0.04812424767713184,0.04779826859913292,0.010893485975184247,0.005635845978775311,5,-0.004847958930463969,1,1,FALSE_OR_COSTLY_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R3_ISOLATED_LEADERSHIP,R4_CAPITAL_PRESERVATION,2,1.5,0.021036131133678193,0.02257415602385099,0.0370119958909953,-0.009767815670420954,0.08414851767460241,2,-0.10233687939056724,1,1,FALSE_OR_COSTLY_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R4_CAPITAL_PRESERVATION,R1_BROAD_RISK_ON,1,1.0,0.0020075762896152316,-0.011305666001819481,0.004242948749118902,0.023138989403120203,0.0008485572641558914,1,-8.886190304080444e-05,0,1,FALSE_OR_COSTLY_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R4_CAPITAL_PRESERVATION,R3_ISOLATED_LEADERSHIP,4,1.0,0.014033117299084852,0.040518789925242826,0.05468292926404661,-0.0038172219235557414,0.038262357579993744,2,-0.07751403670080403,0,0,FALSE_OR_COSTLY_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,R1_BROAD_RISK_ON,R2_LEADERSHIP_RISK_ON,6,1.1666666666666667,-0.005441189640271904,0.009984532173659263,0.020672903850834718,0.004591924297709993,-0.006425956597795046,2,-0.010055397888034445,0,2,FALSE_OR_COSTLY_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,R2_LEADERSHIP_RISK_ON,R1_BROAD_RISK_ON,3,3.0,0.0350849805405821,0.020835835943529075,0.045776808699195426,-0.00690126245047884,0.03360123687933051,0,0.01799337592611505,2,3,NO_ALLOCATION_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,R2_LEADERSHIP_RISK_ON,R3_ISOLATED_LEADERSHIP,4,12.5,-0.014326010177948684,-0.005275883895685951,0.01307647886239885,0.002988552085113755,-0.030693732985151545,3,0.03838584769548592,1,1,BENEFICIAL_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,R2_LEADERSHIP_RISK_ON,R4_CAPITAL_PRESERVATION,3,4.666666666666667,0.014289938273629899,0.021102437334023543,0.07414039320757097,0.011207928550541757,0.04237292817323568,3,-0.06388280484188869,0,3,FALSE_OR_COSTLY_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,R3_ISOLATED_LEADERSHIP,R1_BROAD_RISK_ON,1,1.0,-0.013893927461838707,0.018068156730508544,0.027709608924778584,0.015038932151390627,-0.03247396016869941,0,0.009875175792691482,0,0,NO_ALLOCATION_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,R3_ISOLATED_LEADERSHIP,R2_LEADERSHIP_RISK_ON,5,2.4,0.0033039821446728236,0.04425934946363115,0.04377600396404761,0.010893485975184247,0.005635845978775311,1,-0.011447905035027683,1,1,FALSE_OR_COSTLY_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,R3_ISOLATED_LEADERSHIP,R4_CAPITAL_PRESERVATION,2,1.5,0.021520613631486163,0.019638576994469026,0.03670803999378902,-0.009767815670420954,0.08414851767460241,2,-0.09587247176627645,1,1,FALSE_OR_COSTLY_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,R4_CAPITAL_PRESERVATION,R1_BROAD_RISK_ON,1,1.0,0.0005819564996001336,-0.012713150152643626,0.011123640650425592,0.023138989403120203,0.0008485572641558914,0,-0.0014866259591177489,0,1,NO_ALLOCATION_SWITCH
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,R4_CAPITAL_PRESERVATION,R3_ISOLATED_LEADERSHIP,4,1.0,0.01029247962210178,0.032735577895905754,0.04612434359882853,-0.0038172219235557414,0.038262357579993744,0,-0.08747892657554224,0,0,NO_ALLOCATION_SWITCH
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R1_BROAD_RISK_ON,R2_LEADERSHIP_RISK_ON,6,1.1666666666666667,-0.004065017142351061,0.019785294849113382,0.03187309534040924,0.004591924297709993,-0.006425956597795046,6,0.005013726684068631,0,2,BENEFICIAL_SWITCH
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R2_LEADERSHIP_RISK_ON,R1_BROAD_RISK_ON,3,3.0,0.034392725117638724,0.03474429495042619,0.07157140846304462,-0.00690126245047884,0.03360123687933051,3,-0.0023416378227096857,2,3,FALSE_OR_COSTLY_SWITCH
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R2_LEADERSHIP_RISK_ON,R3_ISOLATED_LEADERSHIP,4,12.5,-0.02891608056317732,0.02064804016617222,0.07026089488376078,0.002988552085113755,-0.030693732985151545,0,0.002062460315262693,1,1,NO_ALLOCATION_SWITCH
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R2_LEADERSHIP_RISK_ON,R4_CAPITAL_PRESERVATION,3,4.666666666666667,0.042098641992057116,0.06033443844042119,0.11771511208079488,0.011207928550541757,0.04237292817323568,3,-0.0034737387967589406,0,3,FALSE_OR_COSTLY_SWITCH
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R3_ISOLATED_LEADERSHIP,R1_BROAD_RISK_ON,1,1.0,-0.03066036605404876,-0.00017078630774292058,0.01211881298769435,0.015038932151390627,-0.03247396016869941,1,-0.0010519610874775154,0,0,FALSE_OR_COSTLY_SWITCH
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,R3_ISOLATED_LEADERSHIP,R2_LEADERSHIP_RISK_ON,5,2.4,0.00924772596480603,0.05049939882761467,0.06564862505291202,0.010893485975184247,0.005635845978775311,0,0.013099453323104915,1,1,NO_ALLOCATION_SWITCH
