diagnostic_variable,decision_observations,minimum_prior_observations,threshold_rule,high_observations,low_observations,high_episodes,low_episodes,high_mean_next_interval_m2_minus_global,low_mean_next_interval_m2_minus_global,high_minus_low_monthly_return,high_minus_low_annualised_arithmetic,spearman_rank_correlation,hac_lag3_standard_error,hac_lag3_t_stat,hac_lag3_p_value,block_bootstrap_lower_95,block_bootstrap_upper_95,empirical_sign,evidence_class,bh_q_value
m2_score_cross_section_std,113,24,PRIOR_ONLY_EXPANDING_MEDIAN;CURRENT_EXCLUDED,68,45,16,17,0.0027366039089253705,-0.0006944788040613443,0.003431082712986715,0.04117299255584058,0.06721172400026615,0.0056940614076017295,0.6025721303964379,0.5467933651873838,-0.00470624555447603,0.015533639707825064,HIGH_ASSOCIATED_WITH_POSITIVE_M2_EXCESS,E1_SECONDARY_DESCRIPTIVE_NOT_POLICY_INPUT,0.8201900477810756
m2_score_cross_section_iqr,113,24,PRIOR_ONLY_EXPANDING_MEDIAN;CURRENT_EXCLUDED,70,43,21,20,0.004222798877021663,-0.003273451203891899,0.007496250080913562,0.08995500097096273,0.08377137534100741,0.005504496977394241,1.3618410749790602,0.1732480455933316,-0.0026991654763971807,0.01906938090926733,HIGH_ASSOCIATED_WITH_POSITIVE_M2_EXCESS,E1_SECONDARY_DESCRIPTIVE_NOT_POLICY_INPUT,0.7796162051699922
family_return_63_iqr,113,24,PRIOR_ONLY_EXPANDING_MEDIAN;CURRENT_EXCLUDED,80,33,15,15,0.0037392884567905836,-0.004372895664214605,0.008112184121005188,0.09734620945206227,0.19575487391043986,0.004655170700100986,1.7426179712011867,0.08140036874183117,-0.0005797030400629199,0.017565836221984578,HIGH_ASSOCIATED_WITH_POSITIVE_M2_EXCESS,E1_SECONDARY_DESCRIPTIVE_NOT_POLICY_INPUT,0.7326033186764805
family_return_126_iqr,113,24,PRIOR_ONLY_EXPANDING_MEDIAN;CURRENT_EXCLUDED,78,35,14,14,0.002833547608639713,-0.0018908341099923693,0.004724381718632082,0.05669258062358499,0.13703506553995612,0.0051561876396164314,0.9162548085592028,0.35953326468341074,-0.00570556803600214,0.014817655044513272,HIGH_ASSOCIATED_WITH_POSITIVE_M2_EXCESS,E1_SECONDARY_DESCRIPTIVE_NOT_POLICY_INPUT,0.7800026440775042
average_pairwise_126_return_correlation,113,24,PRIOR_ONLY_EXPANDING_MEDIAN;CURRENT_EXCLUDED,62,51,8,9,0.0016999345099066184,0.0009694427452932227,0.0007304917646133957,0.008765901175360748,0.03727792933661588,0.005537332840486805,0.13192123097104225,0.8950465955059448,-0.008801816061642676,0.010391973490532867,HIGH_ASSOCIATED_WITH_POSITIVE_M2_EXCESS,E1_SECONDARY_DESCRIPTIVE_NOT_POLICY_INPUT,0.9096994828666853
first_principal_component_variance_share,113,24,PRIOR_ONLY_EXPANDING_MEDIAN;CURRENT_EXCLUDED,40,73,9,10,0.004331649298699944,-0.0002524445523812747,0.0045840938510812185,0.05500912621297462,0.02049371215649744,0.005850805738330394,0.78349787295952,0.4333348022652801,-0.006124106739230381,0.016269903814384486,HIGH_ASSOCIATED_WITH_POSITIVE_M2_EXCESS,E1_SECONDARY_DESCRIPTIVE_NOT_POLICY_INPUT,0.7800026440775042
percentage_families_above_cash,113,24,PRIOR_ONLY_EXPANDING_MEDIAN;CURRENT_EXCLUDED,59,54,12,11,0.0017650170589178203,0.0009389169101483944,0.0008261001487694259,0.009913201785233111,-0.0290502022130526,0.005707640129871557,0.14473585053933963,0.8849194325407228,-0.009613635713228187,0.013616728215521016,HIGH_ASSOCIATED_WITH_POSITIVE_M2_EXCESS,E1_SECONDARY_DESCRIPTIVE_NOT_POLICY_INPUT,0.9096994828666853
percentage_families_above_global,113,24,PRIOR_ONLY_EXPANDING_MEDIAN;CURRENT_EXCLUDED,80,33,13,12,0.0030126276580139124,-0.002611293727786312,0.005623921385800224,0.06748705662960269,0.12477712197754534,0.005333595565644965,1.0544334148665717,0.29168453054305477,-0.003918707961725386,0.016811007841488285,HIGH_ASSOCIATED_WITH_POSITIVE_M2_EXCESS,E1_SECONDARY_DESCRIPTIVE_NOT_POLICY_INPUT,0.7800026440775042
top7_membership_retention,113,24,PRIOR_ONLY_EXPANDING_MEDIAN;CURRENT_EXCLUDED,113,0,1,0,0.0013702435364970327,,,,-0.023490559707361067,,,,,,UNRESOLVED,E1_SECONDARY_DESCRIPTIVE_NOT_POLICY_INPUT,
global_drawdown_from_trailing_252_high,113,24,PRIOR_ONLY_EXPANDING_MEDIAN;CURRENT_EXCLUDED,74,39,12,11,0.001606409813831521,0.0009221331641187729,0.0006842766497127482,0.008211319796552978,-0.03020748500929857,0.006033248971590326,0.11341760516347092,0.9096994828666853,-0.011501166893906746,0.013562688842055156,HIGH_ASSOCIATED_WITH_POSITIVE_M2_EXCESS,E1_SECONDARY_DESCRIPTIVE_NOT_POLICY_INPUT,0.9096994828666853
