policy_id,switch_mode,year,risk_timing_contribution,m2_selection_contribution,interaction_contribution,cash_yield_contribution,cost_contribution,switch_event_count,defensive_switch_count,risk_on_switch_count,switching_gain,false_defensive_cost,successful_defence_value,false_risk_on_cost,successful_risk_on_value,counterfactual_scope,reconciliation_error
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2017,,,,,,0,0,0,0.0,-0.0,0.0,-0.0,0.0,ONE_MONTH_AFTER_ACTUAL_ALLOCATION_SWITCH_VS_STATIC_MATCHED_CONTROL;NOT_DRAWDOWN_ATTRIBUTION,
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2018,,,,,,0,0,0,0.0,-0.0,0.0,-0.0,0.0,ONE_MONTH_AFTER_ACTUAL_ALLOCATION_SWITCH_VS_STATIC_MATCHED_CONTROL;NOT_DRAWDOWN_ATTRIBUTION,
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2019,,,,,,0,0,0,0.0,-0.0,0.0,-0.0,0.0,ONE_MONTH_AFTER_ACTUAL_ALLOCATION_SWITCH_VS_STATIC_MATCHED_CONTROL;NOT_DRAWDOWN_ATTRIBUTION,
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2020,,,,,,0,0,0,0.0,-0.0,0.0,-0.0,0.0,ONE_MONTH_AFTER_ACTUAL_ALLOCATION_SWITCH_VS_STATIC_MATCHED_CONTROL;NOT_DRAWDOWN_ATTRIBUTION,
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2021,,,,,,0,0,0,0.0,-0.0,0.0,-0.0,0.0,ONE_MONTH_AFTER_ACTUAL_ALLOCATION_SWITCH_VS_STATIC_MATCHED_CONTROL;NOT_DRAWDOWN_ATTRIBUTION,
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2022,,,,,,0,0,0,0.0,-0.0,0.0,-0.0,0.0,ONE_MONTH_AFTER_ACTUAL_ALLOCATION_SWITCH_VS_STATIC_MATCHED_CONTROL;NOT_DRAWDOWN_ATTRIBUTION,
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2023,,,,,,0,0,0,0.0,-0.0,0.0,-0.0,0.0,ONE_MONTH_AFTER_ACTUAL_ALLOCATION_SWITCH_VS_STATIC_MATCHED_CONTROL;NOT_DRAWDOWN_ATTRIBUTION,
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2024,,,,,,0,0,0,0.0,-0.0,0.0,-0.0,0.0,ONE_MONTH_AFTER_ACTUAL_ALLOCATION_SWITCH_VS_STATIC_MATCHED_CONTROL;NOT_DRAWDOWN_ATTRIBUTION,
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2025,,,,,,0,0,0,0.0,-0.0,0.0,-0.0,0.0,ONE_MONTH_AFTER_ACTUAL_ALLOCATION_SWITCH_VS_STATIC_MATCHED_CONTROL;NOT_DRAWDOWN_ATTRIBUTION,
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,2026,,,,,,0,0,0,0.0,-0.0,0.0,-0.0,0.0,ONE_MONTH_AFTER_ACTUAL_ALLOCATION_SWITCH_VS_STATIC_MATCHED_CONTROL;NOT_DRAWDOWN_ATTRIBUTION,
