strategy_id,year,global_contribution,m2_contribution,cash_yield_contribution,other_market_contribution,risk_timing_contribution,m2_selection_contribution,interaction_contribution,switching_contribution,cost_contribution,reconciliation_error,attribution_basis,policy_id,switch_mode,mechanism_attribution_method,strategy_switches,months_risk_score_0,months_risk_score_1,months_risk_score_2,months_risk_score_3,months_R1_BROAD_RISK_ON,months_R2_LEADERSHIP_RISK_ON,months_R3_ISOLATED_LEADERSHIP,months_R4_CAPITAL_PRESERVATION
GLOBAL_100,2017,0.05527519395308079,0.0,0.0,-1.0061396160665481e-15,,,,,0.0,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,11,0,0,0,1,10,0,0
GLOBAL_100,2018,-0.02729965659439372,0.0,0.0,3.469446951953614e-16,,,,,0.0,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,2,1,2,1,8,1,2
GLOBAL_100,2019,0.21529738047434163,0.0,0.0,6.938893903907228e-16,,,,,0.0,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,9,1,2,0,1,9,2,0
GLOBAL_100,2020,0.14445256693500683,0.0,0.0,1.0269562977782698e-15,,,,,0.0,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,2,4,4,2,0,6,5,1
GLOBAL_100,2021,0.2192757592062131,0.0,0.0,-1.0824674490095276e-15,,,,,0.0,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,12,0,0,0,0,12,0,0
GLOBAL_100,2022,-0.07195201116638957,0.0,0.0,-2.040034807748725e-15,,,,,0.0,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,0,6,5,1,2,4,4,2
GLOBAL_100,2023,0.1688576227620208,0.0,0.0,1.6375789613221059e-15,,,,,0.0,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,5,0,0,2,10,0,0
GLOBAL_100,2024,0.1968526365386103,0.0,0.0,-1.1102230246251565e-15,,,,,0.0,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,12,0,0,0,0,12,0,0
GLOBAL_100,2025,0.13005187705122337,0.0,0.0,-5.828670879282072e-16,,,,,0.0,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,1,3,1,0,8,4,0
GLOBAL_100,2026,0.11022603317972114,0.0,0.0,-3.469446951953614e-16,,,,,0.0,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,1,0,0,0,8,0,0
GLOBAL_75_CASH25,2017,0.040991577650743,0.0,0.000534035578858654,-1.522978791690388e-15,,,,,-0.0001866432829000786,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,11,0,0,0,1,10,0,0
GLOBAL_75_CASH25,2018,-0.02048078784483236,0.0,0.0014054386448611022,1.43982048506075e-16,,,,,-0.00031265510718359035,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,2,1,2,1,8,1,2
GLOBAL_75_CASH25,2019,0.16094874874976123,0.0,0.0017583924674606662,7.342217112071836e-16,,,,,-0.0003205354474513644,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,9,1,2,0,1,9,2,0
GLOBAL_75_CASH25,2020,0.10794210794004708,0.0,0.0004716808436051104,-1.446325698095663e-16,,,,,-0.0003899691056954424,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,2,4,4,2,0,6,5,1
GLOBAL_75_CASH25,2021,0.1639304148153879,0.0,0.00013613957259072263,6.201636426617085e-16,,,,,-0.00023873068756163907,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,12,0,0,0,0,12,0,0
GLOBAL_75_CASH25,2022,-0.05509869618302981,0.0,0.0034395681059282038,1.558215362296167e-15,,,,,-0.00027938944899430496,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,0,6,5,1,2,4,4,2
GLOBAL_75_CASH25,2023,0.12603275506078207,0.0,0.011179836641048099,1.807581861967833e-15,,,,,-0.00021386635860976,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,5,0,0,2,10,0,0
GLOBAL_75_CASH25,2024,0.1475326690123326,0.0,0.012363159248031108,9.159339953157541e-16,,,,,-0.0002146152466007134,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,12,0,0,0,0,12,0,0
GLOBAL_75_CASH25,2025,0.09632796301882604,0.0,0.010336140926498793,7.164407955784213e-16,,,,,-0.00021383290302434688,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,1,3,1,0,8,4,0
GLOBAL_75_CASH25,2026,0.08260706688633365,0.0,0.005828654199304799,-6.539907504432563e-16,,,,,-0.00012487477665656943,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,1,0,0,0,8,0,0
GLOBAL_50_CASH50,2017,0.027017506294729203,0.0,0.001069537745657777,8.851426536171658e-16,,,,,-0.0002009534413758285,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_50_CASH50,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,11,0,0,0,1,10,0,0
