strategy_id,ii_plan,notional_gbp,years,started_calendar_months,trade_legs,free_trade_legs,paid_trade_legs,total_dealing_charges_gbp,historical_total_market_friction_gbp,total_subscription_gbp,annual_dealing_charges_gbp,historical_average_annual_market_friction_gbp,current_scale_annual_market_friction_gbp,annual_subscription_gbp,annual_total_platform_dealing_gbp,current_scale_annual_all_in_including_friction_gbp,annual_dealing_charges_no_credits_gbp,incremental_subscription_vs_plus_gbp_per_year,platform_maintenance_cost_gbp_per_year,credit_assumption,incremental_total_plan_cost_vs_plus_gbp_per_year,m2_attributable_incremental_friction_and_dealing_gbp_per_year,cost_attributable_to_maintaining_platform_gbp_per_year,current_user_plan
GLOBAL_75_DEFENSIVE_25,II_PLUS,250000.0,9.473158244180237,114,114,114,0,0.0,790.2567081865068,1708.8600000000001,0.0,83.4206172658411,70.62794352796315,179.88,179.88,250.50794352796316,48.01566576589595,0.0,179.88,CREDITS_RESERVED_FOR_MODEL_TRADES; IF USED_ELSEWHERE USE_NO_CREDIT_COLUMN,0.0,0.0,179.88,TO_CONFIRM
GLOBAL_65_M2_10_DEFENSIVE_25,II_PLUS,250000.0,9.473158244180237,114,1076,113,963,3842.370000000001,4801.201103101113,1708.8600000000001,405.6060187066475,506.82158783219893,341.90625492646086,179.88,585.4860187066474,927.3922736331084,453.20049442196535,0.0,179.88,CREDITS_RESERVED_FOR_MODEL_TRADES; IF USED_ELSEWHERE USE_NO_CREDIT_COLUMN,0.0,676.8843301051453,179.88,TO_CONFIRM
GLOBAL_60_M2_15_DEFENSIVE_25,II_PLUS,250000.0,9.473158244180237,114,1076,113,963,3842.370000000001,6820.838360884317,1708.8600000000001,405.6060187066475,720.0173569437254,478.43621938679115,179.88,585.4860187066474,1063.9222380934386,453.20049442196535,0.0,179.88,CREDITS_RESERVED_FOR_MODEL_TRADES; IF USED_ELSEWHERE USE_NO_CREDIT_COLUMN,0.0,813.4142945654755,179.88,TO_CONFIRM
GLOBAL_50_M2_25_DEFENSIVE_25,II_PLUS,250000.0,9.473158244180237,114,1076,113,963,3842.370000000001,10850.006530119486,1708.8600000000001,405.6060187066475,1145.3420549355972,751.2451833927134,179.88,585.4860187066474,1336.7312020993609,453.20049442196535,0.0,179.88,CREDITS_RESERVED_FOR_MODEL_TRADES; IF USED_ELSEWHERE USE_NO_CREDIT_COLUMN,0.0,1086.2232585713978,179.88,TO_CONFIRM
M2_100_DIAGNOSTIC,II_PLUS,250000.0,9.473158244180237,114,865,99,766,3056.34,45257.59232967762,1708.8600000000001,322.6315787427746,4777.455539442854,2761.5304223325015,179.88,502.5115787427746,3264.0420010752764,364.32939375,0.0,179.88,CREDITS_RESERVED_FOR_MODEL_TRADES; IF USED_ELSEWHERE USE_NO_CREDIT_COLUMN,0.0,3031.381292982791,179.88,TO_CONFIRM
GLOBAL_100,II_PLUS,250000.0,9.473158244180237,114,1,1,0,0.0,500.0,1708.8600000000001,0.0,52.78070809248555,52.78070809248554,179.88,179.88,232.66070809248555,0.4211900505780347,0.0,179.88,CREDITS_RESERVED_FOR_MODEL_TRADES; IF USED_ELSEWHERE USE_NO_CREDIT_COLUMN,0.0,0.0,179.88,TO_CONFIRM
GLOBAL_75_DEFENSIVE_25,II_PREMIUM,250000.0,9.473158244180237,114,114,114,0,0.0,790.2567081865068,4558.860000000001,0.0,83.4206172658411,70.62794352796315,479.88,479.88,550.5079435279631,35.98166432080925,300.0,479.88,CREDITS_RESERVED_FOR_MODEL_TRADES; IF USED_ELSEWHERE USE_NO_CREDIT_COLUMN,300.0,0.0,479.88,TO_CONFIRM
GLOBAL_65_M2_10_DEFENSIVE_25,II_PREMIUM,250000.0,9.473158244180237,114,1076,226,850,2541.5000000000005,4812.966182061639,4558.860000000001,268.2843392341041,508.0635262288001,341.90625492646086,479.88,748.1643392341041,1090.070594160565,339.6164106069364,300.0,479.88,CREDITS_RESERVED_FOR_MODEL_TRADES; IF USED_ELSEWHERE USE_NO_CREDIT_COLUMN,162.67832052745666,539.5626506326018,479.88,TO_CONFIRM
GLOBAL_60_M2_15_DEFENSIVE_25,II_PREMIUM,250000.0,9.473158244180237,114,1076,226,850,2541.5000000000005,6838.084647561589,4558.860000000001,268.2843392341041,721.8378993893103,478.43621938679115,479.88,748.1643392341041,1226.6005586208953,339.6164106069364,300.0,479.88,CREDITS_RESERVED_FOR_MODEL_TRADES; IF USED_ELSEWHERE USE_NO_CREDIT_COLUMN,162.67832052745666,676.0926150929321,479.88,TO_CONFIRM
GLOBAL_50_M2_25_DEFENSIVE_25,II_PREMIUM,250000.0,9.473158244180237,114,1076,226,850,2541.5000000000005,10878.249232128574,4558.860000000001,268.2843392341041,1148.3233945565667,751.2451833927134,479.88,748.1643392341041,1499.4095226268175,339.6164106069364,300.0,479.88,CREDITS_RESERVED_FOR_MODEL_TRADES; IF USED_ELSEWHERE USE_NO_CREDIT_COLUMN,162.67832052745666,948.9015790988544,479.88,TO_CONFIRM
