economic_exposure_family_id,gross_market_pnl_return_units,share_of_gross_family_market_pnl,warning
GLOBAL_BATTERY_EV,0.380913964338,0.158206934148,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_SEMICONDUCTORS,0.35897789372,0.149096114371,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_SILVER_MINERS,0.333197771396,0.138388725048,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_GOLD_MINERS,0.26433308152,0.109786803154,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EUROPE_BANKS,0.225672492916,0.0937297042599,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_SOFTWARE,0.145426891852,0.0604008906382,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_OIL_GAS,0.143611736427,0.0596469929039,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_ROBOTICS_AUTOMATION,0.130326605073,0.0541292117299,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_TRANSPORTATION,0.12757615854,0.0529868547825,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_SOLAR,0.121205528139,0.050340908457,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_AGRIBUSINESS,0.101341655349,0.0420907451429,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
US_BANKS,0.0901459692129,0.0374407838783,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_GENOMICS,0.0635335223407,0.0263877009672,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_INFRASTRUCTURE,0.0496264366277,0.0206116003261,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_AI,0.0460886545644,0.0191422353085,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_CLEAN_ENERGY,0.0422256562555,0.0175377965736,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_CYBERSECURITY,0.0372269697641,0.0154616666896,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_AEROSPACE_DEFENCE,-0.000768712146534,-0.000319273125513,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_URANIUM_NUCLEAR,-0.00432865690956,-0.00179784308993,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_BIOTECHNOLOGY,-0.00601865773904,-0.00249975972983,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_RETAIL,-0.0279104589688,-0.0115921928769,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_WATER,-0.0476411432564,-0.019787038333,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CHINA_INTERNET,-0.0751290380405,-0.0312037254779,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_QUANTUM_COMPUTING,-0.091939826492,-0.0381858357456,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
