test,net_cagr,incremental_vs_swda,maximum_drawdown,cost_scenario,assessment,source
Full common history,0.131376260915,0.0153654286216,-0.235308335654,BASE,PRESERVES,A4D_PRIMARY_ECONOMIC_SCORECARD
Pre-2020,0.037574874403,-0.04317919285,-0.139077680871,BASE,REVERSES,A4D_PRIMARY_ECONOMIC_SCORECARD
Post-2020,0.172532606638,0.0428573736966,-0.235308335654,BASE,PRESERVES,A4D_PRIMARY_ECONOMIC_SCORECARD
Latest five years,0.13620163503,0.0210370868171,-0.22335553365,BASE,PRESERVES,A4D_PRIMARY_ECONOMIC_SCORECARD
Latest three years,0.295118972673,0.10829554905,-0.167188931336,BASE,PRESERVES,A4D_PRIMARY_ECONOMIC_SCORECARD
Exclude 2025,0.104240131841,-0.010280999322,-0.235308335654,BASE,REVERSES,A4F_YEAR_EXCLUSION_RESULTS
Exclude 2020,0.121094303136,0.00605617054291,-0.22335553365,BASE,PRESERVES,A4F_YEAR_EXCLUSION_RESULTS
Exclude 2020 And 2025,0.0758409099006,-0.0377517974685,-0.22335553365,BASE,REVERSES,A4F_YEAR_EXCLUSION_RESULTS
Baseline costs,0.131376260915,0.0153654286216,-0.235308335654,BASE,PRESERVES,A4F_STATIC_FRONTIER
Doubled costs,0.11798678444,0.00197595214665,-0.237317888652,DOUBLE,MATERIALLY_WEAKENS,A4F_STATIC_FRONTIER
