economic_exposure_family_id,fund_name,ticker,isin,trading_currency,currency_hedging_status,alternate_ticker,alternate_isin,alternate_trading_currency,signal_status_at_2026_08_21,implementation_role,a5c_current_status,automatic_alternate_permitted,historical_back_projection
LIVE_GBP_CASH,Interactive Investor SIPP GBP broker cash,BROKER_CASH,NOT_APPLICABLE,GBP,NOT_APPLICABLE,,,,NOT_APPLICABLE,BROKER_CASH_OPERATIONAL,MINIMAL_OPERATIONAL_BALANCE_ONLY,NO_USD_OR_EUR_LINE,PROHIBITED
LIVE_STRATEGIC_RLON,AWAITING_EXACT_CURRENT_HOLDING_SHARE_CLASS,RLON_USER_LABEL_NOT_A_VERIFIED_MARKET_IDENTIFIER,AWAITING_CURRENT_HOLDINGS_INPUT,GBP_EXPECTED_NOT_INFERRED,,,,,NOT_APPLICABLE,DEFENSIVE_STRATEGIC,AWAITING_CURRENT_HOLDINGS_INPUT,NO_ALTERNATE,PROHIBITED
LIVE_TACTICAL_CSH2,Amundi Smart Overnight Return GBP Hedged,CSH2,LU1230136894,GBP,GBP_HEDGED,,,,NOT_APPLICABLE,DEFENSIVE_TACTICAL,PERMITTED_PROSPECTIVELY_PENDING_SIPP_CONFIRMATION,NO_ALTERNATE,PROHIBITED
GLOBAL_DEVELOPED_WORLD,iShares Core MSCI World UCITS ETF,SWDA,IE00B4L5Y983,GBP,UNHEDGED,IWDA,IE00B4L5Y983,USD,NOT_APPLICABLE,GLOBAL_CORE,SWDA_CONFIRMED_CURRENT,NO_USD_OR_EUR_LINE,PROHIBITED
CHINA_INTERNET,KRANESHARES ICAV CSI CHINA INTERNET UCITS ETF GBP,KWBP,IE00BMW13836,GBP,UNHEDGED,KWBH,IE000CD5SH30,GBP,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,YES_ONLY_AFTER_CURRENT_SIPP_CONFIRMATION,PROHIBITED
EUROPE_AEROSPACE_DEFENCE,iShares Europe Defence UCITS ETF,DFEU,IE000IAXNM41,GBP,UNHEDGED,EDEG,IE000WRQ9RR1,GBP,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,YES_ONLY_AFTER_CURRENT_SIPP_CONFIRMATION,PROHIBITED
EUROPE_BANKS,INVESCO MARKETS PLC INVESCO EURO STOXX OPT BANKS UCITS ETF,S7XP,IE00B3Q19T94,GBP,UNHEDGED,CB5,LU1834983477,GBP,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,YES_ONLY_AFTER_CURRENT_SIPP_CONFIRMATION,PROHIBITED
EUROPE_INFRASTRUCTURE,iShares Europe Infrastructure Builders UCITS ETF,BLDR,IE000PTMIE90,GBP,,FTIE,IE000TIZ5AP4,GBP,NOT_SIGNAL_READY_RS252_WARMUP,M2_FAMILY,CURRENT_LINE_RECORDED_NOT_CURRENTLY_SIGNAL_READY,YES_ONLY_AFTER_CURRENT_SIPP_CONFIRMATION,PROHIBITED
GLOBAL_AEROSPACE_DEFENCE,FIRST TRUST GLOBAL FUNDS ICAV FT INDXX GLOBAL AEROSPACE & DEF,ICBM,IE000NVDQXE1,GBP,UNHEDGED,MISL,IE000NVDQXE1,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_AGRIBUSINESS,iShares Agribusiness UCITS ETF,SPAG,IE00B6R52143,GBP,UNHEDGED,ISAG,IE00B6R52143,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
