listing_id,share_class_id,isin,mic,ticker,current_investability_state,current_uk_retail_eligibility,isa_eligibility,sipp_eligibility,ibkr_availability,broker_status,broker_check_method,broker_check_date,current_exchange_listing_status,kid_retail_document_evidence,kid_retail_document_url,structural_eligibility,eligibility_verification_date,eligibility_confidence,eligibility_evidence_ids,historical_eligibility,historical_eligibility_supported,warning
LIST-03F7AA66F69C5756,SC-4E66F21CCAAD145F,IE00B4ND3602,XLON,EGLN,CURRENTLY_INVESTABLE,ELIGIBLE_DOCUMENTED_CURRENT_ISSUER_PAGE,YES,YES,NOT_CHECKED,NOT_CHECKED,NO_SAFE_EXACT_LSE_ISIN_READ_ONLY_ROUTE_AVAILABLE,NOT_CHECKED,ACTIVE_OBSERVED_ON_CURRENT_LSE_INSTRUMENT_AND_ISSUER_PAGES,CURRENT_DOCUMENT_HTTP_VERIFIED,https://www.ishares.com/gls-download/literature/kiid/uk_priips-ishares-physical-gold-etc-gb-ie00b4nd3602-en.pdf,ELIGIBLE_LONG_ONLY_STRUCTURE,2026-08-22,HIGH,EVD-0FFBE289C2E411CD;EVD-4DD09953A5A2C6F7;EVD-4EF5BD7888DDA30C;EVD-5502DD01B5A60B06;EVD-5A19F59E96FA43CE;EVD-741217064F0E368A,NOT_ASSESSED_OUT_OF_SCOPE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
LIST-04061D295421A7AA,SC-6415ABFE2EE0C567,IE0006N7AK90,XLON,GONS,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,NOT_DETERMINED,NOT_DETERMINED,NOT_CHECKED,NOT_CHECKED,NO_SAFE_EXACT_LSE_ISIN_READ_ONLY_ROUTE_AVAILABLE,NOT_CHECKED,ACTIVE_OBSERVED_IN_CURRENT_LSE_SNAPSHOT,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,2026-08-22,MEDIUM,EVD-EB0762A0D9B5DA0F,NOT_ASSESSED_OUT_OF_SCOPE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
LIST-0407F4009660A2F8,SC-945CCA93631B8B7B,IE00BLRPQK69,XLON,UKG5,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,NOT_DETERMINED,NOT_DETERMINED,NOT_CHECKED,NOT_CHECKED,NO_SAFE_EXACT_LSE_ISIN_READ_ONLY_ROUTE_AVAILABLE,NOT_CHECKED,ACTIVE_OBSERVED_IN_CURRENT_LSE_SNAPSHOT,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,2026-08-22,MEDIUM,EVD-4AE0CB96D1C0A4DD,NOT_ASSESSED_OUT_OF_SCOPE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
LIST-0471EE5CA700D18D,SC-31AB294D8690C50F,IE00BCHWNT26,XLON,XSFN,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,NOT_DETERMINED,NOT_DETERMINED,NOT_CHECKED,NOT_CHECKED,NO_SAFE_EXACT_LSE_ISIN_READ_ONLY_ROUTE_AVAILABLE,NOT_CHECKED,ACTIVE_OBSERVED_IN_CURRENT_LSE_SNAPSHOT,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,2026-08-22,MEDIUM,EVD-9187B237E25E6B5C,NOT_ASSESSED_OUT_OF_SCOPE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
LIST-0495D6B1B264BD18,SC-4E66F21CCAAD145F,IE00B4ND3602,XLON,IGLN,CURRENTLY_INVESTABLE,ELIGIBLE_DOCUMENTED_CURRENT_ISSUER_PAGE,YES,YES,NOT_CHECKED,NOT_CHECKED,NO_SAFE_EXACT_LSE_ISIN_READ_ONLY_ROUTE_AVAILABLE,NOT_CHECKED,ACTIVE_OBSERVED_ON_CURRENT_LSE_INSTRUMENT_AND_ISSUER_PAGES,CURRENT_DOCUMENT_HTTP_VERIFIED,https://www.ishares.com/gls-download/literature/kiid/uk_priips-ishares-physical-gold-etc-gb-ie00b4nd3602-en.pdf,ELIGIBLE_LONG_ONLY_STRUCTURE,2026-08-22,HIGH,EVD-0FFBE289C2E411CD;EVD-4DD09953A5A2C6F7;EVD-4EF5BD7888DDA30C;EVD-5502DD01B5A60B06;EVD-5A19F59E96FA43CE;EVD-741217064F0E368A,NOT_ASSESSED_OUT_OF_SCOPE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
LIST-0553A668F657BF70,SC-8885E910E6A8CF45,IE00BYZK4883,XLON,DGTL,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,NOT_DETERMINED,NOT_DETERMINED,NOT_CHECKED,NOT_CHECKED,NO_SAFE_EXACT_LSE_ISIN_READ_ONLY_ROUTE_AVAILABLE,NOT_CHECKED,ACTIVE_OBSERVED_IN_CURRENT_LSE_SNAPSHOT,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,2026-08-22,MEDIUM,EVD-0FFBE289C2E411CD;EVD-7CABDE8ECC2AD68F;EVD-C8AC84410D51D02B,NOT_ASSESSED_OUT_OF_SCOPE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
LIST-05EDAC3D48E97BAD,SC-6A83A9916B224132,IE00BWBXM617,XLON,GXLV,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,NOT_DETERMINED,NOT_DETERMINED,NOT_CHECKED,NOT_CHECKED,NO_SAFE_EXACT_LSE_ISIN_READ_ONLY_ROUTE_AVAILABLE,NOT_CHECKED,ACTIVE_OBSERVED_IN_CURRENT_LSE_SNAPSHOT,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,2026-08-22,MEDIUM,EVD-0C5BDB318AC79822,NOT_ASSESSED_OUT_OF_SCOPE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
LIST-0693F1085590B573,SC-445B10913D12816C,IE00BMH5XY61,XLON,EBIG,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,NOT_DETERMINED,NOT_DETERMINED,NOT_CHECKED,NOT_CHECKED,NO_SAFE_EXACT_LSE_ISIN_READ_ONLY_ROUTE_AVAILABLE,NOT_CHECKED,ACTIVE_OBSERVED_IN_CURRENT_LSE_SNAPSHOT,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,2026-08-22,MEDIUM,EVD-0B58F81C4555E7C8,NOT_ASSESSED_OUT_OF_SCOPE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
LIST-086829639EECA6FD,SC-CB2468350D7BAC15,LU1646360971,XLON,MFEX,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,NOT_DETERMINED,NOT_DETERMINED,NOT_CHECKED,NOT_CHECKED,NO_SAFE_EXACT_LSE_ISIN_READ_ONLY_ROUTE_AVAILABLE,NOT_CHECKED,ACTIVE_OBSERVED_IN_CURRENT_LSE_SNAPSHOT,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,2026-08-22,MEDIUM,EVD-4AE0CB96D1C0A4DD,NOT_ASSESSED_OUT_OF_SCOPE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
LIST-0874ED091C522428,SC-863DBEB98CCF0155,IE00BQQP9G91,XLON,GDXJ,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,NOT_DETERMINED,NOT_DETERMINED,NOT_CHECKED,NOT_CHECKED,NO_SAFE_EXACT_LSE_ISIN_READ_ONLY_ROUTE_AVAILABLE,NOT_CHECKED,ACTIVE_OBSERVED_IN_CURRENT_LSE_SNAPSHOT,NOT_VERIFIED,NOT_AVAILABLE,ELIGIBLE_LONG_ONLY_STRUCTURE,2026-08-22,MEDIUM,EVD-898FCF602D1C485C,NOT_ASSESSED_OUT_OF_SCOPE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
