deepvue_theme,exact_label_status,mapped_economic_themes,mapped_economic_exposure_family_ids,mapping_status,user_evidence_id,deepvue_policy_evidence_id,controls_asset_class_or_investability,invented_label,verification_date,warning
AI,CONFIRMED_USER_SUPPLIED,AI,GLOBAL_AI;US_AI,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Aerospace,CONFIRMED_USER_SUPPLIED,DEFENCE,EUROPE_AEROSPACE_DEFENCE;GLOBAL_AEROSPACE_DEFENCE;US_AEROSPACE_DEFENCE,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Airlines,CONFIRMED_USER_SUPPLIED,NOT_MAPPED_IN_CURRENT_MASTER,NOT_MAPPED_IN_CURRENT_MASTER,VALID_LABEL_NO_CURRENT_EXACT_PRODUCT_MAPPING,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Banks,CONFIRMED_USER_SUPPLIED,NOT_APPLICABLE,EUROPE_BANKS;GLOBAL_BANKS;US_BANKS,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Biotechnology,CONFIRMED_USER_SUPPLIED,BIOTECHNOLOGY,GLOBAL_BIOTECHNOLOGY,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Bitcoin,CONFIRMED_USER_SUPPLIED,NOT_MAPPED_IN_CURRENT_MASTER,NOT_MAPPED_IN_CURRENT_MASTER,VALID_LABEL_NO_CURRENT_EXACT_PRODUCT_MAPPING,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Bitcoin Miners,CONFIRMED_USER_SUPPLIED,NOT_MAPPED_IN_CURRENT_MASTER,NOT_MAPPED_IN_CURRENT_MASTER,VALID_LABEL_NO_CURRENT_EXACT_PRODUCT_MAPPING,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
China Internet,CONFIRMED_USER_SUPPLIED,CHINA_INTERNET,CHINA_INTERNET,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Cybersecurity,CONFIRMED_USER_SUPPLIED,CYBERSECURITY,GLOBAL_CYBERSECURITY,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Genomics,CONFIRMED_USER_SUPPLIED,GENOMICS,GLOBAL_GENOMICS,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Gold Miners,CONFIRMED_USER_SUPPLIED,GOLD_MINERS,GLOBAL_GOLD_MINERS,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Growth Stocks,CONFIRMED_USER_SUPPLIED,NOT_MAPPED_IN_CURRENT_MASTER,NOT_MAPPED_IN_CURRENT_MASTER,VALID_LABEL_NO_CURRENT_EXACT_PRODUCT_MAPPING,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Healthcare,CONFIRMED_USER_SUPPLIED,NOT_APPLICABLE,EUROPE_HEALTHCARE;GLOBAL_HEALTHCARE;US_HEALTHCARE,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Home Construction,CONFIRMED_USER_SUPPLIED,NOT_MAPPED_IN_CURRENT_MASTER,NOT_MAPPED_IN_CURRENT_MASTER,VALID_LABEL_NO_CURRENT_EXACT_PRODUCT_MAPPING,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Industrials,CONFIRMED_USER_SUPPLIED,NOT_APPLICABLE,EUROPE_INDUSTRIALS;GLOBAL_INDUSTRIALS,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Materials,CONFIRMED_USER_SUPPLIED,NOT_APPLICABLE,EUROPE_MATERIALS;GLOBAL_MATERIALS,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Medical,CONFIRMED_USER_SUPPLIED,NOT_MAPPED_IN_CURRENT_MASTER,NOT_MAPPED_IN_CURRENT_MASTER,VALID_LABEL_NO_CURRENT_EXACT_PRODUCT_MAPPING,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Oil & Gas,CONFIRMED_USER_SUPPLIED,OIL_AND_GAS,GLOBAL_OIL_GAS,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Quantum,CONFIRMED_USER_SUPPLIED,QUANTUM,GLOBAL_QUANTUM_COMPUTING,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Real Estate,CONFIRMED_USER_SUPPLIED,NOT_APPLICABLE,GLOBAL_REAL_ESTATE,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Retail,CONFIRMED_USER_SUPPLIED,RETAIL,GLOBAL_RETAIL,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Robotics,CONFIRMED_USER_SUPPLIED,ROBOTICS,GLOBAL_ROBOTICS_AUTOMATION,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Semiconductors,CONFIRMED_USER_SUPPLIED,SEMICONDUCTORS,GLOBAL_SEMICONDUCTORS,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Silver Miners,CONFIRMED_USER_SUPPLIED,SILVER_MINERS,GLOBAL_SILVER_MINERS,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Social Media,CONFIRMED_USER_SUPPLIED,NOT_MAPPED_IN_CURRENT_MASTER,NOT_MAPPED_IN_CURRENT_MASTER,VALID_LABEL_NO_CURRENT_EXACT_PRODUCT_MAPPING,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
Software,CONFIRMED_USER_SUPPLIED,SOFTWARE,GLOBAL_SOFTWARE,EXACT_DESCRIPTIVE_CROSSWALK,EVD-6B436DB25140A6B3,EVD-1B0DAD55909B6C1A,NO,NO,2026-08-22,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
