duplicate_group_id,economic_exposure_family_id,grouping_basis,same_isin_multiple_listing_rule,accumulating_distributing_rule,hedge_rule,provider_rule,rule_version,warning,share_class_count,listing_count,provider_count,member_isins
DUP-ASIA_PACIFIC_EX_JAPAN,ASIA_PACIFIC_EX_JAPAN,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5,9,4,IE00B7WK2W23;IE00BFXR5W90;LU1220245556;LU1291106356;LU1900068328
DUP-AUSTRALIA,AUSTRALIA,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3,3,1,IE00BD4TY345;IE00BD4TY451;IE00BXDZNQ90
DUP-BROAD_COMMODITIES,BROAD_COMMODITIES,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,4,7,2,GB00B15KY989;IE00B4WPHX27;IE00BF0BCP69;JE00B24DMC49
DUP-CANADA,CANADA,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3,5,3,IE00B51B7Z02;IE00B52SF786;LU0446734872
DUP-CHINA_A_SHARES,CHINA_A_SHARES,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,2,1,LU0875160326
DUP-CHINA_BROAD,CHINA_BROAD,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5,8,5,FR0011720911;IE0007P4PBU1;IE000NFR7C63;IE00BK80XL30;IE00BKFB6K94
DUP-CHINA_BROAD_USD_HEDGED,CHINA_BROAD_USD_HEDGED,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,1,1,IE0007HPIXG8
DUP-CHINA_INTERNET,CHINA_INTERNET,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,4,4,1,IE0009ZB3ZX2;IE000CD5SH30;IE000K3YPA16;IE00BMW13836
DUP-DEVELOPED_ASIA_PACIFIC,DEVELOPED_ASIA_PACIFIC,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2,4,2,IE00B4WXJD03;LU2755521270
DUP-EMERGING_ASIA,EMERGING_ASIA,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3,5,3,IE00B466KX20;IE00B5L8K969;LU1681044563
DUP-EMERGING_MARKETS,EMERGING_MARKETS,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,7,14,7,IE0009BC6K22;IE000U07IGB1;IE00B3VVMM84;IE00BD45KH83;IE00BDF12W49;LU0480132876;LU2573966905
