geography_code,geography_label,parent_geography_code,geographic_scope,current_economic_opportunity_included,included_family_ids,economic_distinctiveness_assessment,inclusion_rule,listing_currency_may_determine_geography,taxonomy_version,warning
GLOBAL,Global,ROOT,GLOBAL,YES,GLOBAL_ALL_WORLD;GLOBAL_SMALL_CAP,World-wide exposure,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
ALL_WORLD,All World,GLOBAL,GLOBAL,NO,NOT_APPLICABLE,Developed and emerging markets,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
DEVELOPED_WORLD,Developed World,GLOBAL,GLOBAL,YES,GLOBAL_DEVELOPED_WORLD;GLOBAL_DEVELOPED_WORLD_EUR_HEDGED;GLOBAL_DEVELOPED_WORLD_GBP_HEDGED,Developed markets only,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
NORTH_AMERICA,North America,GLOBAL,REGION,NO,NOT_APPLICABLE,United States and Canada,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
UNITED_STATES,United States,NORTH_AMERICA,SINGLE_COUNTRY,YES,US_BROAD_LARGE_CAP;US_BROAD_LARGE_CAP_EUR_HEDGED;US_BROAD_LARGE_CAP_GBP_HEDGED;US_NASDAQ_100;US_SMALL_CAP;US_TOTAL_MARKET;US_TOTAL_MARKET_GBP_HEDGED,Distinct large capital market and economic cycle,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CANADA,Canada,NORTH_AMERICA,SINGLE_COUNTRY,YES,CANADA,Resource- and financials-heavy developed market,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
UNITED_KINGDOM,United Kingdom,EUROPE,SINGLE_COUNTRY,YES,UK_BROAD_MARKET;UK_LARGE_CAP;UK_MID_CAP;UK_SMALL_CAP,Home market with distinct sector/currency composition,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,Europe,GLOBAL,REGION,YES,EUROPE_BROAD,Developed European markets including UK where index specifies,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_EX_UK,Europe ex-UK,EUROPE,REGION,YES,EUROPE_EX_UK,Separates continental Europe from UK allocation,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROZONE,Eurozone,EUROPE,REGION,YES,EUROZONE;EUROZONE_USD_HEDGED,Common-currency member markets,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
