listing_id,share_class_id,fund_entity_id,economic_exposure_family_id,duplicate_group_id,isin,provider_issuer,ticker,mic,listing_currency,price_unit,accumulating_distributing,hedged_unhedged,ter_ocf_percent,current_investability_state,broker_status,implementation_evidence_confidence,implementation_selection_status,warning,implementation_evidence_order
LIST-0B9AF49CADDF5C41,SC-0EAC7E2F8DC0B643,FUND-F9129891FA2DE705,ASIA_PACIFIC_EX_JAPAN,DUP-ASIA_PACIFIC_EX_JAPAN,LU1291106356,BNP PARIBAS EASY,EPGB,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1
LIST-151C322B5087CAA2,SC-AA8F15B4E030DAEA,FUND-E42479B2B86DA0C7,ASIA_PACIFIC_EX_JAPAN,DUP-ASIA_PACIFIC_EX_JAPAN,IE00B7WK2W23,UBS,UC48,XLON,GBP,GBX,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2
LIST-3E69056636F6E8B5,SC-A079FEAF635058CC,FUND-C758EFEBA9C7F622,ASIA_PACIFIC_EX_JAPAN,DUP-ASIA_PACIFIC_EX_JAPAN,LU1220245556,AMUNDI,PAXG,XLON,GBP,GBX,DISTRIBUTING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3
LIST-44697DEE94120EBA,SC-93B5C19A4B73C9B2,FUND-C758EFEBA9C7F622,ASIA_PACIFIC_EX_JAPAN,DUP-ASIA_PACIFIC_EX_JAPAN,LU1900068328,AMUNDI,AEJL,XLON,GBP,GBX,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,4
LIST-6C384A9D9BABA237,SC-1EA0A11448D98A58,FUND-B987074B21334B3F,ASIA_PACIFIC_EX_JAPAN,DUP-ASIA_PACIFIC_EX_JAPAN,IE00BFXR5W90,LEGAL AND GENERAL ASSET MANAGEMENT,LGAG,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5
LIST-2E968146BF2204DD,SC-1EA0A11448D98A58,FUND-B987074B21334B3F,ASIA_PACIFIC_EX_JAPAN,DUP-ASIA_PACIFIC_EX_JAPAN,IE00BFXR5W90,LEGAL AND GENERAL ASSET MANAGEMENT,LGAP,XLON,USD,USD,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,6
LIST-5166C9637A586ED5,SC-0EAC7E2F8DC0B643,FUND-F9129891FA2DE705,ASIA_PACIFIC_EX_JAPAN,DUP-ASIA_PACIFIC_EX_JAPAN,LU1291106356,BNP PARIBAS EASY,EPEJ,XLON,EUR,EUR,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,7
LIST-75F873B8A31A377E,SC-A079FEAF635058CC,FUND-C758EFEBA9C7F622,ASIA_PACIFIC_EX_JAPAN,DUP-ASIA_PACIFIC_EX_JAPAN,LU1220245556,AMUNDI,PAXJ,XLON,USD,USD,DISTRIBUTING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,8
LIST-83B8652B39F61BF4,SC-93B5C19A4B73C9B2,FUND-C758EFEBA9C7F622,ASIA_PACIFIC_EX_JAPAN,DUP-ASIA_PACIFIC_EX_JAPAN,LU1900068328,AMUNDI,AEJ,XLON,USD,USD,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,9
LIST-14C43F80AEE9AAF6,SC-773FF06143525454,FUND-E42479B2B86DA0C7,AUSTRALIA,DUP-AUSTRALIA,IE00BD4TY345,UBS,AUAD,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1
