taxonomy_node_id,node_type,sector,industry,parent_node_id,current_opportunity_present,sector_is_not_theme,taxonomy_version,warning
SECTOR-TECHNOLOGY,SECTOR,TECHNOLOGY,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-TECHNOLOGY-BROAD_SECTOR,INDUSTRY,TECHNOLOGY,BROAD_SECTOR,SECTOR-TECHNOLOGY,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-TECHNOLOGY-SEMICONDUCTORS,INDUSTRY,TECHNOLOGY,SEMICONDUCTORS,SECTOR-TECHNOLOGY,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-TECHNOLOGY-SOFTWARE,INDUSTRY,TECHNOLOGY,SOFTWARE,SECTOR-TECHNOLOGY,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-TECHNOLOGY-CYBERSECURITY,INDUSTRY,TECHNOLOGY,CYBERSECURITY,SECTOR-TECHNOLOGY,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-TECHNOLOGY-COMPUTING,INDUSTRY,TECHNOLOGY,COMPUTING,SECTOR-TECHNOLOGY,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SECTOR-FINANCIALS,SECTOR,FINANCIALS,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-FINANCIALS-BROAD_SECTOR,INDUSTRY,FINANCIALS,BROAD_SECTOR,SECTOR-FINANCIALS,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-FINANCIALS-BANKS,INDUSTRY,FINANCIALS,BANKS,SECTOR-FINANCIALS,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SECTOR-HEALTHCARE,SECTOR,HEALTHCARE,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-HEALTHCARE-BROAD_SECTOR,INDUSTRY,HEALTHCARE,BROAD_SECTOR,SECTOR-HEALTHCARE,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-HEALTHCARE-BIOTECHNOLOGY,INDUSTRY,HEALTHCARE,BIOTECHNOLOGY,SECTOR-HEALTHCARE,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SECTOR-INDUSTRIALS,SECTOR,INDUSTRIALS,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-INDUSTRIALS-BROAD_SECTOR,INDUSTRY,INDUSTRIALS,BROAD_SECTOR,SECTOR-INDUSTRIALS,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-INDUSTRIALS-AEROSPACE_AND_DEFENCE,INDUSTRY,INDUSTRIALS,AEROSPACE_AND_DEFENCE,SECTOR-INDUSTRIALS,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-INDUSTRIALS-TRANSPORTATION,INDUSTRY,INDUSTRIALS,TRANSPORTATION,SECTOR-INDUSTRIALS,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
