economic_exposure_family_id,rotation_role,rotation_pool,signal_horizon_sessions,old_valid_observations,old_first_valid_date,old_last_valid_date,a2r2_valid_observations,a2r2_first_valid_date,a2r2_last_valid_date,modern_coverage_restored,affected_by_old_defect,root_cause_family_code
ASIA_PACIFIC_EX_JAPAN,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,21,1634,2017-07-25,2026-08-21,2276,2017-07-26,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
ASIA_PACIFIC_EX_JAPAN,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,42,1172,2017-08-23,2026-08-21,2255,2017-08-24,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
ASIA_PACIFIC_EX_JAPAN,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,63,761,2018-02-09,2026-08-21,2236,2017-09-25,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
ASIA_PACIFIC_EX_JAPAN,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,126,243,2019-02-25,2026-05-01,2179,2017-12-21,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
ASIA_PACIFIC_EX_JAPAN,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,252,0,,,2053,2018-06-26,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
AUSTRALIA,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,21,1628,2017-12-08,2026-08-21,2185,2017-10-25,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
AUSTRALIA,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,42,1187,2018-01-11,2026-08-21,2147,2017-11-23,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
AUSTRALIA,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,63,779,2018-02-09,2026-08-21,2105,2017-12-22,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
AUSTRALIA,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,126,242,2019-02-25,2026-05-01,1979,2018-03-26,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
AUSTRALIA,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,252,0,,,1727,2018-09-25,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CANADA,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,21,2415,2014-07-11,2026-08-21,3289,2011-09-22,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CANADA,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,42,1942,2014-08-11,2026-08-21,3248,2011-10-24,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CANADA,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,63,1490,2014-09-10,2026-08-21,3229,2013-08-12,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CANADA,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,126,846,2014-12-08,2026-05-01,3181,2013-11-11,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
