date,year,analysis_context_id,signal_horizon_sessions,eligible_family_count,total_frozen_family_count
2000-12-29,2000,ALL_EQUITY_OPPORTUNITIES,21,0,82
2000-12-29,2000,ALL_EQUITY_OPPORTUNITIES,42,0,82
2000-12-29,2000,ALL_EQUITY_OPPORTUNITIES,63,0,82
2000-12-29,2000,ALL_EQUITY_OPPORTUNITIES,126,0,82
2000-12-29,2000,ALL_EQUITY_OPPORTUNITIES,252,0,82
2000-12-29,2000,COUNTRY,21,0,7
2000-12-29,2000,COUNTRY,42,0,7
2000-12-29,2000,COUNTRY,63,0,7
2000-12-29,2000,COUNTRY,126,0,7
2000-12-29,2000,COUNTRY,252,0,7
2000-12-29,2000,GEOGRAPHY,21,0,22
2000-12-29,2000,GEOGRAPHY,42,0,22
2000-12-29,2000,GEOGRAPHY,63,0,22
2000-12-29,2000,GEOGRAPHY,126,0,22
2000-12-29,2000,GEOGRAPHY,252,0,22
2000-12-29,2000,INDUSTRY,21,0,9
2000-12-29,2000,INDUSTRY,42,0,9
2000-12-29,2000,INDUSTRY,63,0,9
2000-12-29,2000,INDUSTRY,126,0,9
2000-12-29,2000,INDUSTRY,252,0,9
2000-12-29,2000,SECTOR,21,0,26
2000-12-29,2000,SECTOR,42,0,26
2000-12-29,2000,SECTOR,63,0,26
2000-12-29,2000,SECTOR,126,0,26
2000-12-29,2000,SECTOR,252,0,26
2000-12-29,2000,THEME,21,0,18
2000-12-29,2000,THEME,42,0,18
2000-12-29,2000,THEME,63,0,18
2000-12-29,2000,THEME,126,0,18
2000-12-29,2000,THEME,252,0,18
2001-12-28,2001,ALL_EQUITY_OPPORTUNITIES,21,0,82
2001-12-28,2001,ALL_EQUITY_OPPORTUNITIES,42,0,82
2001-12-28,2001,ALL_EQUITY_OPPORTUNITIES,63,0,82
2001-12-28,2001,ALL_EQUITY_OPPORTUNITIES,126,0,82
2001-12-28,2001,ALL_EQUITY_OPPORTUNITIES,252,0,82
2001-12-28,2001,COUNTRY,21,0,7
2001-12-28,2001,COUNTRY,42,0,7
2001-12-28,2001,COUNTRY,63,0,7
2001-12-28,2001,COUNTRY,126,0,7
2001-12-28,2001,COUNTRY,252,0,7
2001-12-28,2001,GEOGRAPHY,21,0,22
2001-12-28,2001,GEOGRAPHY,42,0,22
2001-12-28,2001,GEOGRAPHY,63,0,22
2001-12-28,2001,GEOGRAPHY,126,0,22
2001-12-28,2001,GEOGRAPHY,252,0,22
2001-12-28,2001,INDUSTRY,21,0,9
2001-12-28,2001,INDUSTRY,42,0,9
2001-12-28,2001,INDUSTRY,63,0,9
2001-12-28,2001,INDUSTRY,126,0,9
2001-12-28,2001,INDUSTRY,252,0,9
2001-12-28,2001,SECTOR,21,0,26
2001-12-28,2001,SECTOR,42,0,26
2001-12-28,2001,SECTOR,63,0,26
2001-12-28,2001,SECTOR,126,0,26
2001-12-28,2001,SECTOR,252,0,26
2001-12-28,2001,THEME,21,0,18
2001-12-28,2001,THEME,42,0,18
2001-12-28,2001,THEME,63,0,18
2001-12-28,2001,THEME,126,0,18
2001-12-28,2001,THEME,252,0,18
2002-12-27,2002,ALL_EQUITY_OPPORTUNITIES,21,0,82
2002-12-27,2002,ALL_EQUITY_OPPORTUNITIES,42,0,82
2002-12-27,2002,ALL_EQUITY_OPPORTUNITIES,63,0,82
2002-12-27,2002,ALL_EQUITY_OPPORTUNITIES,126,0,82
2002-12-27,2002,ALL_EQUITY_OPPORTUNITIES,252,0,82
2002-12-27,2002,COUNTRY,21,0,7
2002-12-27,2002,COUNTRY,42,0,7
2002-12-27,2002,COUNTRY,63,0,7
2002-12-27,2002,COUNTRY,126,0,7
2002-12-27,2002,COUNTRY,252,0,7
2002-12-27,2002,GEOGRAPHY,21,0,22
2002-12-27,2002,GEOGRAPHY,42,0,22
2002-12-27,2002,GEOGRAPHY,63,0,22
2002-12-27,2002,GEOGRAPHY,126,0,22
2002-12-27,2002,GEOGRAPHY,252,0,22
2002-12-27,2002,INDUSTRY,21,0,9
2002-12-27,2002,INDUSTRY,42,0,9
2002-12-27,2002,INDUSTRY,63,0,9
2002-12-27,2002,INDUSTRY,126,0,9
2002-12-27,2002,INDUSTRY,252,0,9
2002-12-27,2002,SECTOR,21,0,26
2002-12-27,2002,SECTOR,42,0,26
2002-12-27,2002,SECTOR,63,0,26
2002-12-27,2002,SECTOR,126,0,26
2002-12-27,2002,SECTOR,252,0,26
2002-12-27,2002,THEME,21,0,18
2002-12-27,2002,THEME,42,0,18
2002-12-27,2002,THEME,63,0,18
2002-12-27,2002,THEME,126,0,18
2002-12-27,2002,THEME,252,0,18
2003-12-24,2003,ALL_EQUITY_OPPORTUNITIES,21,0,82
2003-12-24,2003,ALL_EQUITY_OPPORTUNITIES,42,0,82
2003-12-24,2003,ALL_EQUITY_OPPORTUNITIES,63,0,82
2003-12-24,2003,ALL_EQUITY_OPPORTUNITIES,126,0,82
2003-12-24,2003,ALL_EQUITY_OPPORTUNITIES,252,0,82
2003-12-24,2003,COUNTRY,21,0,7
2003-12-24,2003,COUNTRY,42,0,7
2003-12-24,2003,COUNTRY,63,0,7
2003-12-24,2003,COUNTRY,126,0,7
2003-12-24,2003,COUNTRY,252,0,7
2003-12-24,2003,GEOGRAPHY,21,0,22
2003-12-24,2003,GEOGRAPHY,42,0,22
2003-12-24,2003,GEOGRAPHY,63,0,22
2003-12-24,2003,GEOGRAPHY,126,0,22
2003-12-24,2003,GEOGRAPHY,252,0,22
2003-12-24,2003,INDUSTRY,21,0,9
2003-12-24,2003,INDUSTRY,42,0,9
2003-12-24,2003,INDUSTRY,63,0,9
2003-12-24,2003,INDUSTRY,126,0,9
2003-12-24,2003,INDUSTRY,252,0,9
2003-12-24,2003,SECTOR,21,0,26
2003-12-24,2003,SECTOR,42,0,26
2003-12-24,2003,SECTOR,63,0,26
2003-12-24,2003,SECTOR,126,0,26
2003-12-24,2003,SECTOR,252,0,26
2003-12-24,2003,THEME,21,0,18
2003-12-24,2003,THEME,42,0,18
2003-12-24,2003,THEME,63,0,18
2003-12-24,2003,THEME,126,0,18
2003-12-24,2003,THEME,252,0,18
2004-12-31,2004,ALL_EQUITY_OPPORTUNITIES,21,0,82
2004-12-31,2004,ALL_EQUITY_OPPORTUNITIES,42,0,82
2004-12-31,2004,ALL_EQUITY_OPPORTUNITIES,63,0,82
2004-12-31,2004,ALL_EQUITY_OPPORTUNITIES,126,0,82
2004-12-31,2004,ALL_EQUITY_OPPORTUNITIES,252,0,82
2004-12-31,2004,COUNTRY,21,0,7
2004-12-31,2004,COUNTRY,42,0,7
2004-12-31,2004,COUNTRY,63,0,7
2004-12-31,2004,COUNTRY,126,0,7
2004-12-31,2004,COUNTRY,252,0,7
2004-12-31,2004,GEOGRAPHY,21,0,22
2004-12-31,2004,GEOGRAPHY,42,0,22
2004-12-31,2004,GEOGRAPHY,63,0,22
2004-12-31,2004,GEOGRAPHY,126,0,22
2004-12-31,2004,GEOGRAPHY,252,0,22
2004-12-31,2004,INDUSTRY,21,0,9
2004-12-31,2004,INDUSTRY,42,0,9
2004-12-31,2004,INDUSTRY,63,0,9
2004-12-31,2004,INDUSTRY,126,0,9
2004-12-31,2004,INDUSTRY,252,0,9
2004-12-31,2004,SECTOR,21,0,26
2004-12-31,2004,SECTOR,42,0,26
2004-12-31,2004,SECTOR,63,0,26
2004-12-31,2004,SECTOR,126,0,26
2004-12-31,2004,SECTOR,252,0,26
2004-12-31,2004,THEME,21,0,18
2004-12-31,2004,THEME,42,0,18
2004-12-31,2004,THEME,63,0,18
2004-12-31,2004,THEME,126,0,18
2004-12-31,2004,THEME,252,0,18
2005-12-30,2005,ALL_EQUITY_OPPORTUNITIES,21,0,82
2005-12-30,2005,ALL_EQUITY_OPPORTUNITIES,42,0,82
2005-12-30,2005,ALL_EQUITY_OPPORTUNITIES,63,0,82
2005-12-30,2005,ALL_EQUITY_OPPORTUNITIES,126,0,82
2005-12-30,2005,ALL_EQUITY_OPPORTUNITIES,252,0,82
2005-12-30,2005,COUNTRY,21,0,7
2005-12-30,2005,COUNTRY,42,0,7
2005-12-30,2005,COUNTRY,63,0,7
2005-12-30,2005,COUNTRY,126,0,7
2005-12-30,2005,COUNTRY,252,0,7
2005-12-30,2005,GEOGRAPHY,21,0,22
2005-12-30,2005,GEOGRAPHY,42,0,22
2005-12-30,2005,GEOGRAPHY,63,0,22
2005-12-30,2005,GEOGRAPHY,126,0,22
2005-12-30,2005,GEOGRAPHY,252,0,22
2005-12-30,2005,INDUSTRY,21,0,9
2005-12-30,2005,INDUSTRY,42,0,9
2005-12-30,2005,INDUSTRY,63,0,9
2005-12-30,2005,INDUSTRY,126,0,9
2005-12-30,2005,INDUSTRY,252,0,9
2005-12-30,2005,SECTOR,21,0,26
2005-12-30,2005,SECTOR,42,0,26
2005-12-30,2005,SECTOR,63,0,26
2005-12-30,2005,SECTOR,126,0,26
2005-12-30,2005,SECTOR,252,0,26
2005-12-30,2005,THEME,21,0,18
2005-12-30,2005,THEME,42,0,18
2005-12-30,2005,THEME,63,0,18
2005-12-30,2005,THEME,126,0,18
2005-12-30,2005,THEME,252,0,18
2006-12-29,2006,ALL_EQUITY_OPPORTUNITIES,21,0,82
2006-12-29,2006,ALL_EQUITY_OPPORTUNITIES,42,0,82
2006-12-29,2006,ALL_EQUITY_OPPORTUNITIES,63,0,82
2006-12-29,2006,ALL_EQUITY_OPPORTUNITIES,126,0,82
2006-12-29,2006,ALL_EQUITY_OPPORTUNITIES,252,0,82
2006-12-29,2006,COUNTRY,21,0,7
2006-12-29,2006,COUNTRY,42,0,7
2006-12-29,2006,COUNTRY,63,0,7
2006-12-29,2006,COUNTRY,126,0,7
2006-12-29,2006,COUNTRY,252,0,7
2006-12-29,2006,GEOGRAPHY,21,0,22
2006-12-29,2006,GEOGRAPHY,42,0,22
2006-12-29,2006,GEOGRAPHY,63,0,22
2006-12-29,2006,GEOGRAPHY,126,0,22
2006-12-29,2006,GEOGRAPHY,252,0,22
2006-12-29,2006,INDUSTRY,21,0,9
2006-12-29,2006,INDUSTRY,42,0,9
2006-12-29,2006,INDUSTRY,63,0,9
2006-12-29,2006,INDUSTRY,126,0,9
2006-12-29,2006,INDUSTRY,252,0,9
2006-12-29,2006,SECTOR,21,0,26
2006-12-29,2006,SECTOR,42,0,26
2006-12-29,2006,SECTOR,63,0,26
2006-12-29,2006,SECTOR,126,0,26
2006-12-29,2006,SECTOR,252,0,26
2006-12-29,2006,THEME,21,0,18
2006-12-29,2006,THEME,42,0,18
2006-12-29,2006,THEME,63,0,18
2006-12-29,2006,THEME,126,0,18
2006-12-29,2006,THEME,252,0,18
2007-12-28,2007,ALL_EQUITY_OPPORTUNITIES,21,0,82
2007-12-28,2007,ALL_EQUITY_OPPORTUNITIES,42,0,82
2007-12-28,2007,ALL_EQUITY_OPPORTUNITIES,63,0,82
2007-12-28,2007,ALL_EQUITY_OPPORTUNITIES,126,0,82
2007-12-28,2007,ALL_EQUITY_OPPORTUNITIES,252,0,82
2007-12-28,2007,COUNTRY,21,0,7
2007-12-28,2007,COUNTRY,42,0,7
2007-12-28,2007,COUNTRY,63,0,7
2007-12-28,2007,COUNTRY,126,0,7
2007-12-28,2007,COUNTRY,252,0,7
2007-12-28,2007,GEOGRAPHY,21,0,22
2007-12-28,2007,GEOGRAPHY,42,0,22
2007-12-28,2007,GEOGRAPHY,63,0,22
2007-12-28,2007,GEOGRAPHY,126,0,22
2007-12-28,2007,GEOGRAPHY,252,0,22
2007-12-28,2007,INDUSTRY,21,0,9
2007-12-28,2007,INDUSTRY,42,0,9
2007-12-28,2007,INDUSTRY,63,0,9
2007-12-28,2007,INDUSTRY,126,0,9
2007-12-28,2007,INDUSTRY,252,0,9
2007-12-28,2007,SECTOR,21,0,26
2007-12-28,2007,SECTOR,42,0,26
2007-12-28,2007,SECTOR,63,0,26
2007-12-28,2007,SECTOR,126,0,26
2007-12-28,2007,SECTOR,252,0,26
2007-12-28,2007,THEME,21,0,18
2007-12-28,2007,THEME,42,0,18
2007-12-28,2007,THEME,63,0,18
2007-12-28,2007,THEME,126,0,18
2007-12-28,2007,THEME,252,0,18
2008-12-24,2008,ALL_EQUITY_OPPORTUNITIES,21,0,82
2008-12-24,2008,ALL_EQUITY_OPPORTUNITIES,42,0,82
2008-12-24,2008,ALL_EQUITY_OPPORTUNITIES,63,0,82
2008-12-24,2008,ALL_EQUITY_OPPORTUNITIES,126,0,82
2008-12-24,2008,ALL_EQUITY_OPPORTUNITIES,252,0,82
2008-12-24,2008,COUNTRY,21,0,7
2008-12-24,2008,COUNTRY,42,0,7
2008-12-24,2008,COUNTRY,63,0,7
2008-12-24,2008,COUNTRY,126,0,7
2008-12-24,2008,COUNTRY,252,0,7
2008-12-24,2008,GEOGRAPHY,21,0,22
2008-12-24,2008,GEOGRAPHY,42,0,22
2008-12-24,2008,GEOGRAPHY,63,0,22
2008-12-24,2008,GEOGRAPHY,126,0,22
2008-12-24,2008,GEOGRAPHY,252,0,22
2008-12-24,2008,INDUSTRY,21,0,9
2008-12-24,2008,INDUSTRY,42,0,9
2008-12-24,2008,INDUSTRY,63,0,9
2008-12-24,2008,INDUSTRY,126,0,9
2008-12-24,2008,INDUSTRY,252,0,9
2008-12-24,2008,SECTOR,21,0,26
2008-12-24,2008,SECTOR,42,0,26
2008-12-24,2008,SECTOR,63,0,26
2008-12-24,2008,SECTOR,126,0,26
2008-12-24,2008,SECTOR,252,0,26
2008-12-24,2008,THEME,21,0,18
2008-12-24,2008,THEME,42,0,18
2008-12-24,2008,THEME,63,0,18
2008-12-24,2008,THEME,126,0,18
2008-12-24,2008,THEME,252,0,18
2009-12-31,2009,ALL_EQUITY_OPPORTUNITIES,21,0,82
2009-12-31,2009,ALL_EQUITY_OPPORTUNITIES,42,0,82
2009-12-31,2009,ALL_EQUITY_OPPORTUNITIES,63,0,82
2009-12-31,2009,ALL_EQUITY_OPPORTUNITIES,126,0,82
2009-12-31,2009,ALL_EQUITY_OPPORTUNITIES,252,0,82
2009-12-31,2009,COUNTRY,21,0,7
