date,economic_exposure_family_id,prior_effective_listing_id,effective_listing_id,isin,ticker,selection_source,endpoint_valid,previous_listing_valid_date,return_span_xlon_sessions,implementation_transition_flag,continuity_segment_id,continuity_reason,semantic_fingerprint_match,transition_policy_result,return_similarity_used_for_decision
2017-06-28,ASIA_PACIFIC_EX_JAPAN,LIST-75F873B8A31A377E,LIST-151C322B5087CAA2,IE00B7WK2W23,UC48,A2R_CANONICAL_SELECTION,True,2017-06-27,1.0,True,4,SEMANTICALLY_IDENTICAL_IMPLEMENTATION_TRANSITION,YES_SAME_A2R_ECONOMIC_FAMILY,CONTINUE,NO
2019-10-25,ASIA_PACIFIC_EX_JAPAN,LIST-151C322B5087CAA2,LIST-6C384A9D9BABA237,IE00BFXR5W90,LGAG,A2R_CANONICAL_SELECTION,True,2019-10-24,1.0,True,4,SEMANTICALLY_IDENTICAL_IMPLEMENTATION_TRANSITION,YES_SAME_A2R_ECONOMIC_FAMILY,CONTINUE,NO
2019-10-28,ASIA_PACIFIC_EX_JAPAN,LIST-6C384A9D9BABA237,LIST-151C322B5087CAA2,IE00B7WK2W23,UC48,A2R_CANONICAL_SELECTION,True,2019-10-25,1.0,True,4,SEMANTICALLY_IDENTICAL_IMPLEMENTATION_TRANSITION,YES_SAME_A2R_ECONOMIC_FAMILY,CONTINUE,NO
2020-07-23,ASIA_PACIFIC_EX_JAPAN,LIST-151C322B5087CAA2,LIST-6C384A9D9BABA237,IE00BFXR5W90,LGAG,A2R_CANONICAL_SELECTION,True,2020-07-22,1.0,True,4,SEMANTICALLY_IDENTICAL_IMPLEMENTATION_TRANSITION,YES_SAME_A2R_ECONOMIC_FAMILY,CONTINUE,NO
2020-07-28,ASIA_PACIFIC_EX_JAPAN,LIST-6C384A9D9BABA237,LIST-151C322B5087CAA2,IE00B7WK2W23,UC48,A2R_CANONICAL_SELECTION,False,,,False,4,PRICE_NOT_AVAILABLE,YES_SAME_A2R_ECONOMIC_FAMILY,RESET_OR_ENDPOINT_UNAVAILABLE,NO
2020-07-29,ASIA_PACIFIC_EX_JAPAN,LIST-151C322B5087CAA2,LIST-6C384A9D9BABA237,IE00BFXR5W90,LGAG,A2R_CANONICAL_SELECTION,True,2020-07-28,1.0,False,4,EXACT_PREVIOUS_XLON_SESSION_ENDPOINT,YES_SAME_A2R_ECONOMIC_FAMILY,RESET_OR_ENDPOINT_UNAVAILABLE,NO
2020-07-30,ASIA_PACIFIC_EX_JAPAN,LIST-6C384A9D9BABA237,LIST-151C322B5087CAA2,IE00B7WK2W23,UC48,A2R_CANONICAL_SELECTION,True,2020-07-29,1.0,True,4,SEMANTICALLY_IDENTICAL_IMPLEMENTATION_TRANSITION,YES_SAME_A2R_ECONOMIC_FAMILY,CONTINUE,NO
2020-08-04,ASIA_PACIFIC_EX_JAPAN,LIST-151C322B5087CAA2,LIST-6C384A9D9BABA237,IE00BFXR5W90,LGAG,A2R_CANONICAL_SELECTION,True,2020-08-03,1.0,True,4,SEMANTICALLY_IDENTICAL_IMPLEMENTATION_TRANSITION,YES_SAME_A2R_ECONOMIC_FAMILY,CONTINUE,NO
2020-08-07,ASIA_PACIFIC_EX_JAPAN,LIST-6C384A9D9BABA237,LIST-151C322B5087CAA2,IE00B7WK2W23,UC48,A2R_CANONICAL_SELECTION,True,2020-08-06,1.0,True,4,SEMANTICALLY_IDENTICAL_IMPLEMENTATION_TRANSITION,YES_SAME_A2R_ECONOMIC_FAMILY,CONTINUE,NO
2020-08-11,ASIA_PACIFIC_EX_JAPAN,LIST-151C322B5087CAA2,LIST-6C384A9D9BABA237,IE00BFXR5W90,LGAG,A2R_CANONICAL_SELECTION,True,2020-08-10,1.0,True,4,SEMANTICALLY_IDENTICAL_IMPLEMENTATION_TRANSITION,YES_SAME_A2R_ECONOMIC_FAMILY,CONTINUE,NO
