economic_exposure_family_id,economic_exposure_name,primary_rotation_role,rotation_pool_id,primary_competition_pool_id,parent_exposure_family_id,preferred_or_alternate,fund_entity_id,share_class_id,listing_id,isin,ticker,exchange,mic,listing_currency,price_unit,provider_issuer,share_class_name,product_structure,instrument_type,ucits_status,ucits_evidence_basis,current_investability_state,LSE_current_status,UK_retail_disclosure_status,public_ISA_rules_status,public_evidence_URLs,public_evidence_date,public_evidence_confidence,implementation_selection_reason,economic_lineage_valid,warning
ASIA_PACIFIC_EX_JAPAN,Asia-Pacific equities excluding Japan,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,POOL_REGIONAL_SATELLITES,GLOBAL_ALL_WORLD,ALTERNATE,FUND-C758EFEBA9C7F622,SC-93B5C19A4B73C9B2,LIST-44697DEE94120EBA,LU1900068328,AEJL,London Stock Exchange,XLON,GBP,GBX,AMUNDI,MULTI UNITS LUXEMBOURG AMUNDI MSCI AC ASIA PACIFIC EX JAPAN ACC,NOT_VERIFIED,ETF,NOT_DETERMINED,NOT_DETERMINED_NOT_INFERRED_FROM_NAME,CURRENT_CANDIDATE_UNVERIFIED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D23%26size%3D100,2026-08-22,MEDIUM,NEXT_VALID_LINE|SAME_ISIN_ALTERNATE_LISTING_FIRST|STABLE_ORDER,True,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
ASIA_PACIFIC_EX_JAPAN,Asia-Pacific equities excluding Japan,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,POOL_REGIONAL_SATELLITES,GLOBAL_ALL_WORLD,PREFERRED,FUND-E42479B2B86DA0C7,SC-AA8F15B4E030DAEA,LIST-151C322B5087CAA2,IE00B7WK2W23,UC48,London Stock Exchange,XLON,GBP,GBX,UBS,UBS (IRL) FUND SOLUTIONS PLC UBS MSCI AC ASIA EXJAPAN SF ETF USD ACC,NOT_VERIFIED,ETF,NOT_DETERMINED,NOT_DETERMINED_NOT_INFERRED_FROM_NAME,CURRENT_CANDIDATE_UNVERIFIED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D26%26size%3D100,2026-08-22,MEDIUM,FAMILY_SCOPE_OVERRIDE_IF_DECLARED|CURRENT_STATUS|ACTIVE_XLON|GBP_GBX|EVIDENCE_CONFIDENCE|A0_ORDER|STABLE_ID,True,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
AUSTRALIA,Broad Australian equities,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,DEVELOPED_ASIA_PACIFIC,PREFERRED,FUND-E42479B2B86DA0C7,SC-773FF06143525454,LIST-14C43F80AEE9AAF6,IE00BD4TY345,AUAD,London Stock Exchange,XLON,GBP,GBX,UBS,UBS,NOT_VERIFIED,ETF,NOT_DETERMINED,NOT_VERIFIED,CURRENT_CANDIDATE_UNVERIFIED,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,UNCERTAIN,NOT_VERIFIED,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,EXACT_ECONOMIC_FINGERPRINT|CURRENT_XLON|GBP_GBX_FIRST|VALID_A2R_HISTORY|STABLE_TIEBREAK,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
BROAD_COMMODITIES,Broad diversified commodity basket,DEFENSIVE_REFERENCE,POOL_DEFENSIVE_REAL_ASSETS,POOL_DEFENSIVE_REAL_ASSETS,NOT_APPLICABLE,ALTERNATE,FUND-B987074B21334B3F,SC-254040107C84B292,LIST-48CFC440342C7B51,IE00B4WPHX27,COMF,London Stock Exchange,XLON,USD,USD,LEGAL AND GENERAL ASSET MANAGEMENT,LEGAL & GENERAL UCITS ETF PLC L&G LONGER DATED ALL COMMODITIES,NOT_VERIFIED,ETF,NOT_DETERMINED,NOT_DETERMINED_NOT_INFERRED_FROM_NAME,CURRENT_CANDIDATE_UNVERIFIED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D21%26size%3D100,2026-08-22,MEDIUM,NEXT_VALID_LINE|SAME_ISIN_ALTERNATE_LISTING_FIRST|STABLE_ORDER,True,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
BROAD_COMMODITIES,Broad diversified commodity basket,DEFENSIVE_REFERENCE,POOL_DEFENSIVE_REAL_ASSETS,POOL_DEFENSIVE_REAL_ASSETS,NOT_APPLICABLE,PREFERRED,FUND-B987074B21334B3F,SC-254040107C84B292,LIST-6F6650592322498F,IE00B4WPHX27,CMFP,London Stock Exchange,XLON,GBP,GBX,LEGAL AND GENERAL ASSET MANAGEMENT,LEGAL & GENERAL UCITS ETF PLC L&G LONGER DATED ALL COMMODITIES,NOT_VERIFIED,ETF,NOT_DETERMINED,NOT_DETERMINED_NOT_INFERRED_FROM_NAME,CURRENT_CANDIDATE_UNVERIFIED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D21%26size%3D100,2026-08-22,MEDIUM,FAMILY_SCOPE_OVERRIDE_IF_DECLARED|CURRENT_STATUS|ACTIVE_XLON|GBP_GBX|EVIDENCE_CONFIDENCE|A0_ORDER|STABLE_ID,True,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CANADA,Broad Canadian equities,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,GLOBAL_DEVELOPED_WORLD,ALTERNATE,FUND-BB6B7E7B9401E72D,SC-E4A748FC4DF81B4A,LIST-41F6B703AB52B010,IE00B52SF786,CCAU,London Stock Exchange,XLON,USD,USD,ISHARES,iShares MSCI Canada UCITS ETF,Physical,ETF,YES,PRIMARY_ISSUER_PRODUCT_PAGE,CURRENTLY_INVESTABLE,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D18%26size%3D100;https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-msci-canada-ucits-etf-usd-acc-gb-ie00b52sf786-en.pdf,2026-08-22,HIGH,NEXT_VALID_LINE|SAME_ISIN_ALTERNATE_LISTING_FIRST|STABLE_ORDER,True,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CANADA,Broad Canadian equities,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,GLOBAL_DEVELOPED_WORLD,PREFERRED,FUND-BB6B7E7B9401E72D,SC-E4A748FC4DF81B4A,LIST-F34996A28FCA5B34,IE00B52SF786,CSCA,London Stock Exchange,XLON,GBP,GBX,ISHARES,iShares MSCI Canada UCITS ETF,Physical,ETF,YES,PRIMARY_ISSUER_PRODUCT_PAGE,CURRENTLY_INVESTABLE,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D18%26size%3D100;https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-msci-canada-ucits-etf-usd-acc-gb-ie00b52sf786-en.pdf,2026-08-22,HIGH,FAMILY_SCOPE_OVERRIDE_IF_DECLARED|CURRENT_STATUS|ACTIVE_XLON|GBP_GBX|EVIDENCE_CONFIDENCE|A0_ORDER|STABLE_ID,True,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_A_SHARES,Mainland China A-shares,COUNTRY_ROTATION,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,CHINA_BROAD,ALTERNATE,FUND-70AECA3C35FB043E,SC-B3150C51BC5C4964,LIST-4CF43ECE3A695F1C,LU0875160326,ASHR,London Stock Exchange,XLON,USD,USD,DEUTSCHE BANK,XTRACKERS X HARVEST CSI 300,NOT_VERIFIED,ETF,NOT_DETERMINED,NOT_DETERMINED_NOT_INFERRED_FROM_NAME,CURRENT_CANDIDATE_UNVERIFIED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D33%26size%3D100,2026-08-22,MEDIUM,NEXT_VALID_LINE|SAME_ISIN_ALTERNATE_LISTING_FIRST|STABLE_ORDER,True,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_A_SHARES,Mainland China A-shares,COUNTRY_ROTATION,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,CHINA_BROAD,PREFERRED,FUND-70AECA3C35FB043E,SC-B3150C51BC5C4964,LIST-3A822D65AEFA4ACF,LU0875160326,RQFI,London Stock Exchange,XLON,GBP,GBX,DEUTSCHE BANK,XTRACKERS X HARVEST CSI 300,NOT_VERIFIED,ETF,NOT_DETERMINED,NOT_DETERMINED_NOT_INFERRED_FROM_NAME,CURRENT_CANDIDATE_UNVERIFIED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D33%26size%3D100,2026-08-22,MEDIUM,FAMILY_SCOPE_OVERRIDE_IF_DECLARED|CURRENT_STATUS|ACTIVE_XLON|GBP_GBX|EVIDENCE_CONFIDENCE|A0_ORDER|STABLE_ID,True,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,Broad China equities,COUNTRY_ROTATION,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,EMERGING_MARKETS,ALTERNATE,A2RFUND-0EE7FA45E944826F,A2RSC-DD6988C0BB9F02A4,A2RLIST-1737B6BFC604CE2E,IE00B44T3H88,HMCD,LONDON STOCK EXCHANGE,XLON,USD,USD,HSBC,HSBC MSCI China UCITS ETF USD Dist,UCITS_ETF,ETF,UCITS_CONFIRMED_PRIMARY_EVIDENCE,https://www.assetmanagement.hsbc.co.uk/api/v1/download/document/ie00b44t3h88/gb/en/factsheet,CURRENT_CANDIDATE_UNVERIFIED,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,https://www.assetmanagement.hsbc.co.uk/api/v1/download/document/ie00b44t3h88/gb/en/factsheet,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,EXACT_ECONOMIC_FINGERPRINT|CURRENT_XLON|GBP_GBX_FIRST|VALID_A2R_HISTORY|STABLE_TIEBREAK,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,Broad China equities,COUNTRY_ROTATION,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,EMERGING_MARKETS,PREFERRED,A2RFUND-0EE7FA45E944826F,A2RSC-DD6988C0BB9F02A4,A2RLIST-8A1690D7AF24CEA9,IE00B44T3H88,HMCH,LONDON STOCK EXCHANGE,XLON,GBP,GBX,HSBC,HSBC MSCI China UCITS ETF USD Dist,UCITS_ETF,ETF,UCITS_CONFIRMED_PRIMARY_EVIDENCE,https://www.assetmanagement.hsbc.co.uk/api/v1/download/document/ie00b44t3h88/gb/en/factsheet,CURRENT_CANDIDATE_UNVERIFIED,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,https://www.assetmanagement.hsbc.co.uk/api/v1/download/document/ie00b44t3h88/gb/en/factsheet,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,EXACT_ECONOMIC_FINGERPRINT|CURRENT_XLON|GBP_GBX_FIRST|VALID_A2R_HISTORY|STABLE_TIEBREAK,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_INTERNET,China internet and digital economy,THEME_ROTATION,POOL_CHINA_THEMES,POOL_CHINA_THEMES,CHINA_BROAD,ALTERNATE,FUND-00EB340FCEBC3AF9,SC-CB17481BB120039D,LIST-CD00F12D342F6ED6,IE000CD5SH30,KWBH,London Stock Exchange,XLON,GBP,GBX,KRANESHARES,KRANESHARES ICAV KRANESHARES CSI CHINA INTERNET UCITS ETF,NOT_VERIFIED,ETF,NOT_DETERMINED,NOT_DETERMINED_NOT_INFERRED_FROM_NAME,CURRENT_CANDIDATE_UNVERIFIED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D21%26size%3D100,2026-08-22,MEDIUM,NEXT_VALID_LINE|SAME_ISIN_ALTERNATE_LISTING_FIRST|STABLE_ORDER,True,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
