child_exposure_family_id,child_exposure_name,parent_relation_type,parent_exposure_family_id,parent_exists_in_A0A1_master,relationship_basis,child_duplicate_group_id,parent_duplicate_identity,labelled_duplicate_due_only_to_overlap,relationship_status,warning
ASIA_PACIFIC_EX_JAPAN,Asia-Pacific equities excluding Japan,PRIMARY,GLOBAL_ALL_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_ALL_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
AUSTRALIA,Broad Australian equities,PRIMARY,DEVELOPED_ASIA_PACIFIC,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,DEVELOPED_ASIA_PACIFIC,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
AUSTRALIA,Broad Australian equities,SECONDARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CANADA,Broad Canadian equities,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_A_SHARES,Mainland China A-shares,PRIMARY,CHINA_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,CHINA_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_A_SHARES,Mainland China A-shares,SECONDARY,EMERGING_MARKETS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EMERGING_MARKETS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,Broad China equities,PRIMARY,EMERGING_MARKETS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EMERGING_MARKETS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,Broad China equities,SECONDARY,GLOBAL_ALL_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_ALL_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD_USD_HEDGED,Broad China equities hedged to USD,PRIMARY,CHINA_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,CHINA_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_INTERNET,China internet and digital economy,PRIMARY,CHINA_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,CHINA_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
