economic_exposure_family_id,audit_scope,before_valid_return_count,after_valid_return_count,before_first_valid_date,after_first_valid_date,before_history_sha256,after_history_sha256,overlap_valid_observations,max_absolute_return_difference_on_overlap,audit_result,warning
ASIA_PACIFIC_EX_JAPAN,UNAFFECTED_REGRESSION_CONTROL,2272,2272,2016-11-10,2016-11-10,02089fa6f7e11881e88cd1d99184804e49d8de8a9f29924755c31a3ba27a4cd4,02089fa6f7e11881e88cd1d99184804e49d8de8a9f29924755c31a3ba27a4cd4,2272,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
AUSTRALIA,BLOCKING_REMEDIATION,2640,2196,2015-12-08,2017-09-26,5aaadf95a6519e92c9259a8fc74b1b30d262e6ab553eba57f55b977a775eaa25,38dd0dc65158fc32915fd57ac4ce9ef47efcc3eb2ba5fcb2163527e0183a5a14,2194,0.11585908299259862,INTENTIONALLY_REMEDIATED,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
BROAD_COMMODITIES,UNAFFECTED_REGRESSION_CONTROL,4711,4711,2007-03-26,2007-03-26,d776f69be929c2b946758f4c30280ed94018821e98dca18428d24f389c66766c,d776f69be929c2b946758f4c30280ed94018821e98dca18428d24f389c66766c,4711,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CANADA,UNAFFECTED_REGRESSION_CONTROL,3530,3530,2010-09-20,2010-09-20,90f49713889bfd99f6c534ea0aa2831abda1dd20630d395ee079b5f893c20c06,90f49713889bfd99f6c534ea0aa2831abda1dd20630d395ee079b5f893c20c06,3530,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_A_SHARES,UNAFFECTED_REGRESSION_CONTROL,3137,3137,2014-02-06,2014-02-06,ef9db85eb60cb911c424ed64c32f461706cba8f328a8043d96cd7d519486ec85,ef9db85eb60cb911c424ed64c32f461706cba8f328a8043d96cd7d519486ec85,3137,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,BLOCKING_REMEDIATION,2840,3840,2014-09-12,2011-02-24,64030553889da1344ca72e35029d6b847a0b186932aa0fec2f7608227732579f,223d4f82d870b21211568b2d197749676b0b845e92d46957cad8d2b55b2c45ad,2839,0.10099310264908434,INTENTIONALLY_REMEDIATED,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD_USD_HEDGED,UNAFFECTED_REGRESSION_CONTROL,0,0,,,f5bd8461b140fd46a9b527108942a65739ae548b1111fa0978a6205e0040aaba,f5bd8461b140fd46a9b527108942a65739ae548b1111fa0978a6205e0040aaba,0,,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_INTERNET,UNAFFECTED_REGRESSION_CONTROL,1462,1462,2020-10-06,2020-10-06,c621108de10b724d87ccead77d43c406f95e1c4f6d806299d2488f3440080f30,c621108de10b724d87ccead77d43c406f95e1c4f6d806299d2488f3440080f30,1462,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
DEVELOPED_ASIA_PACIFIC,UNAFFECTED_REGRESSION_CONTROL,4155,4155,2009-09-29,2009-09-29,b4d8ea67986c98d2593836b7099723b7e8d83d6484dd49210eb25f1109d7eef7,b4d8ea67986c98d2593836b7099723b7e8d83d6484dd49210eb25f1109d7eef7,4155,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EMERGING_ASIA,UNAFFECTED_REGRESSION_CONTROL,3362,3362,2010-10-26,2010-10-26,30f8e2561ec50c2f53d7944c67cc009e01de49a1453ad9adaad4075532086dd6,30f8e2561ec50c2f53d7944c67cc009e01de49a1453ad9adaad4075532086dd6,3362,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EMERGING_MARKETS,UNAFFECTED_REGRESSION_CONTROL,3534,3534,2012-06-01,2012-06-01,694a9a83e3ae679965ce61dd9f8b36ca898252af25667253ab2cc84c41d70e8b,694a9a83e3ae679965ce61dd9f8b36ca898252af25667253ab2cc84c41d70e8b,3534,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_AEROSPACE_DEFENCE,UNAFFECTED_REGRESSION_CONTROL,916,916,2019-07-08,2019-07-08,7acead1e0ff0b9faf592379f8d226782f5a1fee79d0d2e5387710df188d7bae7,7acead1e0ff0b9faf592379f8d226782f5a1fee79d0d2e5387710df188d7bae7,916,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_BANKS,UNAFFECTED_REGRESSION_CONTROL,2953,2953,2014-10-29,2014-10-29,c9c1dd23cedb1aeaa70780678e30fc645b380e077f352d72b60c552d89d5012d,c9c1dd23cedb1aeaa70780678e30fc645b380e077f352d72b60c552d89d5012d,2953,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_BROAD,UNAFFECTED_REGRESSION_CONTROL,3392,3392,2010-06-01,2010-06-01,c84e2f385b40e6f8085eed0cebbf59f0e3998ccef9c9cdf6f76af00fe56126f9,c84e2f385b40e6f8085eed0cebbf59f0e3998ccef9c9cdf6f76af00fe56126f9,3392,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_CONSUMER_STAPLES,UNAFFECTED_REGRESSION_CONTROL,2852,2852,2014-12-12,2014-12-12,afcaffae470ca6a9087060b01ce6056857f04cf4f0ed765d89967c595ff550f5,afcaffae470ca6a9087060b01ce6056857f04cf4f0ed765d89967c595ff550f5,2852,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_ENERGY,BLOCKING_REMEDIATION,1088,1736,2022-04-07,2016-02-11,d001a7d28ce081be02a0cbf7feebc6caaea66fdeaac841265af8978ef38eb0c5,ac87126c6efd872b7fcbf60d287777073a6d56f489e6835a60091204e2015988,1088,0.05510289266782986,INTENTIONALLY_REMEDIATED,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
