economic_exposure_family_id,canonical_family_name,asset_class,primary_geography,geographic_scope,sector,industry,theme_if_applicable,breadth_level,currency_hedge_status,intended_index_family_or_objective,allowed_equivalent_objectives,rotation_role,parent_exposure_family_id,primary_competition_pool_id,frozen_economic_identity_fingerprint,definition_frozen_before_history_selection,warning
AUSTRALIA,Broad Australian equities,EQUITY,AUSTRALIA,COUNTRY,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BROAD_COUNTRY,UNHEDGED,MSCI_AUSTRALIA,NOT_APPLICABLE,COUNTRY_ROTATION,GLOBAL_DEVELOPED_WORLD,POOL_COUNTRY_EQUITY,AUSTRALIA × BROAD_MARKET × MSCI_AUSTRALIA × UNHEDGED × BROAD_COUNTRY,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,Broad China equities,EQUITY,CHINA,COUNTRY,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BROAD_COUNTRY,UNHEDGED,MSCI_CHINA,NOT_APPLICABLE,COUNTRY_ROTATION,EMERGING_MARKETS,POOL_COUNTRY_EQUITY,CHINA × BROAD_MARKET × MSCI_CHINA × UNHEDGED × BROAD_COUNTRY,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_ENERGY,Broad Europe energy sector,EQUITY,EUROPE,REGION,ENERGY,BROAD_SECTOR,NOT_APPLICABLE,BROAD_SECTOR,UNHEDGED,MSCI_EUROPE_ENERGY_35_20_CAPPED,MSCI_EUROPE_ENERGY,SECTOR_ROTATION,EUROPE_BROAD,POOL_BROAD_SECTOR,EUROPE × ENERGY × MSCI_EUROPE_ENERGY_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_FINANCIALS,Broad Europe financials sector,EQUITY,EUROPE,REGION,FINANCIALS,BROAD_SECTOR,NOT_APPLICABLE,BROAD_SECTOR,UNHEDGED,MSCI_EUROPE_FINANCIALS_35_20_CAPPED,MSCI_EUROPE_FINANCIALS,SECTOR_ROTATION,EUROPE_BROAD,POOL_BROAD_SECTOR,EUROPE × FINANCIALS × MSCI_EUROPE_FINANCIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_HEALTHCARE,Broad Europe healthcare sector,EQUITY,EUROPE,REGION,HEALTHCARE,BROAD_SECTOR,NOT_APPLICABLE,BROAD_SECTOR,UNHEDGED,MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED,MSCI_EUROPE_HEALTH_CARE,SECTOR_ROTATION,EUROPE_BROAD,POOL_BROAD_SECTOR,EUROPE × HEALTHCARE × MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INDUSTRIALS,Broad Europe industrials sector,EQUITY,EUROPE,REGION,INDUSTRIALS,BROAD_SECTOR,NOT_APPLICABLE,BROAD_SECTOR,UNHEDGED,MSCI_EUROPE_INDUSTRIALS_35_20_CAPPED,MSCI_EUROPE_INDUSTRIALS,SECTOR_ROTATION,EUROPE_BROAD,POOL_BROAD_SECTOR,EUROPE × INDUSTRIALS × MSCI_EUROPE_INDUSTRIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_MATERIALS,Broad Europe materials sector,EQUITY,EUROPE,REGION,MATERIALS,BROAD_SECTOR,NOT_APPLICABLE,BROAD_SECTOR,UNHEDGED,MSCI_EUROPE_MATERIALS_35_20_CAPPED,MSCI_EUROPE_MATERIALS,SECTOR_ROTATION,EUROPE_BROAD,POOL_BROAD_SECTOR,EUROPE × MATERIALS × MSCI_EUROPE_MATERIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_TECHNOLOGY,Broad Europe technology sector,EQUITY,EUROPE,REGION,TECHNOLOGY,BROAD_SECTOR,NOT_APPLICABLE,BROAD_SECTOR,UNHEDGED,MSCI_EUROPE_INFORMATION_TECHNOLOGY_35_20_CAPPED,MSCI_EUROPE_INFORMATION_TECHNOLOGY,SECTOR_ROTATION,EUROPE_BROAD,POOL_BROAD_SECTOR,EUROPE × TECHNOLOGY × MSCI_EUROPE_INFORMATION_TECHNOLOGY_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_UTILITIES,Broad Europe utilities sector,EQUITY,EUROPE,REGION,UTILITIES,BROAD_SECTOR,NOT_APPLICABLE,BROAD_SECTOR,UNHEDGED,MSCI_EUROPE_UTILITIES_35_20_CAPPED,MSCI_EUROPE_UTILITIES,SECTOR_ROTATION,EUROPE_BROAD,POOL_BROAD_SECTOR,EUROPE × UTILITIES × MSCI_EUROPE_UTILITIES_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BANKS,Global banking industry,EQUITY,GLOBAL,GLOBAL,FINANCIALS,BANKS,NOT_APPLICABLE,INDUSTRY,UNHEDGED,GLOBAL_DEVELOPED_BANKS,NOT_APPLICABLE,INDUSTRY_ROTATION,GLOBAL_FINANCIALS,POOL_INDUSTRY_SUBSECTOR,GLOBAL × BANKS × GLOBAL_DEVELOPED_BANKS × UNHEDGED × INDUSTRY,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_HEALTHCARE,Broad global healthcare sector,EQUITY,GLOBAL,GLOBAL,HEALTHCARE,BROAD_SECTOR,NOT_APPLICABLE,BROAD_SECTOR,UNHEDGED,MSCI_WORLD_HEALTH_CARE_35_20_CAPPED,MSCI_WORLD_HEALTH_CARE,SECTOR_ROTATION,GLOBAL_DEVELOPED_WORLD,POOL_BROAD_SECTOR,GLOBAL × HEALTHCARE × MSCI_WORLD_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_INFRASTRUCTURE,Global listed infrastructure,INFRASTRUCTURE,GLOBAL,GLOBAL,INDUSTRIALS,INFRASTRUCTURE,INFRASTRUCTURE,LISTED_INFRASTRUCTURE,UNHEDGED,FTSE_GLOBAL_CORE_INFRASTRUCTURE,MACQUARIE_GLOBAL_INFRASTRUCTURE_100,THEME_ROTATION,GLOBAL_INDUSTRIALS,POOL_THEME_EQUITY,GLOBAL × INFRASTRUCTURE × FTSE_GLOBAL_CORE_INFRASTRUCTURE × UNHEDGED × LISTED_INFRASTRUCTURE,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_TECHNOLOGY,Broad global technology sector,EQUITY,GLOBAL,GLOBAL,TECHNOLOGY,BROAD_SECTOR,NOT_APPLICABLE,BROAD_SECTOR,UNHEDGED,MSCI_WORLD_INFORMATION_TECHNOLOGY_35_20_CAPPED,MSCI_WORLD_INFORMATION_TECHNOLOGY,SECTOR_ROTATION,GLOBAL_DEVELOPED_WORLD,POOL_BROAD_SECTOR,GLOBAL × TECHNOLOGY × MSCI_WORLD_INFORMATION_TECHNOLOGY_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
US_AEROSPACE_DEFENCE,United States aerospace and defence,EQUITY,UNITED_STATES,COUNTRY,INDUSTRIALS,AEROSPACE_AND_DEFENCE,DEFENCE,INDUSTRY,UNHEDGED,VETTAFI_AMERICAN_FUTURE_OF_DEFENCE,NOT_APPLICABLE,INDUSTRY_ROTATION,GLOBAL_INDUSTRIALS,POOL_INDUSTRY_SUBSECTOR,UNITED_STATES × AEROSPACE_AND_DEFENCE × VETTAFI_AMERICAN_FUTURE_OF_DEFENCE × UNHEDGED × INDUSTRY,YES,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
