date,event_value,event_currency,event_value_price_units,raw_close_prior,raw_close_event_date,split_ratio,manual_total_return,stored_total_return,absolute_error,validation_status,validation_note,event_unit_resolution,declaration_date,record_date,payment_date,distribution_period,unadjusted_value,listing_id,share_class_id,economic_exposure_family_id,ticker,isin,eodhd_symbol,price_unit,accumulating_distributing
2018-01-31,0.0012,GBP,0.12,1578.25,1561.25,1.0,-0.010695390464121712,-0.01069616335316037,7.728890386582421e-07,PASS,Distribution was used only for independent validation; authoritative return remains adjusted-close pct-change.,DECLARED_EVENT_CURRENCY_TO_PRICE_UNIT,,,,,0.0012,LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,IE00BD4TY345,AUAD.LSE,GBX,NOT_DETERMINED
2018-07-31,0.00236,GBP,0.23600000000000002,1654.5,1642.25,1.0,-0.00726140828044719,-0.007262452202401515,1.043921954324567e-06,PASS,Distribution was used only for independent validation; authoritative return remains adjusted-close pct-change.,DECLARED_EVENT_CURRENCY_TO_PRICE_UNIT,,,,,0.00236,LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,IE00BD4TY345,AUAD.LSE,GBX,NOT_DETERMINED
2019-01-31,0.00405,GBP,0.40499999999999997,1523.0,1483.0,1.0,-0.02599803020354563,-0.026004961184320274,6.930980774644269e-06,PASS,Distribution was used only for independent validation; authoritative return remains adjusted-close pct-change.,DECLARED_EVENT_CURRENCY_TO_PRICE_UNIT,,,,,0.00405,LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,IE00BD4TY345,AUAD.LSE,GBX,NOT_DETERMINED
2019-07-31,0.00413,GBP,0.413,1795.0,1747.75,1.0,-0.026093036211699117,-0.026099051641303328,6.01542960421142e-06,PASS,Distribution was used only for independent validation; authoritative return remains adjusted-close pct-change.,DECLARED_EVENT_CURRENCY_TO_PRICE_UNIT,,,,,0.00413,LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,IE00BD4TY345,AUAD.LSE,GBX,NOT_DETERMINED
2020-02-03,0.00312,GBP,0.312,1632.5,1624.5,1.0,-0.00470934150076574,-0.004710241951622396,9.004508566556879e-07,PASS,Distribution was used only for independent validation; authoritative return remains adjusted-close pct-change.,DECLARED_EVENT_CURRENCY_TO_PRICE_UNIT,,,,,0.00312,LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,IE00BD4TY345,AUAD.LSE,GBX,NOT_DETERMINED
2020-08-03,0.00216,GBP,,,,,,,,UNRESOLVED_NO_PRICE_ON_EVENT_DATE,Calendar row exists but no observed price is present; event was not shifted.,,,,,,0.00216,LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,IE00BD4TY345,AUAD.LSE,GBX,NOT_DETERMINED
2021-02-01,0.00186,GBP,0.186,1658.0,1662.0,1.0,0.0025247285886609294,0.0025249974872112446,2.688985503151997e-07,PASS,Distribution was used only for independent validation; authoritative return remains adjusted-close pct-change.,DECLARED_EVENT_CURRENCY_TO_PRICE_UNIT,,,,,0.00186,LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,IE00BD4TY345,AUAD.LSE,GBX,NOT_DETERMINED
2021-08-02,0.00265,GBP,0.265,1776.5,1769.0,1.0,-0.0040726146918096395,-0.004073181335278231,5.666434685913657e-07,PASS,Distribution was used only for independent validation; authoritative return remains adjusted-close pct-change.,DECLARED_EVENT_CURRENCY_TO_PRICE_UNIT,,,,,0.00265,LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,IE00BD4TY345,AUAD.LSE,GBX,NOT_DETERMINED
2022-02-01,0.00358,GBP,0.358,1648.75,1629.0,1.0,-0.011761637604245645,-0.01176416115904877,2.5235548031243837e-06,PASS,Distribution was used only for independent validation; authoritative return remains adjusted-close pct-change.,DECLARED_EVENT_CURRENCY_TO_PRICE_UNIT,,,,,0.00358,LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,IE00BD4TY345,AUAD.LSE,GBX,NOT_DETERMINED
2022-08-01,0.00364,GBP,0.364,1835.75,1802.0,1.0,-0.018186572245676103,-0.01819017304638748,3.6008007113785823e-06,PASS,Distribution was used only for independent validation; authoritative return remains adjusted-close pct-change.,DECLARED_EVENT_CURRENCY_TO_PRICE_UNIT,,,,,0.00364,LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,IE00BD4TY345,AUAD.LSE,GBX,NOT_DETERMINED
