a2_economic_exposure_family_id,implementation_share_class_id,implementation_listing_id,isin,ticker,exchange,mic,issuer,product_name,underlying_index_or_objective,index_provider_description,geographic_exposure,sector_or_industry_exposure,hedging_status,breadth_level,fund_inception_date,listing_inception_date,first_A2_observation,last_A2_observation,selected_session_count,exact_evidence_source,intended_fingerprint,actual_old_fingerprint,semantic_fingerprint_result,semantic_failure_reasons,forensic_defect,warning
AUSTRALIA,SC-773FF06143525454,LIST-14C43F80AEE9AAF6,IE00BD4TY345,AUAD,London Stock Exchange,XLON,UBS,UBS,MSCI_AUSTRALIA,MSCI_AUSTRALIA,AUSTRALIA,BROAD_MARKET,UNHEDGED,BROAD_COUNTRY,NOT_AVAILABLE,NOT_AVAILABLE,2020-08-17,2023-04-11,3,AUAD.LSE;EVD-0C5BDB318AC79822,AUSTRALIA × BROAD_MARKET × MSCI_AUSTRALIA × UNHEDGED × BROAD_COUNTRY,AUSTRALIA × BROAD_MARKET × MSCI_AUSTRALIA × UNHEDGED × BROAD_COUNTRY,PASS,NOT_APPLICABLE,GBP-hedged share class attached to an unhedged Australia family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
AUSTRALIA,SC-A3E4A6263EFDF9EE,LIST-9D315FB3B59B9019,IE00BXDZNQ90,AUGA,London Stock Exchange,XLON,UBS,UBS,MSCI_AUSTRALIA,MSCI_AUSTRALIA,AUSTRALIA,BROAD_MARKET,HEDGED_GBP,BROAD_COUNTRY,NOT_AVAILABLE,NOT_AVAILABLE,2015-12-08,2026-08-21,2683,AUGA.LSE;EVD-0C5BDB318AC79822,AUSTRALIA × BROAD_MARKET × MSCI_AUSTRALIA × UNHEDGED × BROAD_COUNTRY,AUSTRALIA × BROAD_MARKET × MSCI_AUSTRALIA × HEDGED_GBP × BROAD_COUNTRY,FAIL,HEDGE:HEDGED_GBP!=UNHEDGED,GBP-hedged share class attached to an unhedged Australia family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,SC-9B142D6E25D04FCE,LIST-6D61E91E0F78BA2B,FR0011720911,CNAA,London Stock Exchange,XLON,AMUNDI,AMUNDI,MSCI_CHINA_A,MSCI_CHINA_A,CHINA,A_SHARES,UNHEDGED,NARROW_COUNTRY_SEGMENT,NOT_AVAILABLE,NOT_AVAILABLE,2014-09-12,2022-01-04,1314,CNAA.LSE;EVD-4AE0CB96D1C0A4DD,CHINA × BROAD_MARKET × MSCI_CHINA × UNHEDGED × BROAD_COUNTRY,CHINA × A_SHARES × MSCI_CHINA_A × UNHEDGED × NARROW_COUNTRY_SEGMENT,FAIL,BREADTH:NARROW_COUNTRY_SEGMENT!=BROAD_COUNTRY;INDEX_OR_OBJECTIVE:MSCI_CHINA_A not in ['MSCI_CHINA'];SECTOR_OR_INDUSTRY:A_SHARES!=BROAD_MARKET,China A-share lines dominate a family intended to represent broad MSCI China,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,SC-540192216A0B021A,LIST-8B13884E3BB95C07,IE0007P4PBU1,HCHS,London Stock Exchange,XLON,HSBC,HSBC,MSCI_CHINA,MSCI_CHINA,CHINA,BROAD_MARKET,UNHEDGED,BROAD_COUNTRY,NOT_AVAILABLE,NOT_AVAILABLE,2024-05-28,2024-05-28,1,EVD-C0EF477187E75E39;HCHS.LSE,CHINA × BROAD_MARKET × MSCI_CHINA × UNHEDGED × BROAD_COUNTRY,CHINA × BROAD_MARKET × MSCI_CHINA × UNHEDGED × BROAD_COUNTRY,PASS,NOT_APPLICABLE,China A-share lines dominate a family intended to represent broad MSCI China,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,SC-675C50B7C94DC58E,LIST-C7CF15637C121DFB,IE00BKFB6K94,CNUA,London Stock Exchange,XLON,UBS,UBS,MSCI_CHINA_A,MSCI_CHINA_A,CHINA,A_SHARES,UNHEDGED,NARROW_COUNTRY_SEGMENT,NOT_AVAILABLE,NOT_AVAILABLE,2020-03-09,2026-08-21,1613,CNUA.LSE;EVD-0C5BDB318AC79822,CHINA × BROAD_MARKET × MSCI_CHINA × UNHEDGED × BROAD_COUNTRY,CHINA × A_SHARES × MSCI_CHINA_A × UNHEDGED × NARROW_COUNTRY_SEGMENT,FAIL,BREADTH:NARROW_COUNTRY_SEGMENT!=BROAD_COUNTRY;INDEX_OR_OBJECTIVE:MSCI_CHINA_A not in ['MSCI_CHINA'];SECTOR_OR_INDUSTRY:A_SHARES!=BROAD_MARKET,China A-share lines dominate a family intended to represent broad MSCI China,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,SC-9B142D6E25D04FCE,LIST-D45586FED3956412,FR0011720911,CNAL,London Stock Exchange,XLON,AMUNDI,AMUNDI,MSCI_CHINA_A,MSCI_CHINA_A,CHINA,A_SHARES,UNHEDGED,NARROW_COUNTRY_SEGMENT,NOT_AVAILABLE,NOT_AVAILABLE,2014-12-23,2020-03-25,73,CNAL.LSE;EVD-4AE0CB96D1C0A4DD,CHINA × BROAD_MARKET × MSCI_CHINA × UNHEDGED × BROAD_COUNTRY,CHINA × A_SHARES × MSCI_CHINA_A × UNHEDGED × NARROW_COUNTRY_SEGMENT,FAIL,BREADTH:NARROW_COUNTRY_SEGMENT!=BROAD_COUNTRY;INDEX_OR_OBJECTIVE:MSCI_CHINA_A not in ['MSCI_CHINA'];SECTOR_OR_INDUSTRY:A_SHARES!=BROAD_MARKET,China A-share lines dominate a family intended to represent broad MSCI China,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_ENERGY,SC-BA1A24E80BB3FD38,LIST-3F51D9A38D7BCB23,IE00BYTRR863,ENGW,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_WORLD_ENERGY,MSCI_WORLD_ENERGY,GLOBAL,ENERGY,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2022-04-07,2026-08-21,1103,ENGW.LSE;EVD-99545ABABD127584,EUROPE × ENERGY × MSCI_EUROPE_ENERGY_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × ENERGY × MSCI_WORLD_ENERGY × UNHEDGED × BROAD_SECTOR,FAIL,"GEOGRAPHY:GLOBAL!=EUROPE;INDEX_OR_OBJECTIVE:MSCI_WORLD_ENERGY not in ['MSCI_EUROPE_ENERGY', 'MSCI_EUROPE_ENERGY_35_20_CAPPED']",MSCI World Energy history attached to a Europe sector family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_FINANCIALS,SC-8C97ECD6C7AE3484,LIST-0A588E9E8E0ED8E3,IE00BYTRR970,FNCW,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_WORLD_FINANCIALS,MSCI_WORLD_FINANCIALS,GLOBAL,FINANCIALS,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2022-06-09,2026-08-21,1063,EVD-99545ABABD127584;FNCW.LSE,EUROPE × FINANCIALS × MSCI_EUROPE_FINANCIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × FINANCIALS × MSCI_WORLD_FINANCIALS × UNHEDGED × BROAD_SECTOR,FAIL,"GEOGRAPHY:GLOBAL!=EUROPE;INDEX_OR_OBJECTIVE:MSCI_WORLD_FINANCIALS not in ['MSCI_EUROPE_FINANCIALS', 'MSCI_EUROPE_FINANCIALS_35_20_CAPPED']",Canonical route changes from Europe Financials to MSCI World Financials,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_FINANCIALS,SC-6D894C66EBEF6CAB,LIST-38A9A7E263239093,IE00BKWQ0G16,FNCE,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_EUROPE_FINANCIALS_35_20_CAPPED,MSCI_EUROPE_FINANCIALS_35_20_CAPPED,EUROPE,FINANCIALS,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2022-04-07,2022-06-08,40,EVD-99545ABABD127584;FNCE.LSE,EUROPE × FINANCIALS × MSCI_EUROPE_FINANCIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,EUROPE × FINANCIALS × MSCI_EUROPE_FINANCIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,PASS,NOT_APPLICABLE,Canonical route changes from Europe Financials to MSCI World Financials,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_FINANCIALS,SC-6D894C66EBEF6CAB,LIST-5AC6510FC6DAAA39,IE00BKWQ0G16,FNCL,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_EUROPE_FINANCIALS_35_20_CAPPED,MSCI_EUROPE_FINANCIALS_35_20_CAPPED,EUROPE,FINANCIALS,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2014-12-12,2022-04-06,1845,EVD-99545ABABD127584;FNCL.LSE,EUROPE × FINANCIALS × MSCI_EUROPE_FINANCIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,EUROPE × FINANCIALS × MSCI_EUROPE_FINANCIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,PASS,NOT_APPLICABLE,Canonical route changes from Europe Financials to MSCI World Financials,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
