grid_geography,conventional_sector,economic_exposure_family_id,audit_outcome,valid_return_observations,first_valid_date,A2R_new_family,proxy_used,synthetic_symmetry_created,warning
GLOBAL,TECHNOLOGY,GLOBAL_TECHNOLOGY,VALID_IMPLEMENTATION_FOUND,2568,2016-05-09,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL,FINANCIALS,GLOBAL_FINANCIALS,VALID_IMPLEMENTATION_FOUND,3315,2012-04-11,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL,HEALTHCARE,GLOBAL_HEALTHCARE,VALID_IMPLEMENTATION_FOUND,3335,2011-05-19,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL,INDUSTRIALS,GLOBAL_INDUSTRIALS,VALID_IMPLEMENTATION_FOUND,2581,2016-04-07,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL,CONSUMER_DISCRETIONARY,GLOBAL_CONSUMER_DISCRETIONARY,VALID_IMPLEMENTATION_FOUND,1054,2016-06-09,YES,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL,CONSUMER_STAPLES,GLOBAL_CONSUMER_STAPLES,VALID_IMPLEMENTATION_FOUND,2560,2016-05-09,YES,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL,COMMUNICATION_SERVICES,GLOBAL_COMMUNICATION_SERVICES,VALID_IMPLEMENTATION_FOUND,2545,2016-05-09,YES,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL,ENERGY,GLOBAL_ENERGY,VALID_IMPLEMENTATION_FOUND,3663,2012-01-06,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL,MATERIALS,GLOBAL_MATERIALS,VALID_IMPLEMENTATION_FOUND,1555,2017-10-27,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL,UTILITIES,GLOBAL_UTILITIES,VALID_IMPLEMENTATION_FOUND,1807,2016-07-08,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL,REAL_ESTATE,GLOBAL_REAL_ESTATE,VALID_IMPLEMENTATION_FOUND,1869,2019-01-23,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
