economic_exposure_family_id,old_primary_implementation_summary,defect,remediation_method,remediation_outcome_state,new_implementation_isins,new_implementation_tickers,new_economic_fingerprint,corrected_first_valid_return_date,corrected_last_valid_return_date,valid_return_observations,earliest_valid_21_session_signal_date,earliest_valid_42_session_signal_date,earliest_valid_63_session_signal_date,earliest_valid_126_session_signal_date,earliest_valid_252_session_signal_date,old_invalid_route_retained_in_audit,old_invalid_route_admitted_to_corrected_panel,proxy_history_used,historical_eligibility_established,source_urls,warning
AUSTRALIA,AUSTRALIA × BROAD_MARKET × MSCI_AUSTRALIA × HEDGED_GBP × BROAD_COUNTRY,GBP-hedged share class attached to an unhedged Australia family,REPLACED,CORRECTED_IMPLEMENTATION_HISTORY,IE00BD4TY345,AUAD,AUSTRALIA × BROAD_MARKET × MSCI_AUSTRALIA × UNHEDGED × BROAD_COUNTRY,2017-09-26,2026-08-21,2196,2017-10-26,2017-11-30,2018-01-03,2018-04-04,2018-10-05,YES,NO,NO,NO,NOT_APPLICABLE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,CHINA × A_SHARES × MSCI_CHINA_A × UNHEDGED × NARROW_COUNTRY_SEGMENT,China A-share lines dominate a family intended to represent broad MSCI China,REPLACED,CORRECTED_IMPLEMENTATION_HISTORY,IE0007P4PBU1;IE00B44T3H88,HCHS;HMCD;HMCH,CHINA × BROAD_MARKET × MSCI_CHINA × UNHEDGED × BROAD_COUNTRY,2011-02-24,2026-08-21,3840,2011-05-03,2011-06-27,2011-07-26,2011-10-24,2012-04-27,YES,NO,NO,NO,https://www.assetmanagement.hsbc.co.uk/api/v1/download/document/ie00b44t3h88/gb/en/factsheet,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_ENERGY,GLOBAL × ENERGY × MSCI_WORLD_ENERGY × UNHEDGED × BROAD_SECTOR,MSCI World Energy history attached to a Europe sector family,REPLACED,CORRECTED_IMPLEMENTATION_HISTORY,IE00BKWQ0F09,ENGE;ENGY,EUROPE × ENERGY × MSCI_EUROPE_ENERGY_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,2016-02-11,2026-08-21,1736,2016-12-05,2017-08-02,2017-12-18,2019-03-08,2020-06-26,YES,NO,NO,NO,https://www.ssga.com/ie/en_gb/institutional/etfs/state-street-spdr-msci-europe-energy-ucits-etf-stn-fp,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_FINANCIALS,GLOBAL × FINANCIALS × MSCI_WORLD_FINANCIALS × UNHEDGED × BROAD_SECTOR,Canonical route changes from Europe Financials to MSCI World Financials,REPLACED,CORRECTED_IMPLEMENTATION_HISTORY,IE00BKWQ0G16,FNCE;FNCL,EUROPE × FINANCIALS × MSCI_EUROPE_FINANCIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,2014-12-12,2026-08-21,2913,2015-01-14,2015-02-12,2015-03-13,2015-06-16,2015-12-10,YES,NO,NO,NO,NOT_APPLICABLE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_HEALTHCARE,GLOBAL × HEALTHCARE × MSCI_WORLD_HEALTH_CARE × UNHEDGED × BROAD_SECTOR,Canonical route changes from Europe Health Care to MSCI World Health Care,REPLACED,CORRECTED_IMPLEMENTATION_HISTORY,IE00BKWQ0H23,HEAE;HLTH,EUROPE × HEALTHCARE × MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,2014-12-12,2026-08-21,2831,2015-01-14,2015-02-12,2015-03-17,2015-06-18,2015-12-14,YES,NO,NO,NO,NOT_APPLICABLE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INDUSTRIALS,GLOBAL × INDUSTRIALS × MSCI_WORLD_INDUSTRIALS × UNHEDGED × BROAD_SECTOR,MSCI World Industrials history attached to a Europe sector family,REPLACED,CORRECTED_IMPLEMENTATION_HISTORY,IE00BKWQ0J47,NDUS,EUROPE × INDUSTRIALS × MSCI_EUROPE_INDUSTRIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,2014-12-12,2026-08-21,2910,2015-01-14,2015-02-12,2015-03-13,2015-06-16,2015-12-10,YES,NO,NO,NO,https://www.ssga.com/dk/en_gb/institutional/etfs/state-street-spdr-msci-europe-industrials-ucits-etf-stq-fp,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_MATERIALS,GLOBAL × MATERIALS × MSCI_WORLD_MATERIALS × UNHEDGED × BROAD_SECTOR,MSCI World Materials history attached to a Europe sector family,REPLACED,CORRECTED_IMPLEMENTATION_HISTORY,IE00BKWQ0L68,MTRL,EUROPE × MATERIALS × MSCI_EUROPE_MATERIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,2017-01-04,2026-08-21,866,2018-01-08,2020-10-15,2020-12-02,2021-08-13,2022-10-26,YES,NO,NO,NO,https://www.ssga.com/nl/nl/institutional/etfs/funds/spdr-msci-europe-materials-ucits-etf-stp-fp,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_TECHNOLOGY,GLOBAL × TECHNOLOGY × MSCI_WORLD_INFORMATION_TECHNOLOGY × UNHEDGED × BROAD_SECTOR,MSCI World Technology history attached to a Europe sector family,REPLACED,CORRECTED_IMPLEMENTATION_HISTORY,IE00BKWQ0K51,ITEC,EUROPE × TECHNOLOGY × MSCI_EUROPE_INFORMATION_TECHNOLOGY_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,2014-12-12,2026-08-21,2906,2015-01-14,2015-02-12,2015-03-13,2015-06-16,2015-12-10,YES,NO,NO,NO,https://www.ssga.com/lu/en_gb/intermediary/library-content/products/factsheets/etfs/emea/factsheet-emea-en_gb-stk-fp.pdf,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_UTILITIES,GLOBAL × UTILITIES × MSCI_WORLD_UTILITIES × UNHEDGED × BROAD_SECTOR,MSCI World Utilities history attached to a Europe sector family,REPLACED,CORRECTED_IMPLEMENTATION_HISTORY,IE00BKWQ0P07,UTIL,EUROPE × UTILITIES × MSCI_EUROPE_UTILITIES_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,2014-12-12,2026-08-21,2898,2015-01-14,2015-02-12,2015-03-13,2015-06-16,2015-12-10,YES,NO,NO,NO,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-msci-europe-utilities-ucits-etf-stu-fp,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BANKS,EUROPE × BANKS × STOXX_EUROPE_600_OPTIMISED_BANKS × UNHEDGED × INDUSTRY,Europe banks and one development-bank bond observation attached to a global-banks family,EXCLUDED,NO_VALID_IMPLEMENTATION_HISTORY,NOT_APPLICABLE,NOT_APPLICABLE,GLOBAL × BANKS × GLOBAL_DEVELOPED_BANKS × UNHEDGED × INDUSTRY,,,0,,,,,,YES,NO,NO,NO,NOT_APPLICABLE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
