evidence_id,source,source_key,source_url,retrieval_timestamp_utc,http_status,content_type,retrieval_status,raw_response_sha256,capture_path,capture_sha256,error,historical_eligibility_supported,warning
A2REVD-82D8B1E9F91DFCC7,PRIMARY_OFFICIAL,HMRC_ISA_QUALIFYING_INVESTMENTS,https://www.gov.uk/guidance/stocks-and-shares-investments-for-isa-managers,2026-08-22T22:49:46+01:00,200,text/html; charset=utf-8,REUSED_IMMUTABLE_A2R_CAPTURE,56e1f9d64dbc339b272cb309e648297293889508b30eb3c60a760f26de31e10f,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\HMRC_ISA_QUALIFYING_INVESTMENTS.bin.gz,ec6fae94b3e5c6678fce00fe60de26b8d5fd06e9eb0f1728e4a1873a6ec7aac9,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-EDA1A58A6959FB61,PRIMARY_OFFICIAL,FCA_CCI_TRANSITION,https://handbook.fca.org.uk/handbook/disctp2,2026-08-22T22:49:46+01:00,200,text/html; charset=utf-8,REUSED_IMMUTABLE_A2R_CAPTURE,6f74f196e614dba68387ae5bb04900b0bb7abd68bceaf5111367922c1084fb44,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\FCA_CCI_TRANSITION.bin.gz,a91b5e1614299f6eebc294595b440fb148cf2804c8bdcadd03c6ae027b00dbf4,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-463A37731BAD1A89,PRIMARY_OFFICIAL,UBS_AUSTRALIA_DIST,https://www.ubs.com/uk/en/assetmanagement/funds/etf/ie00bd4ty345-ubs-msci-australia-ucits-etf-aud-dis-pd001.html,2026-08-22T22:55:22+01:00,403,text/html,URL_RECORDED_HTTP_403,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,HTTP_403,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-51C076FB71761D63,PRIMARY_OFFICIAL,HSBC_MSCI_CHINA_FACTSHEET,https://www.assetmanagement.hsbc.co.uk/api/v1/download/document/ie00b44t3h88/gb/en/factsheet,2026-08-22T22:49:47+01:00,200,application/pdf,REUSED_IMMUTABLE_A2R_CAPTURE,6a75a5f596dae6ff1378a76edacd2fdd8b168edc9171320b79705fddd768f8d6,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\HSBC_MSCI_CHINA_FACTSHEET.bin.gz,f1cc464a20abbecc8345ae3ca9e41947b9cf5eb46d76cb0ef867e627076cba18,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-E22FCC774A6CC51E,PRIMARY_OFFICIAL,HSBC_MSCI_CHINA_SUPPLEMENT,https://www.assetmanagement.hsbc.co.uk/api/v1/download/document/ie00b44t3h88/gb/en/supplement,2026-08-22T22:49:48+01:00,200,application/pdf,REUSED_IMMUTABLE_A2R_CAPTURE,af925ba3082ee05cddfb29e2011584bb6c11d8f9a47834c280b2bc5237400353,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\HSBC_MSCI_CHINA_SUPPLEMENT.bin.gz,d978d90c1deb16a999b3ba83ee6a474eff8f4eb7e434b1c9e4abe15f216ce405,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-7B707D681700C16A,PRIMARY_OFFICIAL,SPDR_EUROPE_ENERGY,https://www.ssga.com/ie/en_gb/institutional/etfs/state-street-spdr-msci-europe-energy-ucits-etf-stn-fp,2026-08-22T22:49:48+01:00,200,text/html;charset=utf-8,REUSED_IMMUTABLE_A2R_CAPTURE,ca16ad5d54ba3d4aa47a4013b1034f45f42a9633f488f78c46dcec5035bc252c,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\SPDR_EUROPE_ENERGY.bin.gz,86a112c3d9e2794a6debbaf96e94b9829cce68ec34df3ddddb4ddbbd6f041762,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-27061FCD3EEC3469,PRIMARY_OFFICIAL,SPDR_EUROPE_FINANCIALS,https://www.ssga.com/ie/en_gb/institutional/etfs/state-street-spdr-msci-europe-financials-ucits-etf-stz-fp,2026-08-22T22:49:49+01:00,200,text/html;charset=utf-8,REUSED_IMMUTABLE_A2R_CAPTURE,b863952ca6bd73821e7f35c1e87d11ddd20e9b7db1fcc8dcc9d8e1968fa60075,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\SPDR_EUROPE_FINANCIALS.bin.gz,1fddd15820e4c186415b2a363021673df7afd3e92642a3960488d0b9abca601a,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-2F293F7E4F7572BA,PRIMARY_OFFICIAL,SPDR_EUROPE_HEALTHCARE_FACTSHEET,https://www.ssga.com/library-content/products/factsheets/etfs/emea/factsheet-emea-en_gb-stw-fp.pdf,2026-08-22T22:49:49+01:00,200,application/pdf,REUSED_IMMUTABLE_A2R_CAPTURE,632ec83fba00f1c939edf89eefa02ed175672609fc7ca5f696ee3e92e055cf61,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\SPDR_EUROPE_HEALTHCARE_FACTSHEET.bin.gz,68a52eed99e893b110905f1e7da48621eb0c4fef48b646c233d8b5b8aabd1390,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-7E326E5FE16D7E7D,PRIMARY_OFFICIAL,SPDR_EUROPE_INDUSTRIALS,https://www.ssga.com/dk/en_gb/institutional/etfs/state-street-spdr-msci-europe-industrials-ucits-etf-stq-fp,2026-08-22T22:49:49+01:00,200,text/html;charset=utf-8,REUSED_IMMUTABLE_A2R_CAPTURE,c44576d79d618c23b87a0e054019ae4bdbde05b63b63ab7298bc2f114711a750,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\SPDR_EUROPE_INDUSTRIALS.bin.gz,34b73b4516d0f8ada5aa4a888aede85ee72fa6c3535e0a0f13134f9d60fbf7e2,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-CBBEF8E773B08805,PRIMARY_OFFICIAL,SPDR_EUROPE_MATERIALS,https://www.ssga.com/nl/nl/institutional/etfs/funds/spdr-msci-europe-materials-ucits-etf-stp-fp,2026-08-22T22:49:50+01:00,200,text/html;charset=utf-8,REUSED_IMMUTABLE_A2R_CAPTURE,4a1acf8a404f5e9af059afee4aeb0cb47dba9cec5763e5241dc016d159f7b599,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\SPDR_EUROPE_MATERIALS.bin.gz,fa236279ec3223e3acf3c40ecc799b143a88093437ccea3921601fcd2334421c,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-524898A147AFE46F,PRIMARY_OFFICIAL,SPDR_EUROPE_TECHNOLOGY_FACTSHEET,https://www.ssga.com/lu/en_gb/intermediary/library-content/products/factsheets/etfs/emea/factsheet-emea-en_gb-stk-fp.pdf,2026-08-22T22:49:50+01:00,200,application/pdf,REUSED_IMMUTABLE_A2R_CAPTURE,abff58c5dddfef3adf1a318f391f3e358da95e4903d54d0c27e13edadcdbbee1,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\SPDR_EUROPE_TECHNOLOGY_FACTSHEET.bin.gz,165c40de1ec4febab602336719c3845b9f2df0102c91165da5f9e1a4f2af0ed4,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-D141CFA1E64CB0B4,PRIMARY_OFFICIAL,SPDR_EUROPE_UTILITIES,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-msci-europe-utilities-ucits-etf-stu-fp,2026-08-22T22:49:50+01:00,200,text/html;charset=utf-8,REUSED_IMMUTABLE_A2R_CAPTURE,33772ec430af8e93c7cac7e8df573e86e9303263d5252c8bcf8d9747624380bc,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\SPDR_EUROPE_UTILITIES.bin.gz,1a99025faebf5383ec36ad7dd371b1400a076564e1c6cf385577f310647c13c1,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-DB5EE00B9FE620C1,PRIMARY_OFFICIAL,SPDR_EUROPE_CONSUMER_DISCRETIONARY,https://www.ssga.com/ie/en_gb/institutional/etfs/state-street-spdr-msci-europe-consumer-discretionary-ucits-etf-str-fp,2026-08-22T22:49:50+01:00,200,text/html;charset=utf-8,REUSED_IMMUTABLE_A2R_CAPTURE,83253965995208a75e623723bd7416dbc5da0a2eaa90c297966ae35726711abd,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\SPDR_EUROPE_CONSUMER_DISCRETIONARY.bin.gz,f759631bbf6c75099d861b554d4385d2f21abaf355a4661e548949d292e11c85,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A2REVD-2BA13635D4BBA20B,PRIMARY_OFFICIAL,SPDR_EUROPE_COMMUNICATION_SERVICES,https://www.ssga.com/ie/en_gb/institutional/etfs/state-street-spdr-msci-europe-communication-services-ucits-etf-stt-fp,2026-08-22T22:49:51+01:00,200,text/html;charset=utf-8,REUSED_IMMUTABLE_A2R_CAPTURE,69dce8ecda35d6ee1830f31ef684dd635df3c0c94bf9e2ffa4633491cb4be025,D:\Codex\equity_quant_research_platform\research\directed\EDGE-UK-ACTIVE-ETF-SLEEVE-20260822-001\evidence\sources\a2r\primary\SPDR_EUROPE_COMMUNICATION_SERVICES.bin.gz,af6aff1303815566755e947d1e73e9caa91290d527bb8e373e8a9fb330fce4cf,NOT_APPLICABLE,NO_UNLESS_DOCUMENT_ITSELF_IS_DATED_HISTORICAL_EVIDENCE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
