listing_id,share_class_id,economic_exposure_family_id,ticker,eodhd_symbol,first_observed_date,last_observed_date,observed_rows,missing_session_count,longest_missing_run,stale_session_count,post_stale_catchup_count,large_unexplained_return_count,price_before_inception_count,data_valid_return_count,status,source_error
LIST-14C43F80AEE9AAF6,SC-773FF06143525454,AUSTRALIA,AUAD,AUAD.LSE,2017-09-21,2026-08-21,2238,43,3,0,40,0,0,2198,HISTORY_AVAILABLE,NOT_APPLICABLE
LIST-8B13884E3BB95C07,SC-540192216A0B021A,CHINA_BROAD,HCHS,HCHS.LSE,2022-07-13,2026-08-21,1040,14,1,0,15,0,0,1025,HISTORY_AVAILABLE,NOT_APPLICABLE
LIST-38A9A7E263239093,SC-6D894C66EBEF6CAB,EUROPE_FINANCIALS,FNCE,FNCE.LSE,2022-04-04,2026-08-21,1106,15,1,1,17,0,0,1088,HISTORY_AVAILABLE,NOT_APPLICABLE
LIST-5AC6510FC6DAAA39,SC-6D894C66EBEF6CAB,EUROPE_FINANCIALS,FNCL,FNCL.LSE,2014-12-09,2026-08-21,2951,34,2,0,34,0,0,2917,HISTORY_AVAILABLE,NOT_APPLICABLE
LIST-62AB7E6A4CF2519D,SC-47A0987AB6D1A951,EUROPE_HEALTHCARE,HLTH,HLTH.LSE,2014-12-09,2026-08-21,2950,35,1,1,37,0,0,2912,HISTORY_AVAILABLE,NOT_APPLICABLE
LIST-F5185DE9554ADCDC,SC-47A0987AB6D1A951,EUROPE_HEALTHCARE,HEAE,HEAE.LSE,2022-04-08,2026-08-21,986,131,7,0,93,0,0,893,HISTORY_AVAILABLE,NOT_APPLICABLE
LIST-12D97A6B27C89061,SC-B615478554F9855E,GLOBAL_HEALTHCARE,HEAW,HEAW.LSE,2022-04-04,2026-08-21,1106,15,1,0,16,0,0,1090,HISTORY_AVAILABLE,NOT_APPLICABLE
LIST-A36F0D56082B7FAD,SC-3108ECD63BA1F32D,GLOBAL_HEALTHCARE,HLTW,HLTW.LSE,2010-10-25,2026-08-21,3440,587,59,0,103,0,0,3337,HISTORY_AVAILABLE,NOT_APPLICABLE
LIST-BBB2BEBB76465320,SC-B615478554F9855E,GLOBAL_HEALTHCARE,WHEA,WHEA.LSE,2016-05-04,2026-08-21,2603,30,1,0,31,0,0,2572,HISTORY_AVAILABLE,NOT_APPLICABLE
A2HISTLIST-BBDF7C9F22F9BE2E,SC-3108ECD63BA1F32D,GLOBAL_HEALTHCARE,HLTG,HLTG.LSE,2017-01-10,2021-12-20,1045,221,10,13,157,2,0,876,HISTORY_AVAILABLE,NOT_APPLICABLE
