economic_exposure_family_id,economic_exposure_name,universe_tier,valid_return_observations,first_valid_date,last_valid_date,has_1_year,has_3_years,has_5_years,has_10_years,usable_history,validated_actual_implementation_history,requires_proxy_for_504_day_research,historical_eligibility_unresolved,a3_ready,a3_scope,selected_listing_count_through_time,validation_statuses
ASIA_PACIFIC_EX_JAPAN,Asia-Pacific equities excluding Japan,EXTENDED,2272,2016-11-10,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,3,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS;PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
AUSTRALIA,Broad Australian equities,EXTENDED,2640,2015-12-08,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
BROAD_COMMODITIES,Broad diversified commodity basket,EXPERIMENTAL,4711,2007-03-26,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,4,PASS_PRICE_RETURN_ETC_VENDOR_SEMANTICS_NO_DISTRIBUTION;PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
CANADA,Broad Canadian equities,EXTENDED,3530,2010-09-20,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,4,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
CHINA_A_SHARES,Mainland China A-shares,EXTENDED,3137,2014-02-06,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
CHINA_BROAD,Broad China equities,EXTENDED,2840,2014-09-12,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,4,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
CHINA_BROAD_USD_HEDGED,Broad China equities hedged to USD,EXTENDED,0,NOT_AVAILABLE,NOT_AVAILABLE,False,False,False,False,False,False,True,True,False,NOT_READY,0,NO_SELECTED_HISTORY
CHINA_INTERNET,China internet and digital economy,EXPERIMENTAL,1462,2020-10-06,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
DEVELOPED_ASIA_PACIFIC,Developed Asia-Pacific equities,EXTENDED,4155,2009-09-29,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
EMERGING_ASIA,Emerging Asian equities,EXTENDED,3362,2010-10-26,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,6,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
