lineage_item_id,lineage_action,a0a1_record_id,field,a0a1_value,a2_value,evidence,status,materiality
A2LIN-5FB4AC00AA922DE8,CORRECTION,LIST-05EDAC3D48E97BAD,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row GXLV.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-06DFE60F37F5D70F,CORRECTION,LIST-0693F1085590B573,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row EBIG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-66BBEF351033989D,CORRECTION,LIST-086829639EECA6FD,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row MFEX.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-0437F4A57E7F6B0E,CORRECTION,LIST-0A588E9E8E0ED8E3,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row FNCW.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-F4C1089C5231FE0D,CORRECTION,LIST-0EBB6D5AB0CE0451,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VMIG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-B98F53459A2A1E61,CORRECTION,LIST-11B8B2C39D890FE3,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row GBPG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-C9C9000B855D3D6D,CORRECTION,LIST-12D97A6B27C89061,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row HEAW.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-B1FDCF8CB73823ED,CORRECTION,LIST-159909F45405FC1F,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row HIJS.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-DE2272BCEEC82C9F,CORRECTION,LIST-1651384C2D972103,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row GJGB.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-0D5226DDE7FCFE05,CORRECTION,LIST-16F263797C9D1364,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row IGLS.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-DABB27510E41F74B,CORRECTION,LIST-17B9CF3B34090732,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row NUCG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-57233640EBEABF4B,CORRECTION,LIST-199C796491CF16FB,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row JG15.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-E46E13706C348884,CORRECTION,LIST-2AD6F3AF3E653C09,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row TECW.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-6957C86C13F7C8B2,CORRECTION,LIST-2D6F57C59C562F73,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VEUR.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-15A3FF0064FFAF96,CORRECTION,LIST-3731D2CC25847C3C,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VHVG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-5069FDB4159C20A8,CORRECTION,LIST-38A9A7E263239093,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row FNCE.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-7B73074D8D5A4DC5,CORRECTION,LIST-3979D25BDFEFE759,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row ALLG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-CF280127EFF1F086,CORRECTION,LIST-3DBC2BFCFED3FB85,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row GOLB.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-AD3B3BBE735AAB98,CORRECTION,LIST-3F51D9A38D7BCB23,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row ENGW.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-D88B9B337E1271E5,CORRECTION,LIST-423383BC958C5AFC,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row PAVG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-29EBCA3C4FA1D63B,CORRECTION,LIST-453053B9F255A64F,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VETA.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-A13A3884D4FE8099,CORRECTION,LIST-4B3981309820AC7B,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row SMGB.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-CFE308B2FFB41928,CORRECTION,LIST-4BDBFC6DFAE0F524,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row AGBP.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-7D3848C529FBAA59,CORRECTION,LIST-4C27B6092CA89DA6,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row XWIS.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-E4A90B4BAB2F15A1,CORRECTION,LIST-4E52213D7D638F58,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row FRXT.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-C2F82F6AD9CB3469,CORRECTION,LIST-4FA72165A1AFE602,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VUSA.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
