correction_id,affected_object_type,affected_id,source_stage,existing_value,corrected_value,correction_status,materiality,A2_history_impacted,remediation_required,evidence_ids,source_urls,notes,warning
A3R0COR-18041CBE307FE6AE,ECONOMIC_EXPOSURE_FAMILY_HISTORY,AUSTRALIA,A0A1_AND_A2,A2_CANONICAL_HISTORY_ACCEPTED_UNDER_A0A1_FAMILY,BLOCK_FROM_A3R0_DYNAMIC_ADMISSION_PENDING_LINEAGE_REPAIR,APPLIED_AS_A3R0_RESEARCH_GUARD_ONLY_NOT_REWRITTEN_UPSTREAM,CRITICAL_FOR_ROTATION_RESEARCH,YES,RECLASSIFY_IMPLEMENTATIONS_AND_REBUILD_A2_CANONICAL_HISTORY,A2_CANONICAL_IMPLEMENTATION_HISTORY|A0A1_SHARE_CLASS_MASTER,NOT_APPLICABLE_LOCAL_AUTHORITATIVE_DATA,A2 canonical history is almost entirely a GBP-hedged share class although A0A1 family is unhedged,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A3R0COR-9F74B066AC570CB0,ECONOMIC_EXPOSURE_FAMILY_HISTORY,CHINA_BROAD,A0A1_AND_A2,A2_CANONICAL_HISTORY_ACCEPTED_UNDER_A0A1_FAMILY,BLOCK_FROM_A3R0_DYNAMIC_ADMISSION_PENDING_LINEAGE_REPAIR,APPLIED_AS_A3R0_RESEARCH_GUARD_ONLY_NOT_REWRITTEN_UPSTREAM,CRITICAL_FOR_ROTATION_RESEARCH,YES,RECLASSIFY_IMPLEMENTATIONS_AND_REBUILD_A2_CANONICAL_HISTORY,A2_CANONICAL_IMPLEMENTATION_HISTORY|A0A1_SHARE_CLASS_MASTER,NOT_APPLICABLE_LOCAL_AUTHORITATIVE_DATA,A2 canonical history is overwhelmingly China A-shares and duplicates CHINA_A_SHARES rather than broad China,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A3R0COR-F9D2DA5FACDD70EF,ECONOMIC_EXPOSURE_FAMILY_HISTORY,EUROPE_ENERGY,A0A1_AND_A2,A2_CANONICAL_HISTORY_ACCEPTED_UNDER_A0A1_FAMILY,BLOCK_FROM_A3R0_DYNAMIC_ADMISSION_PENDING_LINEAGE_REPAIR,APPLIED_AS_A3R0_RESEARCH_GUARD_ONLY_NOT_REWRITTEN_UPSTREAM,CRITICAL_FOR_ROTATION_RESEARCH,YES,RECLASSIFY_IMPLEMENTATIONS_AND_REBUILD_A2_CANONICAL_HISTORY,A2_CANONICAL_IMPLEMENTATION_HISTORY|A0A1_SHARE_CLASS_MASTER,NOT_APPLICABLE_LOCAL_AUTHORITATIVE_DATA,A2 history uses an MSCI World Energy fund,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A3R0COR-5898DAD776835C79,ECONOMIC_EXPOSURE_FAMILY_HISTORY,EUROPE_FINANCIALS,A0A1_AND_A2,A2_CANONICAL_HISTORY_ACCEPTED_UNDER_A0A1_FAMILY,BLOCK_FROM_A3R0_DYNAMIC_ADMISSION_PENDING_LINEAGE_REPAIR,APPLIED_AS_A3R0_RESEARCH_GUARD_ONLY_NOT_REWRITTEN_UPSTREAM,CRITICAL_FOR_ROTATION_RESEARCH,YES,RECLASSIFY_IMPLEMENTATIONS_AND_REBUILD_A2_CANONICAL_HISTORY,A2_CANONICAL_IMPLEMENTATION_HISTORY|A0A1_SHARE_CLASS_MASTER,NOT_APPLICABLE_LOCAL_AUTHORITATIVE_DATA,A2 history switches from Europe Financials to MSCI World Financials,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A3R0COR-88E477D20B19B672,ECONOMIC_EXPOSURE_FAMILY_HISTORY,EUROPE_HEALTHCARE,A0A1_AND_A2,A2_CANONICAL_HISTORY_ACCEPTED_UNDER_A0A1_FAMILY,BLOCK_FROM_A3R0_DYNAMIC_ADMISSION_PENDING_LINEAGE_REPAIR,APPLIED_AS_A3R0_RESEARCH_GUARD_ONLY_NOT_REWRITTEN_UPSTREAM,CRITICAL_FOR_ROTATION_RESEARCH,YES,RECLASSIFY_IMPLEMENTATIONS_AND_REBUILD_A2_CANONICAL_HISTORY,A2_CANONICAL_IMPLEMENTATION_HISTORY|A0A1_SHARE_CLASS_MASTER,NOT_APPLICABLE_LOCAL_AUTHORITATIVE_DATA,A2 history switches from Europe Healthcare to MSCI World Health Care,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A3R0COR-81B041976F33AED0,ECONOMIC_EXPOSURE_FAMILY_HISTORY,EUROPE_INDUSTRIALS,A0A1_AND_A2,A2_CANONICAL_HISTORY_ACCEPTED_UNDER_A0A1_FAMILY,BLOCK_FROM_A3R0_DYNAMIC_ADMISSION_PENDING_LINEAGE_REPAIR,APPLIED_AS_A3R0_RESEARCH_GUARD_ONLY_NOT_REWRITTEN_UPSTREAM,CRITICAL_FOR_ROTATION_RESEARCH,YES,RECLASSIFY_IMPLEMENTATIONS_AND_REBUILD_A2_CANONICAL_HISTORY,A2_CANONICAL_IMPLEMENTATION_HISTORY|A0A1_SHARE_CLASS_MASTER,NOT_APPLICABLE_LOCAL_AUTHORITATIVE_DATA,A2 history uses an MSCI World Industrials fund,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A3R0COR-4D95B588168247B8,ECONOMIC_EXPOSURE_FAMILY_HISTORY,EUROPE_MATERIALS,A0A1_AND_A2,A2_CANONICAL_HISTORY_ACCEPTED_UNDER_A0A1_FAMILY,BLOCK_FROM_A3R0_DYNAMIC_ADMISSION_PENDING_LINEAGE_REPAIR,APPLIED_AS_A3R0_RESEARCH_GUARD_ONLY_NOT_REWRITTEN_UPSTREAM,CRITICAL_FOR_ROTATION_RESEARCH,YES,RECLASSIFY_IMPLEMENTATIONS_AND_REBUILD_A2_CANONICAL_HISTORY,A2_CANONICAL_IMPLEMENTATION_HISTORY|A0A1_SHARE_CLASS_MASTER,NOT_APPLICABLE_LOCAL_AUTHORITATIVE_DATA,A2 history uses an MSCI World Materials fund,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A3R0COR-FFA5E53DD3BC8DD7,ECONOMIC_EXPOSURE_FAMILY_HISTORY,EUROPE_TECHNOLOGY,A0A1_AND_A2,A2_CANONICAL_HISTORY_ACCEPTED_UNDER_A0A1_FAMILY,BLOCK_FROM_A3R0_DYNAMIC_ADMISSION_PENDING_LINEAGE_REPAIR,APPLIED_AS_A3R0_RESEARCH_GUARD_ONLY_NOT_REWRITTEN_UPSTREAM,CRITICAL_FOR_ROTATION_RESEARCH,YES,RECLASSIFY_IMPLEMENTATIONS_AND_REBUILD_A2_CANONICAL_HISTORY,A2_CANONICAL_IMPLEMENTATION_HISTORY|A0A1_SHARE_CLASS_MASTER,NOT_APPLICABLE_LOCAL_AUTHORITATIVE_DATA,A2 history uses an MSCI World Technology fund,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A3R0COR-FF470B41A852525B,ECONOMIC_EXPOSURE_FAMILY_HISTORY,EUROPE_UTILITIES,A0A1_AND_A2,A2_CANONICAL_HISTORY_ACCEPTED_UNDER_A0A1_FAMILY,BLOCK_FROM_A3R0_DYNAMIC_ADMISSION_PENDING_LINEAGE_REPAIR,APPLIED_AS_A3R0_RESEARCH_GUARD_ONLY_NOT_REWRITTEN_UPSTREAM,CRITICAL_FOR_ROTATION_RESEARCH,YES,RECLASSIFY_IMPLEMENTATIONS_AND_REBUILD_A2_CANONICAL_HISTORY,A2_CANONICAL_IMPLEMENTATION_HISTORY|A0A1_SHARE_CLASS_MASTER,NOT_APPLICABLE_LOCAL_AUTHORITATIVE_DATA,A2 history uses an MSCI World Utilities fund,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
A3R0COR-1D06A8745C59F284,ECONOMIC_EXPOSURE_FAMILY_HISTORY,GLOBAL_BANKS,A0A1_AND_A2,A2_CANONICAL_HISTORY_ACCEPTED_UNDER_A0A1_FAMILY,BLOCK_FROM_A3R0_DYNAMIC_ADMISSION_PENDING_LINEAGE_REPAIR,APPLIED_AS_A3R0_RESEARCH_GUARD_ONLY_NOT_REWRITTEN_UPSTREAM,CRITICAL_FOR_ROTATION_RESEARCH,YES,RECLASSIFY_IMPLEMENTATIONS_AND_REBUILD_A2_CANONICAL_HISTORY,A2_CANONICAL_IMPLEMENTATION_HISTORY|A0A1_SHARE_CLASS_MASTER,NOT_APPLICABLE_LOCAL_AUTHORITATIVE_DATA,A2 history is principally Europe banks and contains a development-bank bond observation,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
