economic_exposure_family_id,economic_exposure_name,overlap_cluster_id,overlap_basis,parent_exposure_family_id,secondary_parent_exposure_family_id,economic_beta_cluster,rotation_pool_id,holdings_overlap_metric_status,exact_holdings_overlap_percent,overlap_does_not_imply_duplicate,common_beta_control_available_for_later_research,evidence_basis,warning
ASIA_PACIFIC_EX_JAPAN,Asia-Pacific equities excluding Japan,OVL_EMERGING_ASIA_EQUITY,COMMON_GEOGRAPHIC_BETA,GLOBAL_ALL_WORLD,NOT_APPLICABLE,BETA_GLOBAL_OR_OTHER_EQUITY,POOL_REGIONAL_SATELLITES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
AUSTRALIA,Broad Australian equities,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,DEVELOPED_ASIA_PACIFIC,GLOBAL_DEVELOPED_WORLD,BETA_GLOBAL_OR_OTHER_EQUITY,POOL_COUNTRY_ROTATION,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
BROAD_COMMODITIES,Broad diversified commodity basket,OVL_BROAD_COMMODITIES,BROAD_INDEX_VERSUS_COMPONENTS,NOT_APPLICABLE,NOT_APPLICABLE,BETA_REAL_ASSET,POOL_DEFENSIVE_REAL_ASSETS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CANADA,Broad Canadian equities,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,BETA_GLOBAL_OR_OTHER_EQUITY,POOL_COUNTRY_ROTATION,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_A_SHARES,Mainland China A-shares,OVL_CHINA_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,CHINA_BROAD,EMERGING_MARKETS,BETA_EMERGING_ASIA_EQUITY,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD,Broad China equities,OVL_CHINA_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,EMERGING_MARKETS,GLOBAL_ALL_WORLD,BETA_EMERGING_ASIA_EQUITY,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_BROAD_USD_HEDGED,Broad China equities hedged to USD,OVL_CHINA_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,CHINA_BROAD,NOT_APPLICABLE,BETA_EMERGING_ASIA_EQUITY,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_INTERNET,China internet and digital economy,OVL_TECHNOLOGY_INNOVATION,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,CHINA_BROAD,EMERGING_ASIA,BETA_COMMUNICATION_SERVICES,POOL_CHINA_THEMES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
DEVELOPED_ASIA_PACIFIC,Developed Asia-Pacific equities,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,BETA_GLOBAL_OR_OTHER_EQUITY,POOL_BROAD_GEOGRAPHY_PRIMARY,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EMERGING_ASIA,Emerging Asian equities,OVL_EMERGING_ASIA_EQUITY,COMMON_GEOGRAPHIC_BETA,EMERGING_MARKETS,NOT_APPLICABLE,BETA_EMERGING_ASIA_EQUITY,POOL_REGIONAL_SATELLITES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
