research_group_id,formation_horizon_sessions,global_parent_state,forward_horizon_sessions,family_observation_count,date_observation_count,mean_forward_relative_global,global_relative_hac_p_value,mean_forward_relative_parent,parent_relative_hac_p_value,parent_mapping_frozen_before_a3r1,warning
COUNTRY,21,BOTH_STRONG,5,1500,638,0.0004258209937961371,0.6507604134835563,0.0006938615383372644,0.31802452500213463,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,BOTH_STRONG,10,1485,637,3.377651164249378e-05,0.9823344435085894,0.0008892212849705728,0.43156099518314217,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,BOTH_STRONG,21,1490,635,-0.0018719267561294088,0.5291642610564873,0.0012455692782348247,0.5539493125467783,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,BOTH_STRONG,42,1454,627,-0.004978401294780081,0.30187061920520153,0.001437913675482785,0.6906537848440826,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,BOTH_STRONG,63,1457,621,-0.0052431427109708734,0.5010204497362624,0.004556430237308537,0.4696340495816874,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,BOTH_STRONG,126,1420,608,-0.008760167035022042,0.5586165741946103,0.007337583324550207,0.5346974237588684,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,5,448,245,-0.0026136406789298767,0.031978924725602834,-0.001754286276263545,0.0812002460167547,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,10,448,248,-0.002982420203742444,0.11116388751547758,-0.0010016676097307296,0.5079681543215702,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,21,443,245,-0.004793073967986328,0.17460057641380322,0.0027745854463445446,0.2933081450912651,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,42,439,242,-0.007494785315317058,0.16239393109466937,0.010441531199560226,0.007314476249558186,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,63,440,241,-0.00736919537921188,0.3107383178126466,0.014177392856354602,0.0008021577748940396,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,126,437,239,-0.015245354666784184,0.36740127438105874,0.019596218347964767,0.10356390999603882,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,5,1841,678,-0.0008691236011955535,0.19770199743608718,-0.00019349695090365283,0.6852292514675346,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,10,1843,678,-0.0015533368585492469,0.16259986314290498,-9.504754188015213e-05,0.9007302892684939,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,21,1835,672,-0.0033744777854245907,0.10841772262519897,-0.000319923034584405,0.8083626395360316,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,42,1806,664,-0.005496698678661304,0.15636078827962557,-0.0006521993112733172,0.7630245500481027,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,63,1797,659,-0.01053437024430702,0.0455023204571345,-0.0028711269057835834,0.31855279126080294,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,126,1757,647,-0.017050205231805293,0.05154302807807982,-0.004029508438644448,0.36741319872408773,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,5,622,341,-0.0009173346874566452,0.4070415106901224,0.00036305891329743223,0.7019220203830787,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,10,619,340,-0.002231334607229516,0.16505510841762483,0.0015111579610973382,0.2788603498814286,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,21,626,340,-0.0037455553778461834,0.2214874466349791,0.0019767326906428547,0.4411237496890763,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,42,619,336,-0.006242168074796465,0.19093895268518135,-0.001266068626469233,0.7579815146383362,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,63,608,331,-0.009390309379058675,0.14190050693121273,-2.249080508570678e-05,0.9970089727459456,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,126,591,318,-0.016002181247794667,0.2222778808073793,0.007567904427861287,0.4967975136828042,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,5,5855,731,-0.0004255138146340311,0.11971254524077307,-0.0002580186671337997,0.18110893671179795,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,10,5834,727,-0.0008733327452614232,0.0532129176181966,-0.0004045537272622489,0.1951178275562263,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,21,5790,718,-0.0015710705286206994,0.0715424237086138,-0.000861151561501976,0.14425942975517062,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,42,5740,710,-0.0028689657061727906,0.058693805271665886,-0.0014069224632598568,0.17597844994277834,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,63,5662,698,-0.004025990397511909,0.052348525331197465,-0.0009836026033936778,0.48215807327863236,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,126,5533,679,-0.009104055621224977,0.010789307203219101,-0.002255960230433017,0.44554893267824636,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
