analysis_context_id,analysis_context_type,context_primary_for_a3r1,economic_exposure_family_id,economic_exposure_name,primary_rotation_role,a2r_primary_competition_pool_id,universe_tier,a2r_research_maturity,parent_exposure_family_id,parent_benchmark_family_id,overlap_cluster_id,warning
GEOGRAPHY,ROLE_GROUP,YES,ASIA_PACIFIC_EX_JAPAN,Asia-Pacific equities excluding Japan,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,EXTENDED,MATURE,GLOBAL_ALL_WORLD,GLOBAL_ALL_WORLD,OVL_EMERGING_ASIA_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,DEVELOPED_ASIA_PACIFIC,Developed Asia-Pacific equities,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,EXTENDED,MATURE,GLOBAL_DEVELOPED_WORLD,GLOBAL_DEVELOPED_WORLD,OVL_GLOBAL_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,EMERGING_ASIA,Emerging Asian equities,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,EXTENDED,MATURE,EMERGING_MARKETS,EMERGING_MARKETS,OVL_EMERGING_ASIA_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,EMERGING_MARKETS,Broad emerging-market equities,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,CORE,MATURE,GLOBAL_ALL_WORLD,GLOBAL_ALL_WORLD,OVL_EMERGING_ASIA_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,EUROPE_BROAD,Broad developed European equities,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,CORE,MATURE,GLOBAL_DEVELOPED_WORLD,GLOBAL_DEVELOPED_WORLD,OVL_EUROPE_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,EUROPE_EX_UK,Developed Europe excluding the UK,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,CORE,MATURE,EUROPE_BROAD,EUROPE_BROAD,OVL_EUROPE_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,EUROZONE,Eurozone equities,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,CORE,MATURE,EUROPE_BROAD,EUROPE_BROAD,OVL_EUROPE_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,EUROZONE_USD_HEDGED,Eurozone equities hedged to USD,BROAD_GEOGRAPHY_ROTATION,POOL_HEDGED_GEOGRAPHY_VARIANTS,EXTENDED,MATURE,EUROZONE,EUROZONE,OVL_EUROPE_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,GLOBAL_SMALL_CAP,Global small-cap equities,BROAD_GEOGRAPHY_ROTATION,POOL_GLOBAL_MARKET_CAP_SATELLITES,EXTENDED,MATURE,GLOBAL_DEVELOPED_WORLD,GLOBAL_DEVELOPED_WORLD,OVL_GLOBAL_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,JAPAN,Broad Japanese equities,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,CORE,MATURE,GLOBAL_DEVELOPED_WORLD,GLOBAL_DEVELOPED_WORLD,OVL_JAPAN_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,JAPAN_EUR_HEDGED,Broad Japanese equities hedged to EUR,BROAD_GEOGRAPHY_ROTATION,POOL_HEDGED_GEOGRAPHY_VARIANTS,EXTENDED,MATURE,JAPAN,JAPAN,OVL_JAPAN_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,JAPAN_GBP_HEDGED,Broad Japanese equities hedged to GBP,BROAD_GEOGRAPHY_ROTATION,POOL_HEDGED_GEOGRAPHY_VARIANTS,EXTENDED,MATURE,JAPAN,JAPAN,OVL_JAPAN_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,UK_BROAD_MARKET,Broad UK equities,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,CORE,MATURE,EUROPE_BROAD,EUROPE_BROAD,OVL_UK_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,UK_LARGE_CAP,UK large-cap equities,BROAD_GEOGRAPHY_ROTATION,POOL_UK_MARKET_CAP_BREADTH,CORE,MATURE,UK_BROAD_MARKET,UK_BROAD_MARKET,OVL_UK_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,UK_MID_CAP,UK mid-cap equities,BROAD_GEOGRAPHY_ROTATION,POOL_UK_MARKET_CAP_BREADTH,CORE,MATURE,UK_BROAD_MARKET,UK_BROAD_MARKET,OVL_UK_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,UK_SMALL_CAP,UK small-cap equities,BROAD_GEOGRAPHY_ROTATION,POOL_UK_MARKET_CAP_BREADTH,EXTENDED,MATURE,UK_BROAD_MARKET,UK_BROAD_MARKET,OVL_UK_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,US_BROAD_LARGE_CAP,Broad US large-cap equities,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,CORE,MATURE,GLOBAL_DEVELOPED_WORLD,GLOBAL_DEVELOPED_WORLD,OVL_US_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,US_BROAD_LARGE_CAP_EUR_HEDGED,Broad US large-cap equities hedged to EUR,BROAD_GEOGRAPHY_ROTATION,POOL_HEDGED_GEOGRAPHY_VARIANTS,EXTENDED,MATURE,US_BROAD_LARGE_CAP,US_BROAD_LARGE_CAP,OVL_US_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,US_BROAD_LARGE_CAP_GBP_HEDGED,Broad US large-cap equities hedged to GBP,BROAD_GEOGRAPHY_ROTATION,POOL_HEDGED_GEOGRAPHY_VARIANTS,EXTENDED,MATURE,US_BROAD_LARGE_CAP,US_BROAD_LARGE_CAP,OVL_US_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,US_NASDAQ_100,US Nasdaq-100 large-cap growth-biased equities,BROAD_GEOGRAPHY_ROTATION,POOL_US_MARKET_BREADTH_STYLE,CORE,MATURE,US_BROAD_LARGE_CAP,US_BROAD_LARGE_CAP,OVL_US_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,US_SMALL_CAP,US small-cap equities,BROAD_GEOGRAPHY_ROTATION,POOL_US_MARKET_BREADTH_STYLE,CORE,MATURE,US_TOTAL_MARKET,US_TOTAL_MARKET,OVL_US_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,YES,US_TOTAL_MARKET,Broad all-cap US equities,BROAD_GEOGRAPHY_ROTATION,POOL_US_MARKET_BREADTH_STYLE,CORE,MATURE,GLOBAL_DEVELOPED_WORLD,GLOBAL_DEVELOPED_WORLD,OVL_US_BROAD_EQUITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
