analysis_context_id,analysis_context_type,signal_id,weekly_date_count,mean_weekly_rank_autocorrelation,median_weekly_rank_autocorrelation,probability_top3_remains_top10_percent,probability_top5_remains_above_median,mean_absolute_percentile_rank_change,median_top3_duration_weeks,mean_top3_duration_weeks,top3_duration_run_count,warning
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,1373,0.8884693296585563,0.9067731699310646,0.7181467181467182,0.9860788863109049,0.09615293647271296,2.0,3.0,174,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_RECENCY_TILT,1373,0.8496743867974047,0.877904220009483,0.6814671814671814,0.968677494199536,0.11191450550084893,2.0,2.6231155778894473,199,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_60D_CENTERED,1373,0.8963960619964485,0.9205645161290322,0.7253384912959381,0.9907192575406032,0.09152158535083832,2.0,2.9491525423728815,177,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_3_6_12_REFERENCE,1373,0.9391116975450661,0.9493284493284493,0.8223938223938224,0.9988425925925926,0.0686192883526796,2.0,4.38655462184874,119,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,ACCEL_FAST_COMPOSITE,1373,0.7281479263906157,0.7593561368209254,0.6357308584686775,0.9346314325452016,0.15291523932166667,1.0,1.9625550660792952,454,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,SHORT_MINUS_LONG_RS,1373,0.8564748327137939,0.8722143195827405,0.7087378640776699,0.9790209790209791,0.10921701342582266,2.0,2.9,180,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,DISCRETE_RECENT_CONSISTENCY,1373,0.792709422532398,0.8104560622914349,0.6605263157894737,0.968421052631579,0.13251910943890316,1.0,1.884375,640,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,PAIRWISE_MAJORITY_5H,1373,0.8766255939136914,0.9046482255899793,0.7181467181467182,0.9779582366589327,0.09710892184646781,2.0,3.0,174,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,RRG_TRANSPARENT_LEVEL,1373,0.9157223169443649,0.9321886309161759,0.8137384412153237,0.9936558287073751,0.08006080350357993,2.0,3.3191489361702127,235,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,RRG_TRANSPARENT_MOMENTUM,1373,0.6703417508193648,0.7114624505928854,0.5488721804511278,0.9080252479711451,0.1673800992794879,1.0,1.811023622047244,381,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,RS_21,1373,0.709250888273903,0.7359451203482014,0.6728247914183552,0.9199141937790489,0.1551499398402851,1.0,1.9274106175514627,923,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,RS_42,1373,0.844797221335989,0.8774652991395365,0.8007142857142857,0.9746345657781599,0.10889373844785698,2.0,2.487309644670051,591,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,RS_63,1373,0.88339254095101,0.908649789029536,0.8402107111501317,0.9842022116903634,0.09138576965161554,2.0,2.8243559718969555,427,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,RS_126,1373,0.9387810901599704,0.9500468823253634,0.8865435356200527,0.9992076069730587,0.06670810429901199,2.0,4.262295081967213,183,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,RS_252,1373,0.967847167006456,0.9741935483870968,0.8552123552123552,1.0,0.04738342595387193,2.0,4.878504672897196,107,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,MH_LEVEL_EQ,1373,,,,,,85.0,85.0,3,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,MH_LEVEL_RECENCY_TILT,1373,,,,,,85.0,85.0,3,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,MH_LEVEL_60D_CENTERED,1373,,,,,,85.0,85.0,3,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,MH_LEVEL_3_6_12_REFERENCE,1373,,,,,,85.0,85.0,3,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,ACCEL_FAST_COMPOSITE,1373,0.6196607881040058,0.7142857142857144,,0.7275862068965517,0.1755776841567726,3.0,6.857142857142857,91,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,SHORT_MINUS_LONG_RS,1373,,,,,,85.0,85.0,3,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
