analysis_context_id,robustness_variant_id,score_column,forward_horizon_sessions,observation_count,mean_top3_advantage_vs_global,median_top3_advantage_vs_global,positive_frequency,hac_t_statistic,hac_p_value,neighbourhood_not_optimisation_grid,warning
ALL_EQUITY_OPPORTUNITIES,RS42_NEIGHBOUR_32,RANK_RS_32,10,477,-0.0020284692271164573,-0.0016207426775939338,0.480083857442348,-1.1058286539580964,0.268800690174796,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_NEIGHBOUR_32,RANK_RS_32,21,406,-0.004176856912240485,-0.0032204591045008057,0.4630541871921182,-1.1672176228876858,0.24312249581660672,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_NEIGHBOUR_32,RANK_RS_32,42,327,-0.006744733683157424,-0.005785188248002782,0.43730886850152906,-1.086430144987716,0.27728873075537397,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_NEIGHBOUR_32,RANK_RS_32,63,278,-0.011799193041988976,-0.015239918751224713,0.3776978417266187,-1.40403048630871,0.16030977153912407,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_CENTRAL_42,RANK_RS_42,10,433,-0.001116494401244638,-0.0020669690050564293,0.4503464203233256,-0.5642787684734061,0.5725644283978639,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_CENTRAL_42,RANK_RS_42,21,365,-0.004154977587312074,-0.00467654883987223,0.4328767123287671,-1.0852530947333237,0.27780957417026686,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_CENTRAL_42,RANK_RS_42,42,305,-0.008348952753010114,-0.009269839521383827,0.42295081967213116,-1.2429882051193133,0.21387217990619634,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_CENTRAL_42,RANK_RS_42,63,260,-0.017464290769507635,-0.02034126663412117,0.38846153846153847,-2.1090163290670993,0.03494317218552296,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_NEIGHBOUR_52,RANK_RS_52,10,389,-0.0011347645457990367,-0.0015109638410443216,0.4601542416452442,-0.5509113038477517,0.5816944781711317,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_NEIGHBOUR_52,RANK_RS_52,21,337,-0.002448486995181281,-0.002526774869613946,0.4629080118694362,-0.5882238789642367,0.5563820314331875,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_NEIGHBOUR_52,RANK_RS_52,42,284,-0.006599309425329386,-0.006065167684843054,0.4471830985915493,-0.987292840698806,0.32349909936617716,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS42_NEIGHBOUR_52,RANK_RS_52,63,245,-0.014429988014126953,-0.015667852903047286,0.39591836734693875,-1.5395366900893797,0.1236733278598437,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS63_NEIGHBOUR_50,RANK_RS_50,10,390,-0.0002872842235612159,-0.0015948988420319,0.45384615384615384,-0.1378023027344254,0.8903966644056556,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
