research_group_id,formation_horizon_sessions,global_parent_state,forward_horizon_sessions,family_observation_count,date_observation_count,mean_forward_relative_global,global_relative_hac_p_value,mean_forward_relative_parent,parent_relative_hac_p_value,parent_mapping_frozen_before_a3r1,warning
COUNTRY,21,BOTH_STRONG,5,902,450,-3.511940782634792e-05,0.9766336319314791,0.0001997543167468593,0.8191294071465269,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,BOTH_STRONG,10,845,421,0.0006703541955860573,0.7506010437227886,0.0012204811562955803,0.4208473813970456,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,BOTH_STRONG,21,737,372,-0.0006800743163407547,0.874948482851391,0.0018894779770921215,0.48198774168188885,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,BOTH_STRONG,42,534,287,0.0005611620946312998,0.94995254143363,0.006309979136516999,0.3116657830239905,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,BOTH_STRONG,63,434,238,0.007186749888222618,0.6974460722110352,0.017825342111753295,0.20074199206661092,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,BOTH_STRONG,126,227,144,0.020127383947153524,0.682495814076328,0.03464024906632149,0.3472719489972689,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,5,271,176,-0.001183982710307622,0.4148911824410295,-0.0012249053185321688,0.2887269819359559,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,10,258,170,0.0005438493110289679,0.8248517843215519,0.001124797623559194,0.5608358273087831,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,21,218,148,-0.003050863925421598,0.5298375136047186,0.004245432792640874,0.25673202018049446,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,42,170,116,0.0032110058514259483,0.7598156358916807,0.016246402575035745,0.029176407089734353,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,63,131,87,0.007694968895567028,0.5798633248127293,0.01713230468737934,0.1330562808196957,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,GLOBAL_ONLY,126,78,56,0.018032410889999496,0.6359675130649953,0.0318974756415434,0.3427546032014177,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,5,1159,497,-0.000510272063936659,0.521003088028301,-0.00015256699670091622,0.801636161427642,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,10,1075,475,-0.002225430794412452,0.0859910273809117,-0.0008785251831648478,0.3779645936564724,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,21,879,412,-0.0036979960444999366,0.19754177110253968,-0.0015486913267371406,0.4489296971719877,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,42,669,329,-0.005935747040809827,0.29357067520425395,-0.006008145717521471,0.12323237001786215,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,63,530,273,-0.002980247070554705,0.7263378320368657,-0.009188824899253574,0.07121647866080615,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,NEITHER_STRONG,126,269,170,-0.009698550216763299,0.6459983651499273,-0.01279640076671004,0.28847780096819464,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,5,381,233,-0.0017914727530620447,0.19921674887911134,-0.0013467867024186404,0.26338240380306965,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,10,354,218,-0.004343856402161913,0.040913555180823444,-0.0015517750160453413,0.3762028394219902,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,21,287,180,-0.007356304291528394,0.1436192453972181,-0.0012527521797897811,0.7637511241414334,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,42,193,130,-0.010542317629867078,0.3017852975713017,-0.005672427366998776,0.5073737092282118,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,63,156,107,-0.010201899295954423,0.4325375835284688,-0.0101743156933378,0.41383969043869395,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,21,PARENT_ONLY,126,63,52,-0.003976625638629607,0.8964556186293712,0.00313204964994134,0.9251420385934817,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,5,4457,563,-0.00033723367693015135,0.2631124539814067,-0.00023275755618335859,0.2580402490193773,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,10,4258,537,-0.0008366099735597994,0.10368780367182293,-0.0005424720727728944,0.12140126790152513,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,21,3745,472,-0.0016803130392158026,0.11252923143945157,-0.0014164930848484605,0.0420033096564355,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,42,3014,387,-0.0017808636279044762,0.3950756112383258,-0.001189048050556218,0.38177238697831495,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,63,2555,335,-0.0024549263523710933,0.40433246173371185,-0.001101309766447666,0.5289877778577678,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,BOTH_STRONG,126,1569,228,-0.011611527125273592,0.011397999906292844,-0.004212287693406316,0.2082895971875971,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,GLOBAL_ONLY,5,788,398,0.00025607715774885495,0.6901210227610706,0.0005798788739239495,0.16743037551103002,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,GLOBAL_ONLY,10,742,378,0.00017841453999317016,0.8528065814228915,0.000886319366982649,0.17264273220401782,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,GLOBAL_ONLY,21,643,332,-0.001096928979739662,0.5873768848222449,-0.00016307986179298558,0.9050299063750156,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,GLOBAL_ONLY,42,518,274,-0.0016951515732625618,0.6541314129342555,0.0019987257155995642,0.44920034156899236,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,GLOBAL_ONLY,63,426,232,0.001161256538903895,0.8217786868284062,0.0037447170404151567,0.331614819004453,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,GLOBAL_ONLY,126,247,152,-0.011213623494211643,0.02222029950766754,0.00546342100978769,0.46117318265739105,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,NEITHER_STRONG,5,4661,561,-4.704101106357249e-05,0.8856301385778883,0.00026486218722632547,0.3012823547945904,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
