economic_exposure_family_id,economic_exposure_name,primary_rotation_role,research_maturity,first_valid_date,last_valid_date,valid_endpoint_count,five_year_window_start,data_cutoff,launched_within_final_five_years,valid_near_cutoff,implementation_transition_count,implementation_transition_dates,recent_external_event_count,recent_external_events,recent_external_event_dates,a3r2u_lse_current_status,current_implementable_view,lifecycle_primary_state,recent_survivorship_census_classification,survivorship_limitation,warning
ASIA_PACIFIC_EX_JAPAN,Asia-Pacific equities excluding Japan,BROAD_GEOGRAPHY_ROTATION,MATURE,2016-11-10,2026-08-21,2301.0,2021-08-23,2026-08-21,NO,YES,13,2017-06-28;2019-10-25;2019-10-28;2020-07-23;2020-07-30;2020-08-04;2020-08-07;2020-08-11;2020-08-20;2020-08-26;2020-08-27;2023-04-11;2023-04-12,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
AUSTRALIA,Broad Australian equities,COUNTRY_ROTATION,MATURE,2017-09-26,2026-08-21,2224.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
BROAD_COMMODITIES,Broad diversified commodity basket,DEFENSIVE_REFERENCE,MATURE,,,,2021-08-23,2026-08-21,NO,NO,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,NO_VALID_IMPLEMENTATION_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
CANADA,Broad Canadian equities,COUNTRY_ROTATION,MATURE,2010-09-20,2026-08-21,3559.0,2021-08-23,2026-08-21,NO,YES,181,2011-03-01;2011-05-05;2011-05-06;2011-05-31;2011-06-03;2011-06-07;2011-06-10;2011-06-13;2011-07-07;2011-07-08;2011-07-18;2011-07-21;2011-07-25;2011-07-28;2011-08-01;2011-08-02;2011-09-02;2011-09-06;2011-09-08;2011-09-09;2011-09-19;2011-09-20;2011-10-13;2011-10-14;2011-10-20;2011-10-25;2011-11-09;2011-11-11;2011-11-17;2011-11-22;2011-12-09;2011-12-14;2011-12-28;2012-01-04;2012-01-18;2012-01-30;2012-02-06;2012-02-07;2012-02-27;2012-02-28;2012-03-05;2012-03-06;2012-03-12;2012-03-13;2012-03-22;2012-03-23;2012-03-29;2012-03-30;2012-04-03;2012-04-10;2012-04-11;2012-04-16;2012-04-18;2012-04-20;2012-04-25;2012-05-04;2012-05-10;2012-05-14;2012-05-21;2012-05-22;2012-06-07;2012-06-21;2012-06-25;2012-06-26;2012-06-29;2012-07-03;2012-07-31;2012-08-06;2012-08-13;2012-08-15;2012-08-21;2012-08-23;2012-08-28;2012-09-04;2012-09-25;2012-10-08;2012-10-09;2012-10-17;2012-10-31;2012-11-09;2012-11-14;2012-11-15;2012-12-21;2013-01-02;2013-01-14;2013-01-24;2013-02-06;2013-02-07;2013-02-28;2013-03-05;2013-03-21;2013-03-22;2013-03-27;2013-04-05;2013-04-08;2013-05-14;2013-05-17;2013-05-29;2013-06-04;2013-06-10;2013-06-13;2013-06-17;2013-06-19;2013-06-21;2013-06-25;2013-07-01;2013-07-03;2013-07-04;2013-07-09;2013-07-15;2013-07-18;2013-08-05;2013-08-07;2013-08-08;2013-08-12;2013-08-14;2013-08-22;2013-08-29;2013-09-02;2013-09-03;2013-09-05;2013-09-06;2013-09-10;2013-09-17;2013-09-20;2013-09-25;2013-09-27;2013-09-30;2013-10-03;2013-10-07;2013-10-09;2013-10-29;2013-10-31;2013-11-26;2013-11-29;2013-12-02;2013-12-05;2013-12-06;2013-12-10;2013-12-16;2013-12-18;2013-12-19;2013-12-23;2014-01-16;2014-01-20;2014-01-22;2014-01-27;2014-02-03;2014-02-05;2014-02-14;2014-02-20;2014-02-25;2014-03-03;2014-03-04;2014-03-06;2014-03-21;2014-03-25;2014-03-26;2014-03-31;2014-04-02;2014-04-09;2014-04-15;2014-04-25;2014-04-29;2014-05-07;2014-05-15;2014-05-19;2014-06-06;2014-06-10;2017-01-25;2017-01-26;2017-10-13;2017-10-16;2017-11-03;2017-11-06;2020-07-27;2020-07-30;2020-08-05;2020-08-07;2023-04-11;2023-04-12,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
CHINA_A_SHARES,Mainland China A-shares,COUNTRY_ROTATION,MATURE,2014-02-06,2026-08-21,3166.0,2021-08-23,2026-08-21,NO,YES,2,2019-10-25;2019-10-28,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
CHINA_BROAD,Broad China equities,COUNTRY_ROTATION,MATURE,2011-02-24,2026-08-21,3869.0,2021-08-23,2026-08-21,NO,YES,2,2011-12-30;2012-01-03,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
CHINA_BROAD_USD_HEDGED,Broad China equities hedged to USD,INSUFFICIENT_DATA,NOT_APPLICABLE_NO_USABLE_HISTORY,,,,2021-08-23,2026-08-21,NO,NO,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,NO_VALID_IMPLEMENTATION_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
CHINA_INTERNET,China internet and digital economy,THEME_ROTATION,MATURE,2020-10-06,2026-08-21,1482.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
DEVELOPED_ASIA_PACIFIC,Developed Asia-Pacific equities,BROAD_GEOGRAPHY_ROTATION,MATURE,2009-09-29,2026-08-21,4184.0,2021-08-23,2026-08-21,NO,YES,102,2009-11-05;2009-11-06;2009-11-19;2009-11-20;2010-01-21;2010-01-22;2010-04-22;2010-04-23;2010-05-18;2010-05-19;2010-06-16;2010-06-18;2010-08-02;2010-08-03;2010-08-24;2010-08-25;2010-08-27;2010-08-31;2010-09-03;2010-09-06;2010-09-16;2010-09-20;2010-09-23;2010-09-24;2010-10-14;2010-10-15;2010-10-19;2010-10-20;2010-10-22;2010-10-25;2010-11-02;2010-11-04;2010-11-08;2010-11-09;2010-11-22;2010-11-23;2010-12-01;2010-12-02;2010-12-20;2010-12-21;2011-01-06;2011-01-07;2011-01-14;2011-01-17;2011-01-24;2011-01-25;2011-02-21;2011-02-22;2011-04-04;2011-04-05;2011-05-23;2011-05-24;2011-06-03;2011-06-06;2011-06-24;2011-06-27;2011-09-01;2011-09-02;2011-09-15;2011-09-16;2011-09-20;2011-09-21;2011-10-04;2011-10-05;2011-10-10;2011-10-11;2011-11-03;2011-11-08;2012-01-16;2012-01-17;2012-02-01;2012-02-02;2012-03-01;2012-03-05;2012-03-09;2012-03-12;2012-05-02;2012-05-03;2012-06-11;2012-06-12;2012-06-18;2012-06-19;2012-06-22;2012-06-25;2012-07-11;2012-07-12;2012-08-30;2012-08-31;2012-10-05;2012-10-08;2012-10-16;2012-10-17;2013-01-02;2013-01-03;2017-11-09;2017-11-10;2019-10-25;2019-10-28;2020-08-18;2020-08-19;2020-08-26;2020-08-27,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EMERGING_ASIA,Emerging Asian equities,BROAD_GEOGRAPHY_ROTATION,MATURE,2010-10-26,2026-08-21,3391.0,2021-08-23,2026-08-21,NO,YES,23,2011-01-05;2011-09-26;2011-12-01;2012-03-30;2012-06-13;2012-06-14;2012-08-29;2012-09-07;2012-11-02;2012-12-03;2012-12-20;2013-01-23;2013-01-25;2013-01-29;2013-02-21;2013-02-28;2013-03-18;2013-05-02;2013-05-14;2017-09-15;2017-09-18;2019-10-25;2019-10-28,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
