change_id,event_date,event_type,isin,ticker,economic_exposure_family_id,description,source_url,evidence_confidence,historical_effect
A3R2U-LIFE-20E8CC8DD29698BF,2024-02-27,MERGER,IE00BLH3CQ86,NOT_APPLICABLE,NOT_CLASSIFIED_IN_CURRENT_MASTER,HANetf S&P Global Clean Energy Select merged into iClima Global Decarbonisation Enablers,https://hanetf.com/closed-funds/,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
A3R2U-LIFE-57A7906C104E6154,2024-03-14,MERGER,IE00BMQ8YK98,NOT_APPLICABLE,NOT_CLASSIFIED_IN_CURRENT_MASTER,ETC Group Digital Assets and Blockchain Equity merged into ETC Group Global Metaverse,https://hanetf.com/closed-funds/,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
A3R2U-LIFE-41F52CD71F0BC237,2024-03-28,MERGER,IE00BDDRF924,NOT_APPLICABLE,NOT_CLASSIFIED_IN_CURRENT_MASTER,HAN-GINS Cloud Technology merged into HAN-GINS Tech Megatrend,https://hanetf.com/closed-funds/,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
A3R2U-LIFE-6DB61C5FC93AC773,2024-04-17,CLOSURE,IE00BMFNWC33,NOT_APPLICABLE,NOT_CLASSIFIED_IN_CURRENT_MASTER,Solar Energy UCITS ETF,https://hanetf.com/closed-funds/,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
A3R2U-LIFE-B927CE42AC733FF7,2024-04-19,MERGER,IE00BLH3CV30,NOT_APPLICABLE,NOT_CLASSIFIED_IN_CURRENT_MASTER,Procure Space UCITS ETF merged into Future of Defence UCITS ETF,https://hanetf.com/closed-funds/,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
A3R2U-LIFE-0A9837D6218C92B2,2024-04-19,MERGER,IE00BN76Y761,NOT_APPLICABLE,NOT_CLASSIFIED_IN_CURRENT_MASTER,U.S. Global Jets UCITS ETF merged into The Travel UCITS ETF,https://hanetf.com/closed-funds/,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
A3R2U-LIFE-29082F40CC76B509,2024-04-29,CLOSURE,IE000HMSHYJ6,NOT_APPLICABLE,NOT_CLASSIFIED_IN_CURRENT_MASTER,Electric Vehicle Charging Infrastructure UCITS ETF,https://hanetf.com/closed-funds/,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
A3R2U-LIFE-95E310A0F4FB606E,2024-07-01,MANDATE_CHANGE,IE000KDY10O3,NOT_APPLICABLE,US_AEROSPACE_DEFENCE,ETC Group Global Metaverse changed to ETC Group Web 3.0,https://hanetf.com/closed-funds/,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
A3R2U-LIFE-CE907EAEDB672532,2024-08-21,CLOSURE,NOT_AVAILABLE,NOT_APPLICABLE,NOT_CLASSIFIED_IN_CURRENT_MASTER,iShares FTSE Italia Mid-Small Cap UCITS ETF ceased operations,https://www.ishares.com/uk/individual/en/literature/annual-report/ishares-vii-plc-en-annual-report-2025.pdf,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
A3R2U-LIFE-31EC44520F195752,2025-03-19,MERGER,IE000TVPSRI1,NOT_APPLICABLE,NOT_CLASSIFIED_IN_CURRENT_MASTER,Grayscale Future of Finance merged into HAN-GINS Tech Megatrend,https://hanetf.com/closed-funds/,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
A3R2U-LIFE-A9BF226A7173C7C9,2026-07-15,MANDATE_CHANGE,IE000KDY10O3,NOT_APPLICABLE,US_AEROSPACE_DEFENCE,Strategy changed to Future of US Defence UCITS ETF,https://hanetf.com/fund/gijo-future-of-us-defence-etf/,HIGH_PRIMARY_ISSUER,LIFECYCLE_EVENT_NO_SILENT_SURVIVOR_SUBSTITUTION
