economic_exposure_family_id,economic_exposure_name,primary_rotation_role,first_endpoint_date,latest_endpoint_date,five_year_start_static,latest_maturity,current_implementable_view,valid_signal_dates_21,valid_signal_dates_42,valid_signal_dates_63,valid_signal_dates_126,valid_signal_dates_252,warning
ASIA_PACIFIC_EX_JAPAN,Asia-Pacific equities excluding Japan,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2276,2255,2236,2179,2053,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
AUSTRALIA,Broad Australian equities,COUNTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2185,2147,2105,1979,1727,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
CANADA,Broad Canadian equities,COUNTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3336,3279,3248,3181,3088,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
CHINA_A_SHARES,Mainland China A-shares,COUNTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3145,3124,3103,3040,2914,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
CHINA_BROAD,Broad China equities,COUNTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3817,3796,3775,3712,3589,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
CHINA_INTERNET,China internet and digital economy,THEME_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,1461,1440,1419,1356,1230,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
DEVELOPED_ASIA_PACIFIC,Developed Asia-Pacific equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,4134,4084,4037,3926,3786,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EMERGING_ASIA,Emerging Asian equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3333,3312,3291,3228,3102,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EMERGING_MARKETS,Broad emerging-market equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3528,3509,3488,3427,3301,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_AEROSPACE_DEFENCE,Aerospace and defence businesses,THEME_ROTATION,2000-05-02,2026-08-21,False,DEVELOPING,YES,433,369,328,244,118,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_BANKS,Europe banking industry,INDUSTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2959,2938,2917,2854,2728,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_BROAD,Broad developed European equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3288,3272,3257,3211,3092,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_COMMUNICATION_SERVICES,Broad Europe communication services sector,SECTOR_ROTATION,2000-05-02,2026-08-21,False,DEVELOPING,YES,482,369,294,212,86,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_CONSUMER_DISCRETIONARY,Broad Europe consumer discretionary sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,NO,2810,2747,2685,2496,2118,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_CONSUMER_STAPLES,Broad consumer-staples sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2799,2736,2673,2484,2106,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_ENERGY,Broad Europe energy sector,SECTOR_ROTATION,2000-05-02,2026-08-21,False,MATURE,NO,1441,1360,1301,1128,917,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
