specification_id,selection_rule,weighting_method,mean_position_hhi,mean_maximum_position_weight,mean_distinct_parent_count,mean_parent_hhi,mean_distinct_overlap_cluster_count,mean_overlap_cluster_hhi,warning
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY|EQUAL,TOP_1,EQUAL,1.0,1.0,1.0,1.0,1.0,1.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY|RANK_DECAY,TOP_1,RANK_DECAY,1.0,1.0,1.0,1.0,1.0,1.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY|SCORE_PROPORTIONAL_CAPPED,TOP_1,SCORE_PROPORTIONAL_CAPPED,1.0,1.0,1.0,1.0,1.0,1.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY|INVERSE_VOLATILITY_CAPPED,TOP_1,INVERSE_VOLATILITY_CAPPED,1.0,1.0,1.0,1.0,1.0,1.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY|SIGNAL_X_INVERSE_VOLATILITY,TOP_1,SIGNAL_X_INVERSE_VOLATILITY,1.0,1.0,1.0,1.0,1.0,1.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_2|MONTHLY|EQUAL,TOP_2,EQUAL,0.5,0.5,1.7540983606557377,0.6229508196721312,1.7377049180327868,0.6311475409836066,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_2|MONTHLY|RANK_DECAY,TOP_2,RANK_DECAY,0.5,0.5,1.7540983606557377,0.6229508196721312,1.7377049180327868,0.6311475409836066,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_2|MONTHLY|SCORE_PROPORTIONAL_CAPPED,TOP_2,SCORE_PROPORTIONAL_CAPPED,0.5,0.5,1.7540983606557377,0.6229508196721312,1.7377049180327868,0.6311475409836066,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_2|MONTHLY|INVERSE_VOLATILITY_CAPPED,TOP_2,INVERSE_VOLATILITY_CAPPED,0.5,0.5,1.7540983606557377,0.6229508196721312,1.7377049180327868,0.6311475409836066,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_2|MONTHLY|SIGNAL_X_INVERSE_VOLATILITY,TOP_2,SIGNAL_X_INVERSE_VOLATILITY,0.5,0.5,1.7540983606557377,0.6229508196721312,1.7377049180327868,0.6311475409836066,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
