selection_rule,weighting_method,friction_bps_one_way,fixed_fee_per_trade_leg_gbp,sleeve_size_gbp,net_cagr,maximum_drawdown,sharpe_zero_cash_hurdle,annual_turnover_traded_notional,trade_legs,total_transaction_cost_rate,warning
TOP_1,EQUAL,10,3.99,100000,0.26402245661686674,-0.308982035928144,0.7124535074807816,8.410189144736842,42,0.04273493532726535,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,EQUAL,10,3.99,250000,0.26413444330708713,-0.3089820359281439,0.7127562291309113,8.410189144736842,42,0.042293410546557005,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,EQUAL,10,3.99,500000,0.2641716784858914,-0.3089820359281441,0.7128568808747567,8.410189144736842,42,0.042146611583597705,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,EQUAL,20,3.99,100000,0.2533866829270772,-0.308982035928144,0.6837121037993006,8.410189144736842,42,0.08480473387065722,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,EQUAL,20,3.99,250000,0.2535085253076881,-0.3089820359281441,0.6840423713390033,8.410189144736842,42,0.08432124927128008,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,EQUAL,20,3.99,500000,0.2535490330805863,-0.308982035928144,0.6841521699855883,8.410189144736842,42,0.08416051754395552,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,EQUAL,40,3.99,100000,0.23231452995608026,-0.308982035928144,0.6265494402795355,8.410189144736842,42,0.16896581171671585,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,EQUAL,40,3.99,250000,0.23245890197245522,-0.3089820359281442,0.6269425324417192,8.410189144736842,42,0.16838547989205208,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,EQUAL,40,3.99,500000,0.23250688857358037,-0.3089820359281439,0.6270731866891656,8.410189144736842,42,0.16819259955964355,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,RANK_DECAY,10,3.99,100000,0.26402245661686674,-0.308982035928144,0.7124535074807816,8.410189144736842,42,0.04273493532726535,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,RANK_DECAY,10,3.99,250000,0.26413444330708713,-0.3089820359281439,0.7127562291309113,8.410189144736842,42,0.042293410546557005,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_1,RANK_DECAY,10,3.99,500000,0.2641716784858914,-0.3089820359281441,0.7128568808747567,8.410189144736842,42,0.042146611583597705,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
