specification_id,launch_cohort_removed,excluded_families,net_excess_vs_pool_cagr,warning
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY,2021,GLOBAL_GENOMICS;GLOBAL_RETAIL;GLOBAL_SOLAR,0.13871368656975824,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY,2022,GLOBAL_AI;GLOBAL_SILVER_MINERS;GLOBAL_URANIUM_NUCLEAR,0.13754010222998314,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY,2024,GLOBAL_AEROSPACE_DEFENCE,0.13871368656975824,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY,2025,GLOBAL_QUANTUM_COMPUTING,0.13871368656975824,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY,2026,EUROPE_INFRASTRUCTURE;US_AEROSPACE_DEFENCE,0.13871368656975824,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY|PAIRWISE_MAJORITY_5H|TOP_1|MONTHLY,2021,GLOBAL_RETAIL,0.13112274976663674,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY|PAIRWISE_MAJORITY_5H|TOP_1|MONTHLY,2022,GLOBAL_SILVER_MINERS,0.1972453365174922,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY,2021,GLOBAL_RETAIL,0.10896703487076498,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_1|MONTHLY,2022,GLOBAL_SILVER_MINERS,0.106009537720825,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY_PLUS_THEME|MH_LEVEL_3_6_12_REFERENCE|TOP_2|MONTHLY,2021,GLOBAL_GENOMICS;GLOBAL_RETAIL;GLOBAL_SOLAR,0.09207935159641223,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
