specification_id,pool_id,signal_id,selection_rule,cadence,test_class,warning,selected_vs_unselected_cagr_spread,selected_gross_cagr,unselected_pool_cagr
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.02701884506538721,0.20388267195035037,0.17686382688496316
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_2|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.034587103757459436,0.15382379873914798,0.1884109024966074
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_3|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.09766483875790755,0.24241417097501694,0.1447493322171094
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_5|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.11114166486103172,0.22798514407551718,0.11684347921448546
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.04831780210001546,0.14597978721449634,0.1942975893145118
INDUSTRY|MH_LEVEL_EQ|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.15448717766890163,0.04212154633258991,0.19660872400149154
INDUSTRY|MH_LEVEL_EQ|TOP_2|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.02935606316267725,0.19844891820063215,0.1690928550379549
INDUSTRY|MH_LEVEL_EQ|TOP_3|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.06142992601608421,0.21889728932908792,0.1574673633130037
INDUSTRY|MH_LEVEL_EQ|TOP_5|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.0498715741080511,0.20441872298011243,0.15454714887206134
INDUSTRY|MH_LEVEL_EQ|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,MH_LEVEL_EQ,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.08451391247148554,0.09126043624108404,0.17577434871256958
INDUSTRY|MH_LEVEL_60D_CENTERED|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_60D_CENTERED,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.03397720248747582,0.1508299717315862,0.184807174219062
INDUSTRY|MH_LEVEL_60D_CENTERED|TOP_2|WEEKLY,INDUSTRY,MH_LEVEL_60D_CENTERED,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.07684231686711507,0.12139829972681637,0.19824061659393144
INDUSTRY|MH_LEVEL_60D_CENTERED|TOP_3|WEEKLY,INDUSTRY,MH_LEVEL_60D_CENTERED,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.023364096875832407,0.20028732871819077,0.17692323184235836
INDUSTRY|MH_LEVEL_60D_CENTERED|TOP_5|WEEKLY,INDUSTRY,MH_LEVEL_60D_CENTERED,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.059583380789463236,0.22144202505807908,0.16185864426861585
INDUSTRY|MH_LEVEL_60D_CENTERED|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,MH_LEVEL_60D_CENTERED,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.05129825283115208,0.1251022699661648,0.17640052279731688
INDUSTRY|MH_LEVEL_RECENCY_TILT|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_RECENCY_TILT,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.07358990710192947,0.1151483011361567,0.18873820823808618
INDUSTRY|MH_LEVEL_RECENCY_TILT|TOP_2|WEEKLY,INDUSTRY,MH_LEVEL_RECENCY_TILT,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.037518775674455274,0.20569353646908461,0.16817476079462934
INDUSTRY|MH_LEVEL_RECENCY_TILT|TOP_3|WEEKLY,INDUSTRY,MH_LEVEL_RECENCY_TILT,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.046244869623742524,0.2111234827112345,0.16487861308749197
INDUSTRY|MH_LEVEL_RECENCY_TILT|TOP_5|WEEKLY,INDUSTRY,MH_LEVEL_RECENCY_TILT,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.056473182158049307,0.1970286973140829,0.1405555151560336
INDUSTRY|MH_LEVEL_RECENCY_TILT|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,MH_LEVEL_RECENCY_TILT,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.004814116391509193,0.15649482056905129,0.16130893696056048
INDUSTRY|PAIRWISE_MAJORITY_5H|TOP_1|WEEKLY,INDUSTRY,PAIRWISE_MAJORITY_5H,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.028839550584116136,0.20198003301805834,0.1731404824339422
INDUSTRY|PAIRWISE_MAJORITY_5H|TOP_2|WEEKLY,INDUSTRY,PAIRWISE_MAJORITY_5H,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.0408723459271374,0.20427770447710514,0.16340535854996774
INDUSTRY|PAIRWISE_MAJORITY_5H|TOP_3|WEEKLY,INDUSTRY,PAIRWISE_MAJORITY_5H,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.013087102370523906,0.19713834880982772,0.18405124643930382
INDUSTRY|PAIRWISE_MAJORITY_5H|TOP_5|WEEKLY,INDUSTRY,PAIRWISE_MAJORITY_5H,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.007957420330699572,0.19930326429229428,0.1913458439615947
INDUSTRY|PAIRWISE_MAJORITY_5H|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,PAIRWISE_MAJORITY_5H,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.02939646647640326,0.14674743814483082,0.17614390462123408
INDUSTRY|SHORT_RS_1_2_3_EQ|TOP_1|WEEKLY,INDUSTRY,SHORT_RS_1_2_3_EQ,TOP_1,WEEKLY,A3R2_PREDECLARED_NEW_HYPOTHESIS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",-0.12161076621538602,0.07008294807045945,0.19169371428584547
