signal_id,signal_family,governance_class,portfolio_screen_flag,query_display_flag,minimum_formation_sessions,definition,promotion_status_before_a3r2,warning
MH_LEVEL_3_6_12_REFERENCE,MULTI_HORIZON_LEVEL,FROZEN_FROM_A3R1R1,YES,YES,252,Equal mean of within-pool RS percentile ranks at 63 126 and 252 sessions,A3R1_RESEARCH_CANDIDATE,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
MH_LEVEL_EQ,MULTI_HORIZON_LEVEL,FROZEN_FROM_A3R1R1,YES,YES,252,Equal mean of within-pool RS percentile ranks at 21 42 63 126 and 252 sessions,A3R1_RESEARCH_CANDIDATE,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
MH_LEVEL_60D_CENTERED,MULTI_HORIZON_LEVEL,FROZEN_FROM_A3R1R1,YES,YES,252,Weighted within-pool RS ranks 10 25 35 20 10 percent at 21 42 63 126 252 sessions,A3R1_RESEARCH_CANDIDATE,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
MH_LEVEL_RECENCY_TILT,MULTI_HORIZON_LEVEL,FROZEN_FROM_A3R1R1,YES,YES,252,Weighted within-pool RS ranks 30 25 20 15 10 percent at 21 42 63 126 252 sessions,A3R1_RESEARCH_CANDIDATE,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
PAIRWISE_MAJORITY_5H,PAIRWISE_RELATIVE_STRENGTH,FROZEN_FROM_A3R1R1,YES,YES,252,Fraction of contemporaneous pool competitors beaten in at least three of five cumulative horizons,A3R1_RESEARCH_CANDIDATE,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
SHORT_RS_1_2_3_EQ,SHORT_HORIZON_RELATIVE_STRENGTH,A3R2_PREDECLARED_NEW_HYPOTHESIS,YES,YES,63,Equal mean of within-pool percentile ranks at RS21 RS42 and RS63,NEW_A3R2_HYPOTHESIS,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
SHORT_RS_1_2_3_PERSISTENT,SHORT_HORIZON_RELATIVE_STRENGTH,A3R2_PREDECLARED_NEW_HYPOTHESIS,YES,YES,63,SHORT_RS_1_2_3_EQ admitted only when at least two of the latest three non-overlapping monthly relative segments are positive,NEW_A3R2_HYPOTHESIS,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
DISCRETE_RECENT_CONSISTENCY,DISCRETE_PERIOD_CONSISTENCY,FROZEN_FROM_A3R1R1,NO,YES,63,Positive relative segment count for latest three non-overlapping months with RS63 percentile tie-break,WEAK_OR_REGIME_DEPENDENT,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
RRG_TRANSPARENT_LEVEL,TRANSPARENT_RRG_LIKE_STATE,FROZEN_FROM_A3R1R1,NO,YES,126,Mean within-pool percentile rank of RS63 and RS126,WEAK_OR_REGIME_DEPENDENT,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
SHORT_MINUS_LONG_RS,RELATIVE_STRENGTH_ACCELERATION,FROZEN_FROM_A3R1R1,NO,YES,252,Mean RS21 RS42 RS63 rank minus mean RS126 RS252 rank,WEAK_OR_REGIME_DEPENDENT,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
ACCEL_FAST_COMPOSITE,RELATIVE_STRENGTH_ACCELERATION,FROZEN_FROM_A3R1R1,NO,YES,105,Fast rank changes and relative-line slope acceleration displayed descriptively only,REJECTED_NOT_PROMOTABLE,HISTORICAL UK RETAIL ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED
