specification_id,pool_id,signal_id,selection_rule,cadence,test_class,latest_five_year_start,data_cutoff,portfolio_weighting,portfolio_weighting_optimised,warning,universe_view,selected_net_cagr,equal_pool_cagr,selected_net_excess_vs_pool_cagr,selected_vs_unselected_cagr_spread,annual_turnover,percentage_invested
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,0.14211985877603928,0.19049251314477278,-0.0483726543687335,0.02701884506538721,26.34733893171806,1.0
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_2|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,0.10985956094603977,0.19049251314477278,-0.08063295219873301,-0.034587103757459436,19.170596713754538,1.0
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_3|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,0.2066723415627323,0.19049251314477278,0.016179828417959508,0.09766483875790755,14.234504045518612,1.0
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_5|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,0.19995643921477524,0.19049251314477278,0.00946392607000246,0.11114166486103172,10.74139361601281,1.0
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,0.08777922633346846,0.19798031228296242,-0.11020108594949396,-0.04831780210001546,25.785958220943066,0.9082864038616251
INDUSTRY|MH_LEVEL_EQ|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,-0.03287362306055286,0.19049251314477278,-0.22336613620532564,-0.15448717766890163,37.20807406387665,1.0
INDUSTRY|MH_LEVEL_EQ|TOP_2|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,0.14354935038659278,0.19049251314477278,-0.04694316275818,0.02935606316267725,23.18198480680731,1.0
INDUSTRY|MH_LEVEL_EQ|TOP_3|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,0.1704617182052781,0.19049251314477278,-0.020030794939494667,0.06142992601608421,19.66368870701903,1.0
INDUSTRY|MH_LEVEL_EQ|TOP_5|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,0.16767713027090347,0.19049251314477278,-0.022815382873869305,0.0498715741080511,14.407700842104454,1.0
INDUSTRY|MH_LEVEL_EQ|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,MH_LEVEL_EQ,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,0.0348792336479542,0.19049251314477278,-0.15561327949681858,-0.08451391247148554,26.322785490440186,0.8743038981702467
INDUSTRY|MH_LEVEL_60D_CENTERED|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_60D_CENTERED,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,2021-08-23,2026-08-21,EQUAL_AT_MEMBERSHIP_CHANGE,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",DYNAMIC_POINT_IN_TIME,0.08372411130373836,0.19049251314477278,-0.10676840184103442,-0.03397720248747582,29.967583975770925,1.0
