signal_id,frequency_id,forward_horizon_sessions,metric,observation_count,block_length,replications,ci_low,ci_high,confidence_interval_excludes_zero_positive,historical_eligibility_warning
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,IC,287,5,2000,-0.015854302481294703,0.13760097512905026,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,TOP_MINUS_BOTTOM_SPREAD,413,5,2000,0.0007724914973209043,0.015186481113298895,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,42,IC,282,9,2000,-0.004834932891613343,0.20760265717369214,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,42,TOP_MINUS_BOTTOM_SPREAD,402,9,2000,0.0007367960750734409,0.02842648563625265,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,63,IC,276,13,2000,-0.033664128348049306,0.22708133749731008,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,63,TOP_MINUS_BOTTOM_SPREAD,387,13,2000,-0.0009207529978030507,0.041049821690937564,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,MONTH_END,21,IC,64,5,2000,-0.035885881822176134,0.16860947028608866,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,MONTH_END,21,TOP_MINUS_BOTTOM_SPREAD,94,5,2000,-0.0025557128897068597,0.01472798892067806,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,MONTH_END,42,IC,63,5,2000,-0.026350418265749045,0.22642857012483372,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,MONTH_END,42,TOP_MINUS_BOTTOM_SPREAD,91,5,2000,-0.0034728322455691613,0.029723307275123144,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,MONTH_END,63,IC,62,5,2000,-0.04046085825696514,0.2675544240525611,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,MONTH_END,63,TOP_MINUS_BOTTOM_SPREAD,87,5,2000,-0.0037979641959261933,0.043829992178611006,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,WEEKLY_WEDNESDAY,21,IC,280,5,2000,-0.015605829675659473,0.14471094917933913,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,WEEKLY_WEDNESDAY,21,TOP_MINUS_BOTTOM_SPREAD,364,5,2000,-0.0023436534729927533,0.013911154434074764,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,WEEKLY_WEDNESDAY,42,IC,275,9,2000,-0.018429216048543053,0.21151327796750385,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,WEEKLY_WEDNESDAY,42,TOP_MINUS_BOTTOM_SPREAD,357,9,2000,-0.00293741273091908,0.028073928340675267,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,WEEKLY_WEDNESDAY,63,IC,268,13,2000,-0.041345416383836917,0.2309552061876463,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,WEEKLY_WEDNESDAY,63,TOP_MINUS_BOTTOM_SPREAD,348,13,2000,-0.006354625311601111,0.043703500538615436,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
