evaluation_id,signal_id,signal_family,signal_role,registry_class,universe_id,primary_decision_universe,cohort_id,ranking_mode,frequency_id,forward_horizon_sessions,authorised_family_count,scheduled_observation_dates,overlapping_forward_returns,historical_eligibility_warning,status,ic_observation_count,ic_mean,ic_median,ic_standard_deviation,ic_information_ratio,ic_positive_frequency,ic_hac_lag,ic_hac_standard_error,ic_hac_t_statistic,ic_hac_p_value,ic_confidence_interval_low,ic_confidence_interval_high,bh_fdr_q_value,headline_predeclared_test,multiple_testing_family,fdr_survives_q_0_10,spread_mean,spread_median,spread_hac_t_statistic,spread_hac_p_value,mean_monotonicity_score,strict_monotonicity_frequency,benchmark_id,top_rank_vs_cross_section_median_hit_rate,top_rank_vs_equal_weight_hit_rate,top_rank_vs_benchmark_hit_rate,deepvue_used
A3EVAL-3A3F9F7855742AE8,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,1,15,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,713,0.01796121033205122,0.02197802197802204,0.4442424497998261,0.040431098694292886,0.5133239831697055,1,0.016304265788189953,1.1016264433729657,0.2706241072847875,-0.013994563407169643,0.04991698407127208,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.00019087738360973143,2.4172259552013276e-05,0.7982476631268757,0.4247267829998741,0.5105177993527508,0.1779935275080906,GLOBAL_ALL_WORLD,0.43086816720257237,0.4734726688102894,0.5235109717868338,False
A3EVAL-67518A4F22C0B529,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,5,15,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,684,-0.003131029462589922,0.018818681318681287,0.462894308765267,-0.006764026697458625,0.5146198830409356,1,0.01782337021868894,-0.1756698887007822,0.860553292718046,-0.038064193174344035,0.031802134249164185,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,-0.0002218179557586633,-5.3430773820500876e-05,-0.4074684258941283,0.6836639795798601,0.5020938023450586,0.18090452261306533,GLOBAL_ALL_WORLD,0.3986765922249793,0.4640198511166253,0.4771986970684039,False
A3EVAL-56776506CB8E8AFC,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,21,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,595,0.02391303077072409,0.0,0.4553186150499058,0.05251933476979208,0.49747899159663866,4,0.02846921095199188,0.8399611359460945,0.4009301774705366,-0.03188559736345326,0.07971165890490145,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.00046803664294110006,-0.00095694279504434,0.2883529237046695,0.7730765993796422,0.49904580152671757,0.19083969465648856,GLOBAL_ALL_WORLD,0.3996399639963996,0.44014401440144013,0.4777777777777778,False
A3EVAL-AD2B13C6707E451F,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,42,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,493,-0.01710944181992543,-0.01098901098901096,0.4714323319963942,-0.036292465871976494,0.49290060851926976,8,0.03784864110834783,-0.45204903845680733,0.6512336553401963,-0.09129141525606935,0.05707253161621848,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.00028431393259434193,0.00019053149367587348,0.09633864657354266,0.9232516182894562,0.4954128440366973,0.18577981651376146,GLOBAL_ALL_WORLD,0.39677744209466265,0.44410876132930516,0.4421768707482993,False
A3EVAL-8844DC3DD3BD9B22,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,63,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,416,0.027132375609216466,0.04560439560439561,0.4802714784990472,0.05649383072676112,0.5168269230769231,12,0.04225800980000347,0.642064681645614,0.5208311866225045,-0.05569180165713099,0.10995655287556393,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.002342637477516858,0.0033001477704737037,0.5497741145233105,0.5824743152722601,0.5188172043010753,0.22849462365591397,GLOBAL_ALL_WORLD,0.4243421052631579,0.4725877192982456,0.48128342245989303,False
A3EVAL-2D19BFB161450C16,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,126,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,285,0.0323569887711799,-0.024096579867074957,0.4685300904316506,0.06906064184985394,0.4807017543859649,25,0.055862155537504884,0.5792291482460962,0.5624345654718808,-0.07713082418110442,0.14184480172346423,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.004567528302741784,0.004292720992171553,0.537504811053219,0.5909189625824818,0.5202952029520295,0.24723247232472326,GLOBAL_ALL_WORLD,0.4164490861618799,0.46344647519582244,0.4548872180451128,False
A3EVAL-C03F9F797BD6136B,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,1,15,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,166,-0.040566448964620236,-0.02162145900692249,0.4479315786103594,-0.09056394079308175,0.4759036144578313,1,0.0340860729857745,-1.1901179986779429,0.234000016984249,-0.10737392439114192,0.02624102646190145,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,-0.0009809421399610608,-0.0006016698715234805,-1.9547141628706663,0.05061681747965224,0.4479166666666667,0.1388888888888889,GLOBAL_ALL_WORLD,0.3680555555555556,0.4375,0.44,False
A3EVAL-552A36285ADA7BE7,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,5,15,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,159,0.03601361969044157,0.12785098686685262,0.48131601290868753,0.07482323198184114,0.5408805031446541,1,0.03767032465116404,0.9560209534676448,0.3390616484624168,-0.037818859911771315,0.10984609929265446,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.0014389960849386615,0.003347620558390794,1.1824752217204446,0.23701719157716572,0.5452898550724637,0.26811594202898553,GLOBAL_ALL_WORLD,0.38571428571428573,0.44642857142857145,0.4507042253521127,False
A3EVAL-65247C17A2CC73AC,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,21,15,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,139,0.022295335175054668,0.038461538461538464,0.4487576501404345,0.049682351193517375,0.5323741007194245,1,0.03644602904847982,0.6117356473979053,0.5407126727751261,-0.0491375691394664,0.09372823948957573,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.0018822821483086304,0.000635137496594454,0.9893062249620074,0.3225133393256664,0.506198347107438,0.1652892561983471,GLOBAL_ALL_WORLD,0.39299610894941633,0.4357976653696498,0.453125,False
A3EVAL-65A2425F490B6CC7,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,42,15,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,118,-0.03607461648202945,-0.059017521489715646,0.4763276928802818,-0.0757348712267634,0.4830508474576271,1,0.04451455163794293,-0.81040053543481,0.41771001023588383,-0.12332153448034605,0.051172301516287155,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.000878440507976674,0.0025634432544921273,0.2595799370093973,0.7951878139008585,0.5242718446601942,0.2524271844660194,GLOBAL_ALL_WORLD,0.4127659574468085,0.4340425531914894,0.46296296296296297,False
