signal_id,signal_family,registry_class,universe_id,cohort_id,frequency_id,authorised_family_count,scheduled_observation_dates,dates_with_minimum_cross_section,minimum_signal_family_count,median_signal_family_count,mean_signal_family_count,maximum_signal_family_count,first_eligible_date,last_eligible_date,status,historical_eligibility_warning
MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,892,0,7.0,15.238892935178441,38,2005-09-28,2026-08-19,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,210,0,7.0,15.639240506329115,38,2005-09-30,2026-08-21,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,680,0,4.0,9.978878368536053,38,2007-02-28,2026-04-29,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,161,0,5.0,10.572784810126583,38,2007-02-28,2026-08-21,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,524,0,3.0,6.5222141296431175,38,2007-05-30,2026-04-29,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,123,0,3.0,6.7594936708860756,38,2007-05-31,2026-04-30,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,348,0,2.0,4.182811361981063,24,2010-01-06,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,81,0,2.0,4.1645569620253164,24,2009-12-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,348,0,2.0,4.182811361981063,24,2010-01-06,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,81,0,2.0,4.1645569620253164,24,2009-12-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,524,0,3.0,6.477057538237436,38,2007-05-30,2026-04-29,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,123,0,3.0,6.715189873417722,38,2007-05-31,2026-04-30,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,348,0,2.0,4.142753095411508,24,2010-01-06,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,81,0,2.0,4.1234177215189876,24,2009-12-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,524,0,3.0,6.5222141296431175,38,2007-05-30,2026-04-29,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,123,0,3.0,6.7594936708860756,38,2007-05-31,2026-04-30,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,348,0,2.0,4.182811361981063,24,2010-01-06,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,81,0,2.0,4.1645569620253164,24,2009-12-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,524,0,3.0,6.5222141296431175,38,2007-05-30,2026-04-29,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,123,0,3.0,6.7594936708860756,38,2007-05-31,2026-04-30,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,348,0,2.0,4.182811361981063,24,2010-01-06,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,81,0,2.0,4.1645569620253164,24,2009-12-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,348,0,2.0,4.182811361981063,24,2010-01-06,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,81,0,2.0,4.1645569620253164,24,2009-12-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,524,0,3.0,6.5222141296431175,38,2007-05-30,2026-04-29,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,123,0,3.0,6.7594936708860756,38,2007-05-31,2026-04-30,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
RISK_ADJ_MOM_252_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,348,0,2.0,4.182811361981063,24,2010-01-06,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
RISK_ADJ_MOM_252_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,316,81,0,2.0,4.1645569620253164,24,2009-12-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_105,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,567,0,4.0,7.433357611070648,38,2007-05-02,2026-04-29,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_105,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,316,135,0,4.0,7.829113924050633,38,2007-04-30,2026-04-30,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_147,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,478,0,2.0,5.712308812818645,38,2007-07-04,2026-04-29,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_147,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,316,113,0,2.0,5.889240506329114,38,2007-06-29,2026-04-30,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_210,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,383,0,2.0,4.42680262199563,24,2007-09-26,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_210,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,316,89,0,2.0,4.401898734177215,24,2007-09-28,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_294,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,331,0,2.0,3.9832483612527314,22,2010-03-03,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_294,SIMPLE_TOTAL_RETURN_MOMENTUM,SECONDARY_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,316,75,0,2.0,3.9588607594936707,22,2010-03-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_210,ABSOLUTE_MOMENTUM_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,383,0,2.0,4.42680262199563,24,2007-09-26,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_210,ABSOLUTE_MOMENTUM_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,316,89,0,2.0,4.401898734177215,24,2007-09-28,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_294,ABSOLUTE_MOMENTUM_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,331,0,2.0,3.9832483612527314,22,2010-03-03,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_294,ABSOLUTE_MOMENTUM_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,316,75,0,2.0,3.9588607594936707,22,2010-03-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_210,CASH_RELATIVE_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,383,0,2.0,4.42680262199563,24,2007-09-26,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_210,CASH_RELATIVE_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,316,89,0,2.0,4.401898734177215,24,2007-09-28,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_294,CASH_RELATIVE_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,331,0,2.0,3.9832483612527314,22,2010-03-03,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_294,CASH_RELATIVE_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,316,75,0,2.0,3.9588607594936707,22,2010-03-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_210,TOTAL_RETURN_TREND_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,383,0,2.0,4.42680262199563,24,2007-09-26,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_210,TOTAL_RETURN_TREND_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,316,89,0,2.0,4.401898734177215,24,2007-09-28,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_294,TOTAL_RETURN_TREND_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,1373,331,0,2.0,3.9832483612527314,22,2010-03-03,2017-08-23,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_294,TOTAL_RETURN_TREND_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,316,75,0,2.0,3.9588607594936707,22,2010-03-31,2017-07-31,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,1373,716,0,5.0,14.33794610342316,38,2010-03-31,2026-08-19,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,316,168,0,5.0,14.737341772151899,38,2010-03-31,2026-08-21,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,1373,484,0,3.0,9.040058266569556,38,2010-06-02,2026-04-29,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,316,117,0,3.0,9.626582278481013,38,2010-06-30,2026-08-21,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,1373,320,0,0.0,5.533867443554261,38,2011-02-16,2026-04-29,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,316,77,0,0.0,5.762658227848101,38,2011-02-28,2026-04-30,COVERAGE_AVAILABLE,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
