evaluation_id,signal_id,signal_family,signal_role,registry_class,universe_id,primary_decision_universe,cohort_id,ranking_mode,frequency_id,forward_horizon_sessions,authorised_family_count,scheduled_observation_dates,overlapping_forward_returns,historical_eligibility_warning,status,ic_observation_count,ic_mean,ic_median,ic_standard_deviation,ic_information_ratio,ic_positive_frequency,ic_hac_lag,ic_hac_standard_error,ic_hac_t_statistic,ic_hac_p_value,ic_confidence_interval_low,ic_confidence_interval_high,bh_fdr_q_value,headline_predeclared_test,multiple_testing_family,fdr_survives_q_0_10
A3EVAL-321766398C13348D,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,1,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,891,-0.01749138819634674,-0.016068376068376057,0.403190662689869,-0.043382423788422345,0.4837261503928171,1,0.013180607388947548,-1.327054791952452,0.18449055840990858,-0.043324903973046454,0.008342127580352972,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False
A3EVAL-B99CCF90E5B339E4,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,5,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,866,-0.019127007227582087,-0.01887121446918654,0.4151547007799481,-0.04607199964651326,0.48267898383371827,1,0.013969185185439987,-1.3692285536824347,0.17092784313368392,-0.04650610708441494,0.008252092629250762,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False
A3EVAL-B3ED7C39B58AD07D,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,21,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,786,-0.0019628045615338917,0.013390150096531526,0.40447895368034414,-0.004852674147009086,0.5152671755725191,4,0.02086052355436477,-0.09409181684336021,0.9250362207559222,-0.042848679426738326,0.03892307030367054,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False
A3EVAL-96C5EBD7BC842BED,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,42,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,691,-0.02015551180125248,-0.040157566473355936,0.4303083386272421,-0.046839696078286655,0.4602026049204052,8,0.027293390039372603,-0.7384759376602451,0.4602252840104044,-0.07364957329442703,0.03333854969192207,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False
A3EVAL-6AA0E80B3A136AC5,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,63,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,617,0.011779407532491322,0.0,0.4376705117789796,0.026913870629785168,0.4878444084278768,12,0.030611150719924138,0.3848077336349319,0.7003798689238089,-0.048217345403887335,0.07177616046886998,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False
A3EVAL-6E0D6498F887B333,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,126,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,480,0.002113679230057863,-0.024619500860390428,0.4450880705635133,0.00474890110485728,0.47708333333333336,25,0.03997748341494346,0.05287174302892153,0.9578340986915782,-0.07624074845577865,0.08046810691589439,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False
A3EVAL-9E5A894CD9232DD2,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,1,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,208,0.016535215525021643,0.013045426667717686,0.4109593841242824,0.0402356441142151,0.5288461538461539,1,0.02752025286654516,0.6008380666124832,0.547947847138995,-0.03740348893884205,0.07047391998888533,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False
A3EVAL-C719902EA251BE7D,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,5,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,202,0.03153010919268086,0.0642778109830669,0.41116637457235383,0.07668455190547796,0.5693069306930693,1,0.028812528086451607,1.0943194258440352,0.27381490838475697,-0.024941408160313053,0.08800162654567477,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False
A3EVAL-E15F260FD88AF723,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,21,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,181,0.015596947150991993,0.03224276908487434,0.3948727521031381,0.03949866651451852,0.5359116022099447,1,0.029302009874307335,0.5322825027326111,0.5945303489545137,-0.041833936877287425,0.0730278311792714,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False
A3EVAL-CA8A0823C73EE6E5,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,42,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,161,-0.033981437946088974,-0.05172176867865903,0.4372929557236242,-0.07770863331163688,0.4658385093167702,1,0.034328565146870174,-0.9898880946728749,0.3222288192158361,-0.10126418927489146,0.03330131338271351,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False
