signal_id,signal_family,registry_class,universe_id,cohort_id,frequency_id,authorised_family_count,historical_eligibility_warning,date_pair_count,mean_rank_autocorrelation,median_rank_autocorrelation,mean_signal_autocorrelation,average_absolute_rank_change,mean_top_bucket_membership_turnover,mean_top_bucket_duration_observations,median_top_bucket_duration_observations,top_bucket_duration_run_count,status
MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.6663413508208799,0.7338328831504173,0.7144353892515658,0.16147944658789223,0.5398831844484019,2.4926108374384235,2.0,1827,TESTED
MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.010245726462834196,0.01184041184041188,0.001251244807518415,0.31407165985066193,0.8551933910106987,1.2910179640718562,1.0,835,TESTED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8465868090142105,0.8999999999999999,0.8944004577999964,0.09811883829513553,0.348598411619245,4.092669432918395,2.0,723,TESTED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.5775830730050375,0.6440570299265952,0.6322164795561181,0.18815078677764668,0.6216008841008841,1.9917127071823204,1.0,362,TESTED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9089691404188479,0.942857142857143,0.9393956705835568,0.06842931379604306,0.25075532773850084,5.790123456790123,3.0,324,TESTED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7298333730517663,0.824109343702759,0.7804960480623414,0.1346934971762261,0.5142845885770414,2.5919540229885056,2.0,174,TESTED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9502160378519239,0.9731682146542828,0.9751377329377652,0.04684508421239665,0.19119640738857824,8.197080291970803,2.0,137,TESTED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8912442731889019,0.9160828478948662,0.9151933915368223,0.08785335350484651,0.3080952380952381,4.923076923076923,3.0,52,TESTED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9505521864279337,0.9740259740259741,0.9756455520708391,0.04769260803086677,0.1677427554651754,9.28099173553719,3.0,121,TESTED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8725845648487723,0.9266132082123467,0.9059151827411779,0.09218533259865977,0.30846153846153845,4.7407407407407405,3.0,54,TESTED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8099725657079979,0.8843873517786559,0.8528798460509788,0.11199876572918895,0.37898210229941004,3.6569200779727096,2.0,513,TESTED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.4643288449552002,0.5444703390919885,0.5266814598926606,0.20966419800633057,0.6383784454539172,1.9523809523809523,1.0,231,TESTED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.914221908827553,0.9428571428571428,0.9444208893012958,0.06650985841725016,0.2431028639213693,6.136612021857924,2.0,183,TESTED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7759039411752889,0.8174719887955182,0.8311923442880451,0.11913515894245277,0.39666666666666667,3.4594594594594597,2.0,74,TESTED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.796168268582965,0.8819171036881965,0.808264434800205,0.057964730367345736,0.4436397110925414,3.4471153846153846,2.0,208,TESTED
