signal_id,signal_family,classification,criteria_passed,criteria_applicable,criteria_fraction,headline_positive_mean_ic_cells,headline_positive_median_ic_cells,headline_average_mean_ic,headline_fdr_survivor_count,headline_positive_spread_cells,headline_significant_positive_spread_cells,headline_average_monotonicity,core_positive_mean_ic_cells,category_neutral_positive_mean_ic_cells,positive_major_subperiod_count,rank_autocorrelation_21,leader_above_median_probability_21,wrong_economic_direction,criteria_detail_json,historical_eligibility_warning
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,SECONDARY,10,13,0.7692307692307693,6,5,0.08812329656493499,0,6,4,0.5649590765634921,6,2,2,0.7390693980315901,0.867816091954023,False,"[{""applicable"": true, ""criterion_id"": ""C01"", ""description"": ""positive mean IC in at least four of six headline cells"", ""passed"": true, ""value"": 6}, {""applicable"": true, ""criterion_id"": ""C02"", ""description"": ""positive median IC in at least four of six headline cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C03"", ""description"": ""average headline mean IC exceeds 0.01"", ""passed"": true, ""value"": 0.08812329656493499}, {""applicable"": true, ""criterion_id"": ""C04"", ""description"": ""at least one headline IC survives BH FDR q<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C05"", ""description"": ""positive top-minus-bottom spread in at least four of six headline cells"", ""passed"": true, ""value"": 6}, {""applicable"": true, ""criterion_id"": ""C06"", ""description"": ""at least one positive headline spread has HAC p<=0.10"", ""passed"": true, ""value"": 4}, {""applicable"": true, ""criterion_id"": ""C07"", ""description"": ""average quantile monotonicity is at least 0.50"", ""passed"": true, ""value"": 0.5649590765634921}, {""applicable"": true, ""criterion_id"": ""C08"", ""description"": ""CORE-only mean IC is positive in at least four matched cells"", ""passed"": true, ""value"": 6}, {""applicable"": true, ""criterion_id"": ""C09"", ""description"": ""category-neutral mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 2}, {""applicable"": true, ""criterion_id"": ""C10"", ""description"": ""positive 42-session mean IC in at least three of five major subperiods"", ""passed"": false, ""value"": 2}, {""applicable"": true, ""criterion_id"": ""C11"", ""description"": ""positive after US-tech and top-five exclusions"", ""passed"": true, ""value"": {""EX_TOP_FIVE_FULL_PERIOD_FAMILIES"": 0.08348874761054424, ""EX_US_TECHNOLOGY_SEMICONDUCTORS"": 0.08348723660291585}}, {""applicable"": true, ""criterion_id"": ""C12"", ""description"": ""rank autocorrelation >=0.25 or leader-above-median persistence >=0.55"", ""passed"": true, ""value"": {""leader_above_median"": 0.867816091954023, ""rank_autocorrelation"": 0.7390693980315901}}, {""applicable"": true, ""criterion_id"": ""C13"", ""description"": ""declared parameter-neighbourhood stability"", ""passed"": true, ""value"": 1.0}]",HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,SECONDARY,9,13,0.6923076923076923,6,5,0.08400510545168553,0,6,0,0.5149597658387037,6,2,2,0.7462584824241576,0.8826491305304864,False,"[{""applicable"": true, ""criterion_id"": ""C01"", ""description"": ""positive mean IC in at least four of six headline cells"", ""passed"": true, ""value"": 6}, {""applicable"": true, ""criterion_id"": ""C02"", ""description"": ""positive median IC in at least four of six headline cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C03"", ""description"": ""average headline mean IC exceeds 0.01"", ""passed"": true, ""value"": 0.08400510545168553}, {""applicable"": true, ""criterion_id"": ""C04"", ""description"": ""at least one headline IC survives BH FDR q<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C05"", ""description"": ""positive top-minus-bottom spread in at least four of six headline cells"", ""passed"": true, ""value"": 6}, {""applicable"": true, ""criterion_id"": ""C06"", ""description"": ""at least one positive headline spread has HAC p<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C07"", ""description"": ""average quantile monotonicity is at least 0.50"", ""passed"": true, ""value"": 0.5149597658387037}, {""applicable"": true, ""criterion_id"": ""C08"", ""description"": ""CORE-only mean IC is positive in at least four matched cells"", ""passed"": true, ""value"": 6}, {""applicable"": true, ""criterion_id"": ""C09"", ""description"": ""category-neutral mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 2}, {""applicable"": true, ""criterion_id"": ""C10"", ""description"": ""positive 42-session mean IC in at least three of five major subperiods"", ""passed"": false, ""value"": 2}, {""applicable"": true, ""criterion_id"": ""C11"", ""description"": ""positive after US-tech and top-five exclusions"", ""passed"": true, ""value"": {""EX_TOP_FIVE_FULL_PERIOD_FAMILIES"": 0.07997069287492649, ""EX_US_TECHNOLOGY_SEMICONDUCTORS"": 0.08012858384534445}}, {""applicable"": true, ""criterion_id"": ""C12"", ""description"": ""rank autocorrelation >=0.25 or leader-above-median persistence >=0.55"", ""passed"": true, ""value"": {""leader_above_median"": 0.8826491305304864, ""rank_autocorrelation"": 0.7462584824241576}}, {""applicable"": true, ""criterion_id"": ""C13"", ""description"": ""declared parameter-neighbourhood stability"", ""passed"": true, ""value"": 1.0}]",HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,SECONDARY,9,13,0.6923076923076923,6,4,0.035523242965366866,0,4,0,0.5003165989726654,5,2,2,0.6539099028817548,0.8228724908114221,False,"[{""applicable"": true, ""criterion_id"": ""C01"", ""description"": ""positive mean IC in at least four of six headline cells"", ""passed"": true, ""value"": 6}, {""applicable"": true, ""criterion_id"": ""C02"", ""description"": ""positive median IC in at least four of six headline cells"", ""passed"": true, ""value"": 4}, {""applicable"": true, ""criterion_id"": ""C03"", ""description"": ""average headline mean IC exceeds 0.01"", ""passed"": true, ""value"": 0.035523242965366866}, {""applicable"": true, ""criterion_id"": ""C04"", ""description"": ""at least one headline IC survives BH FDR q<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C05"", ""description"": ""positive top-minus-bottom spread in at least four of six headline cells"", ""passed"": true, ""value"": 4}, {""applicable"": true, ""criterion_id"": ""C06"", ""description"": ""at least one positive headline spread has HAC p<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C07"", ""description"": ""average quantile monotonicity is at least 0.50"", ""passed"": true, ""value"": 0.5003165989726654}, {""applicable"": true, ""criterion_id"": ""C08"", ""description"": ""CORE-only mean IC is positive in at least four matched cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C09"", ""description"": ""category-neutral mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 2}, {""applicable"": true, ""criterion_id"": ""C10"", ""description"": ""positive 42-session mean IC in at least three of five major subperiods"", ""passed"": false, ""value"": 2}, {""applicable"": true, ""criterion_id"": ""C11"", ""description"": ""positive after US-tech and top-five exclusions"", ""passed"": true, ""value"": {""EX_TOP_FIVE_FULL_PERIOD_FAMILIES"": 0.04028226889263867, ""EX_US_TECHNOLOGY_SEMICONDUCTORS"": 0.04031627465702245}}, {""applicable"": true, ""criterion_id"": ""C12"", ""description"": ""rank autocorrelation >=0.25 or leader-above-median persistence >=0.55"", ""passed"": true, ""value"": {""leader_above_median"": 0.8228724908114221, ""rank_autocorrelation"": 0.6539099028817548}}, {""applicable"": true, ""criterion_id"": ""C13"", ""description"": ""declared parameter-neighbourhood stability"", ""passed"": true, ""value"": 0.9166666666666666}]",HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
RISK_ADJ_MOM_252_VOL63,RISK_ADJUSTED_MOMENTUM,WEAK,6,12,0.5,4,5,0.01950425352760342,0,4,0,0.5275572586223732,2,0,2,0.8537731289528669,0.9588467968845573,False,"[{""applicable"": true, ""criterion_id"": ""C01"", ""description"": ""positive mean IC in at least four of six headline cells"", ""passed"": true, ""value"": 4}, {""applicable"": true, ""criterion_id"": ""C02"", ""description"": ""positive median IC in at least four of six headline cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C03"", ""description"": ""average headline mean IC exceeds 0.01"", ""passed"": true, ""value"": 0.01950425352760342}, {""applicable"": true, ""criterion_id"": ""C04"", ""description"": ""at least one headline IC survives BH FDR q<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C05"", ""description"": ""positive top-minus-bottom spread in at least four of six headline cells"", ""passed"": true, ""value"": 4}, {""applicable"": true, ""criterion_id"": ""C06"", ""description"": ""at least one positive headline spread has HAC p<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C07"", ""description"": ""average quantile monotonicity is at least 0.50"", ""passed"": true, ""value"": 0.5275572586223732}, {""applicable"": true, ""criterion_id"": ""C08"", ""description"": ""CORE-only mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 2}, {""applicable"": true, ""criterion_id"": ""C09"", ""description"": ""category-neutral mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C10"", ""description"": ""positive 42-session mean IC in at least three of five major subperiods"", ""passed"": false, ""value"": 2}, {""applicable"": false, ""criterion_id"": ""C11"", ""description"": ""positive after US-tech and top-five exclusions"", ""passed"": null, ""value"": ""PENDING_DIAGNOSTIC""}, {""applicable"": true, ""criterion_id"": ""C12"", ""description"": ""rank autocorrelation >=0.25 or leader-above-median persistence >=0.55"", ""passed"": true, ""value"": {""leader_above_median"": 0.9588467968845573, ""rank_autocorrelation"": 0.8537731289528669}}, {""applicable"": true, ""criterion_id"": ""C13"", ""description"": ""declared parameter-neighbourhood stability"", ""passed"": false, ""value"": 0.08333333333333333}]",HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,WEAK,6,12,0.5,4,5,0.006670643048001868,0,6,0,0.5136049305772741,6,2,0,0.7397906736792159,0.9092775894126655,False,"[{""applicable"": true, ""criterion_id"": ""C01"", ""description"": ""positive mean IC in at least four of six headline cells"", ""passed"": true, ""value"": 4}, {""applicable"": true, ""criterion_id"": ""C02"", ""description"": ""positive median IC in at least four of six headline cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C03"", ""description"": ""average headline mean IC exceeds 0.01"", ""passed"": false, ""value"": 0.006670643048001868}, {""applicable"": true, ""criterion_id"": ""C04"", ""description"": ""at least one headline IC survives BH FDR q<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C05"", ""description"": ""positive top-minus-bottom spread in at least four of six headline cells"", ""passed"": true, ""value"": 6}, {""applicable"": true, ""criterion_id"": ""C06"", ""description"": ""at least one positive headline spread has HAC p<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C07"", ""description"": ""average quantile monotonicity is at least 0.50"", ""passed"": true, ""value"": 0.5136049305772741}, {""applicable"": true, ""criterion_id"": ""C08"", ""description"": ""CORE-only mean IC is positive in at least four matched cells"", ""passed"": true, ""value"": 6}, {""applicable"": true, ""criterion_id"": ""C09"", ""description"": ""category-neutral mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 2}, {""applicable"": true, ""criterion_id"": ""C10"", ""description"": ""positive 42-session mean IC in at least three of five major subperiods"", ""passed"": false, ""value"": 0}, {""applicable"": false, ""criterion_id"": ""C11"", ""description"": ""positive after US-tech and top-five exclusions"", ""passed"": null, ""value"": ""PENDING_DIAGNOSTIC""}, {""applicable"": true, ""criterion_id"": ""C12"", ""description"": ""rank autocorrelation >=0.25 or leader-above-median persistence >=0.55"", ""passed"": true, ""value"": {""leader_above_median"": 0.9092775894126655, ""rank_autocorrelation"": 0.7397906736792159}}, {""applicable"": true, ""criterion_id"": ""C13"", ""description"": ""declared parameter-neighbourhood stability"", ""passed"": false, ""value"": 0.08333333333333333}]",HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,WEAK,5,11,0.45454545454545453,3,5,0.003203193224562117,0,4,0,0.5011888647715158,6,0,2,0.8329880731753831,0.9542992941558266,False,"[{""applicable"": true, ""criterion_id"": ""C01"", ""description"": ""positive mean IC in at least four of six headline cells"", ""passed"": false, ""value"": 3}, {""applicable"": true, ""criterion_id"": ""C02"", ""description"": ""positive median IC in at least four of six headline cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C03"", ""description"": ""average headline mean IC exceeds 0.01"", ""passed"": false, ""value"": 0.003203193224562117}, {""applicable"": true, ""criterion_id"": ""C04"", ""description"": ""at least one headline IC survives BH FDR q<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C05"", ""description"": ""positive top-minus-bottom spread in at least four of six headline cells"", ""passed"": true, ""value"": 4}, {""applicable"": true, ""criterion_id"": ""C06"", ""description"": ""at least one positive headline spread has HAC p<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C07"", ""description"": ""average quantile monotonicity is at least 0.50"", ""passed"": true, ""value"": 0.5011888647715158}, {""applicable"": true, ""criterion_id"": ""C08"", ""description"": ""CORE-only mean IC is positive in at least four matched cells"", ""passed"": true, ""value"": 6}, {""applicable"": true, ""criterion_id"": ""C09"", ""description"": ""category-neutral mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C10"", ""description"": ""positive 42-session mean IC in at least three of five major subperiods"", ""passed"": false, ""value"": 2}, {""applicable"": false, ""criterion_id"": ""C11"", ""description"": ""positive after US-tech and top-five exclusions"", ""passed"": null, ""value"": ""PENDING_DIAGNOSTIC""}, {""applicable"": true, ""criterion_id"": ""C12"", ""description"": ""rank autocorrelation >=0.25 or leader-above-median persistence >=0.55"", ""passed"": true, ""value"": {""leader_above_median"": 0.9542992941558266, ""rank_autocorrelation"": 0.8329880731753831}}, {""applicable"": false, ""criterion_id"": ""C13"", ""description"": ""declared parameter-neighbourhood stability"", ""passed"": null, ""value"": ""NOT_APPLICABLE""}]",HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,REJECTED,4,11,0.36363636363636365,1,0,-0.012661661898801893,0,5,0,0.5090020623999142,0,5,0,0.6120120372773173,0.8373950440303093,True,"[{""applicable"": true, ""criterion_id"": ""C01"", ""description"": ""positive mean IC in at least four of six headline cells"", ""passed"": false, ""value"": 1}, {""applicable"": true, ""criterion_id"": ""C02"", ""description"": ""positive median IC in at least four of six headline cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C03"", ""description"": ""average headline mean IC exceeds 0.01"", ""passed"": false, ""value"": -0.012661661898801893}, {""applicable"": true, ""criterion_id"": ""C04"", ""description"": ""at least one headline IC survives BH FDR q<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C05"", ""description"": ""positive top-minus-bottom spread in at least four of six headline cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C06"", ""description"": ""at least one positive headline spread has HAC p<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C07"", ""description"": ""average quantile monotonicity is at least 0.50"", ""passed"": true, ""value"": 0.5090020623999142}, {""applicable"": true, ""criterion_id"": ""C08"", ""description"": ""CORE-only mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C09"", ""description"": ""category-neutral mean IC is positive in at least four matched cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C10"", ""description"": ""positive 42-session mean IC in at least three of five major subperiods"", ""passed"": false, ""value"": 0}, {""applicable"": false, ""criterion_id"": ""C11"", ""description"": ""positive after US-tech and top-five exclusions"", ""passed"": null, ""value"": ""PENDING_DIAGNOSTIC""}, {""applicable"": true, ""criterion_id"": ""C12"", ""description"": ""rank autocorrelation >=0.25 or leader-above-median persistence >=0.55"", ""passed"": true, ""value"": {""leader_above_median"": 0.8373950440303093, ""rank_autocorrelation"": 0.6120120372773173}}, {""applicable"": false, ""criterion_id"": ""C13"", ""description"": ""declared parameter-neighbourhood stability"", ""passed"": null, ""value"": ""NOT_APPLICABLE""}]",HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,REJECTED,4,11,0.36363636363636365,1,0,-0.01662878743308951,0,5,0,0.510482241411845,0,5,0,0.5985257684994925,0.8121155435181785,True,"[{""applicable"": true, ""criterion_id"": ""C01"", ""description"": ""positive mean IC in at least four of six headline cells"", ""passed"": false, ""value"": 1}, {""applicable"": true, ""criterion_id"": ""C02"", ""description"": ""positive median IC in at least four of six headline cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C03"", ""description"": ""average headline mean IC exceeds 0.01"", ""passed"": false, ""value"": -0.01662878743308951}, {""applicable"": true, ""criterion_id"": ""C04"", ""description"": ""at least one headline IC survives BH FDR q<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C05"", ""description"": ""positive top-minus-bottom spread in at least four of six headline cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C06"", ""description"": ""at least one positive headline spread has HAC p<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C07"", ""description"": ""average quantile monotonicity is at least 0.50"", ""passed"": true, ""value"": 0.510482241411845}, {""applicable"": true, ""criterion_id"": ""C08"", ""description"": ""CORE-only mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C09"", ""description"": ""category-neutral mean IC is positive in at least four matched cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C10"", ""description"": ""positive 42-session mean IC in at least three of five major subperiods"", ""passed"": false, ""value"": 0}, {""applicable"": false, ""criterion_id"": ""C11"", ""description"": ""positive after US-tech and top-five exclusions"", ""passed"": null, ""value"": ""PENDING_DIAGNOSTIC""}, {""applicable"": true, ""criterion_id"": ""C12"", ""description"": ""rank autocorrelation >=0.25 or leader-above-median persistence >=0.55"", ""passed"": true, ""value"": {""leader_above_median"": 0.8121155435181785, ""rank_autocorrelation"": 0.5985257684994925}}, {""applicable"": false, ""criterion_id"": ""C13"", ""description"": ""declared parameter-neighbourhood stability"", ""passed"": null, ""value"": ""NOT_APPLICABLE""}]",HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,REJECTED,4,12,0.3333333333333333,0,0,-0.042343833684031496,0,5,0,0.5070904671261314,0,5,0,0.7474453591290712,0.9056699702360986,True,"[{""applicable"": true, ""criterion_id"": ""C01"", ""description"": ""positive mean IC in at least four of six headline cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C02"", ""description"": ""positive median IC in at least four of six headline cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C03"", ""description"": ""average headline mean IC exceeds 0.01"", ""passed"": false, ""value"": -0.042343833684031496}, {""applicable"": true, ""criterion_id"": ""C04"", ""description"": ""at least one headline IC survives BH FDR q<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C05"", ""description"": ""positive top-minus-bottom spread in at least four of six headline cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C06"", ""description"": ""at least one positive headline spread has HAC p<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C07"", ""description"": ""average quantile monotonicity is at least 0.50"", ""passed"": true, ""value"": 0.5070904671261314}, {""applicable"": true, ""criterion_id"": ""C08"", ""description"": ""CORE-only mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C09"", ""description"": ""category-neutral mean IC is positive in at least four matched cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C10"", ""description"": ""positive 42-session mean IC in at least three of five major subperiods"", ""passed"": false, ""value"": 0}, {""applicable"": false, ""criterion_id"": ""C11"", ""description"": ""positive after US-tech and top-five exclusions"", ""passed"": null, ""value"": ""PENDING_DIAGNOSTIC""}, {""applicable"": true, ""criterion_id"": ""C12"", ""description"": ""rank autocorrelation >=0.25 or leader-above-median persistence >=0.55"", ""passed"": true, ""value"": {""leader_above_median"": 0.9056699702360986, ""rank_autocorrelation"": 0.7474453591290712}}, {""applicable"": true, ""criterion_id"": ""C13"", ""description"": ""declared parameter-neighbourhood stability"", ""passed"": false, ""value"": 0.0}]",HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,REJECTED,4,12,0.3333333333333333,0,1,-0.046504554011978165,0,5,0,0.5090438977864481,0,5,0,0.7150473795350702,0.8864167551088207,True,"[{""applicable"": true, ""criterion_id"": ""C01"", ""description"": ""positive mean IC in at least four of six headline cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C02"", ""description"": ""positive median IC in at least four of six headline cells"", ""passed"": false, ""value"": 1}, {""applicable"": true, ""criterion_id"": ""C03"", ""description"": ""average headline mean IC exceeds 0.01"", ""passed"": false, ""value"": -0.046504554011978165}, {""applicable"": true, ""criterion_id"": ""C04"", ""description"": ""at least one headline IC survives BH FDR q<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C05"", ""description"": ""positive top-minus-bottom spread in at least four of six headline cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C06"", ""description"": ""at least one positive headline spread has HAC p<=0.10"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C07"", ""description"": ""average quantile monotonicity is at least 0.50"", ""passed"": true, ""value"": 0.5090438977864481}, {""applicable"": true, ""criterion_id"": ""C08"", ""description"": ""CORE-only mean IC is positive in at least four matched cells"", ""passed"": false, ""value"": 0}, {""applicable"": true, ""criterion_id"": ""C09"", ""description"": ""category-neutral mean IC is positive in at least four matched cells"", ""passed"": true, ""value"": 5}, {""applicable"": true, ""criterion_id"": ""C10"", ""description"": ""positive 42-session mean IC in at least three of five major subperiods"", ""passed"": false, ""value"": 0}, {""applicable"": false, ""criterion_id"": ""C11"", ""description"": ""positive after US-tech and top-five exclusions"", ""passed"": null, ""value"": ""PENDING_DIAGNOSTIC""}, {""applicable"": true, ""criterion_id"": ""C12"", ""description"": ""rank autocorrelation >=0.25 or leader-above-median persistence >=0.55"", ""passed"": true, ""value"": {""leader_above_median"": 0.8864167551088207, ""rank_autocorrelation"": 0.7150473795350702}}, {""applicable"": true, ""criterion_id"": ""C13"", ""description"": ""declared parameter-neighbourhood stability"", ""passed"": false, ""value"": 0.0}]",HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
