registry_order,signal_id,signal_family,role,registry_class,lookback_sessions,skip_sessions,volatility_window_sessions,components,central_signal_id,formula,definition_hash,predeclared,portfolio_rule,deepvue_used,historical_eligibility_warning
1,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,21.0,,,,,"TR(t-21,t)",8590cf8e502af80da48f3b66d73e205b4bbd96e1e39128f8c731f76b0caf6e56,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
2,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,63.0,,,,,"TR(t-63,t)",8a12268d5ba4f9e0b15b5792cb6ef396ef2c2bc50fbb76089e45bbad66eaa4c6,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
3,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,126.0,,,,,"TR(t-126,t)",7c5e76adfa4c4b175bea6e5df85ffba268f975fc8932cad63c93f125ce3484c9,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
4,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,252.0,,,,,"TR(t-252,t)",8defd0a23da1d7c3d9b9b504329a9a8e615584d8e91b6166b23c3b306de6374a,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
5,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,252.0,21.0,,,,"TR(t-252,t-21); all 252 sessions must be valid",4ab0bf546fdac8829bbb2394ef66a4d0fe0fbfacc61e0f3270ba7868a36f3565,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
6,MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,CONTINUOUS_RANK,PRIMARY,,,,MOM_21;MOM_63;MOM_126,,equal mean of date-level within-peer winsorised z-scores,948ff211107c0ce499f94e82a2a3c8637fa5b19ebefbd216dee4d41110701479,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
7,MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,CONTINUOUS_RANK,PRIMARY,,,,MOM_63;MOM_126;MOM_252,,equal mean of date-level within-peer winsorised z-scores,f83809ad0b51d7f52e58c1e60b794ee64ccc925ffe01c5f28d7d85c2ac75f220,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
8,ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,BINARY_QUALIFICATION,PRIMARY,126.0,,,,,1 if MOM_126 > 0 else 0,818199ff7fab00735cfbb386168ed3116baebac75b8be55ee94410b334c3b7b3,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
9,ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,BINARY_QUALIFICATION,PRIMARY,252.0,,,,,1 if MOM_252 > 0 else 0,a6fc6c21abea23a8761122b2f674beb684d5e48b601ec511120e7106d5fb1a4c,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
10,ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,BINARY_QUALIFICATION,PRIMARY,126.0,,,,,1 if MOM_126 exceeds contemporaneous 126-session A2 actual-GBP-cash return else 0,97d98a4b36d75f0ca7e9449cf88dfefe9cb4bb14e7c9917ef1ae792d2d29f2d7,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
11,ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,BINARY_QUALIFICATION,PRIMARY,252.0,,,,,1 if MOM_252 exceeds contemporaneous 252-session A2 actual-GBP-cash return else 0,0665375df65f66a1e0ea0c1b9f229228268f3fe31abac28d850395ee7d12c517,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
12,TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,BINARY_QUALIFICATION,PRIMARY,252.0,,,,,1 if total-return wealth index exceeds its trailing 252-session simple moving average else 0,d0606a767c742d68c449713a9d1334140fa840dfd01472d86113c2ab9600c465,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
13,RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,CONTINUOUS_RANK,PRIMARY,126.0,,63.0,,,MOM_126 divided by annualised 63-session realised volatility,b9ed797571d9d0fb4519ec97ad37dfb1e401c9b35bb4de74c74daba228b87efc,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
14,RISK_ADJ_MOM_252_VOL63,RISK_ADJUSTED_MOMENTUM,CONTINUOUS_RANK,PRIMARY,252.0,,63.0,,,MOM_252 divided by annualised 63-session realised volatility,05f51c7300e5f6e0bf16f1d6e99adcd287106035c77877be56743ae250c2df38,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
