evaluation_id,signal_id,signal_family,signal_role,registry_class,universe_id,primary_decision_universe,cohort_id,ranking_mode,frequency_id,forward_horizon_sessions,authorised_family_count,scheduled_observation_dates,overlapping_forward_returns,historical_eligibility_warning,status,spread_observation_count,spread_mean,spread_median,spread_standard_deviation,spread_information_ratio,spread_positive_frequency,spread_hac_lag,spread_hac_standard_error,spread_hac_t_statistic,spread_hac_p_value,spread_confidence_interval_low,spread_confidence_interval_high,mean_monotonicity_score,strict_monotonicity_frequency,benchmark_id
A3EVAL-321766398C13348D,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,1,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,778,-0.00032324886899007927,-0.0005121039917776737,0.008556182106878741,-0.037779568615095675,0.4704370179948586,1,0.0002989147700758173,-1.081408151588126,0.2795155972045753,-0.0009091110527857522,0.0002626133148055937,0.49710796915167094,0.060411311053984576,GLOBAL_ALL_WORLD
A3EVAL-B99CCF90E5B339E4,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,5,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,755,-0.0011764463829197064,-0.0004605874289840674,0.019413069151132615,-0.060600741374841754,0.49271523178807947,1,0.0006910680519741538,-1.7023596729135235,0.08868796485764131,-0.002530914875655302,0.00017802210981588914,0.4814569536423841,0.07019867549668875,GLOBAL_ALL_WORLD
A3EVAL-B3ED7C39B58AD07D,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,21,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,684,-0.001366366244949759,0.0003775511462053103,0.034036725267989745,-0.04014388088723608,0.5043859649122807,4,0.001864303051831413,-0.732909943803127,0.46361335782326196,-0.005020333082807438,0.0022876005929079197,0.4992690058479532,0.08187134502923976,GLOBAL_ALL_WORLD
A3EVAL-96C5EBD7BC842BED,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,42,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,596,-0.00032295932489585257,-0.0017151514559816,0.04898639331225767,-0.006592837379089915,0.4848993288590604,8,0.0035449604204724873,-0.09110378864337425,0.9274101222625584,-0.007270954075641894,0.006625035425850189,0.49242424242424243,0.09090909090909091,GLOBAL_ALL_WORLD
A3EVAL-6AA0E80B3A136AC5,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,63,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,527,0.004511551189943864,0.0020119262949329954,0.06176851874653482,0.07303965323269081,0.50853889943074,12,0.004996528607798567,0.9029371277695176,0.366559264262729,-0.005281464929065384,0.014304567308953114,0.5223809523809524,0.10666666666666667,GLOBAL_ALL_WORLD
A3EVAL-6E0D6498F887B333,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,126,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,420,0.007811328664908302,0.005988759314702153,0.0908134993439238,0.08601506077114897,0.530952380952381,25,0.008410279217588575,0.9287835115595596,0.3530012911401976,-0.00867251570149101,0.024295173031307613,0.5283132530120482,0.13012048192771083,GLOBAL_ALL_WORLD
A3EVAL-9E5A894CD9232DD2,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,1,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,181,3.6339942372201634e-05,0.0002028022747214489,0.009436714027688496,0.0038509106311344935,0.5082872928176796,1,0.0006682014284284934,0.054384712193249224,0.95662865873082,-0.0012733107917658642,0.0013459906765102673,0.4861878453038674,0.055248618784530384,GLOBAL_ALL_WORLD
A3EVAL-C719902EA251BE7D,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,5,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,175,0.0018609966130998339,0.002810155737865923,0.019604123267915795,0.09492883653438101,0.5885714285714285,1,0.001482392153308683,1.2554010144657808,0.20933322127096343,-0.001044438618349963,0.0047664318445496305,0.5185714285714286,0.05142857142857143,GLOBAL_ALL_WORLD
A3EVAL-E15F260FD88AF723,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,21,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,159,0.0006492604899130992,0.0013881385902444927,0.03210780172575645,0.02022126881991647,0.5157232704402516,1,0.0026757993213349365,0.24264169765510962,0.8082829762435172,-0.004595209809760095,0.005893730789586294,0.5031446540880503,0.09433962264150944,GLOBAL_ALL_WORLD
A3EVAL-CA8A0823C73EE6E5,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,42,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,141,0.00028142798351174936,-0.005167498647195444,0.04808336220272611,0.005852918153377254,0.4397163120567376,1,0.0042248577880917345,0.0666124157610672,0.9468902613531167,-0.007999141120951604,0.008561997087975105,0.4785714285714286,0.09285714285714286,GLOBAL_ALL_WORLD
A3EVAL-9FC7A40FD30E2D14,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,63,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,126,0.005464606234034495,-0.0008933671696315388,0.05564845011189431,0.09819871394525127,0.49206349206349204,2,0.0051034529489464376,1.0707664572792064,0.2842744525235461,-0.004537977742695253,0.015467190210764243,0.54,0.128,GLOBAL_ALL_WORLD
A3EVAL-F77F23CD1DD3C4D3,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,126,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,100,0.007126042258064407,0.009584436288099435,0.08448241089040685,0.0843494188075258,0.58,5,0.010422953336645228,0.6836874375145214,0.49417255786125347,-0.013302570894301827,0.027554655410430638,0.5303030303030303,0.12121212121212122,GLOBAL_ALL_WORLD
A3EVAL-029D69CF1877672B,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,1,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,560,-0.0002181125790035316,-1.9873368262825295e-05,0.008683708920364524,-0.025117444746682697,0.49642857142857144,1,0.00034827357583675455,-0.6262679517947897,0.531139203395663,-0.0009007162444105497,0.00046449108640348656,0.4928571428571429,0.09821428571428571,GLOBAL_ALL_WORLD
A3EVAL-D4656289CDB1C58F,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,5,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,546,-7.145190193799138e-05,-0.00015087985978527838,0.02013295720698007,-0.0035490018283662324,0.48717948717948717,1,0.0008161619791764932,-0.08754622704930005,0.9302373425840351,-0.0016710999866748476,0.0015281961827988647,0.50503663003663,0.10073260073260074,GLOBAL_ALL_WORLD
A3EVAL-80A8B598BFD30E75,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,21,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,502,0.002121859242993462,0.0015457573626610948,0.034075798594867354,0.06226880456187066,0.5219123505976095,4,0.0024193321103342163,0.8770433930628647,0.3804630692520613,-0.0026199445599028866,0.00686366304588981,0.5224550898203593,0.13572854291417166,GLOBAL_ALL_WORLD
A3EVAL-28A3FF625DEDE455,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,42,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,468,0.00176036749432441,-0.0043220454652194845,0.0535334410475744,0.03288351093963859,0.45726495726495725,8,0.005181773568913961,0.33972296761191023,0.7340651637292241,-0.008395722076788533,0.011916457065437354,0.5112419700214133,0.14989293361884368,GLOBAL_ALL_WORLD
A3EVAL-812D202571F25DC7,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,63,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,433,-0.00037377082250075007,-0.0012118752548785083,0.06277256624707478,-0.005954365813715126,0.49191685912240185,12,0.00722891705222227,-0.051704953840333204,0.9587637899280052,-0.014542187892083853,0.013794646247082352,0.5127314814814815,0.13194444444444445,GLOBAL_ALL_WORLD
A3EVAL-42941C824437623A,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,126,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,349,0.002078098785891031,0.0048778594060138875,0.08819568391294419,0.02356236375401626,0.5300859598853869,25,0.013119939194478394,0.1583924098341562,0.8741475943576806,-0.023636509514642072,0.02779270708642413,0.541907514450867,0.14450867052023122,GLOBAL_ALL_WORLD
A3EVAL-F7A6D21112D0A9D5,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,1,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,132,4.328940019591283e-05,-7.801592894651288e-05,0.010507060472753172,0.004120029603728899,0.49242424242424243,1,0.0009164849499852726,0.04723416374334185,0.9623265991693782,-0.0017529880941482142,0.0018395668945400399,0.5018939393939394,0.12121212121212122,GLOBAL_ALL_WORLD
A3EVAL-0B25BD891ECC6072,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,5,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,126,0.002901537004787465,0.001637977503309478,0.019771846779476857,0.14675093516298415,0.5714285714285714,1,0.0016457260116373264,1.7630741595320216,0.0778879828031804,-0.0003240267064424404,0.00612710071601737,0.5376984126984127,0.11904761904761904,GLOBAL_ALL_WORLD
A3EVAL-B2D5AAA2BB5208F1,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,21,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,120,0.005296166153426138,0.004248843083428729,0.03717584036238692,0.14246258058458294,0.5583333333333333,1,0.003549973068255912,1.491889107775154,0.13572821857758988,-0.0016616532064426008,0.012253985513294877,0.5145833333333333,0.13333333333333333,GLOBAL_ALL_WORLD
A3EVAL-0F01EAEAEF43DF69,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,42,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,111,0.00434916938995614,0.0011686854260184454,0.04903786039725007,0.0886900316352308,0.5045045045045045,1,0.005410446906544827,0.8038466073283342,0.421485568946643,-0.006255111687137868,0.014953450467050149,0.5112612612612613,0.12612612612612611,GLOBAL_ALL_WORLD
A3EVAL-87406158DDEB86C6,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,63,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,103,-0.0006962333084413019,-0.0043446518048186385,0.05764291548962006,-0.012078384698752352,0.46601941747572817,2,0.00755975955475413,-0.09209728211573336,0.9266207478340257,-0.015513089767541951,0.014120623150659348,0.49029126213592233,0.11650485436893204,GLOBAL_ALL_WORLD
A3EVAL-8961302D1625FA13,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,126,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,80,0.003817675524479898,-0.0028773384993424304,0.08718763820587858,0.04378689001146143,0.4875,5,0.013899302274212013,0.2746667026274405,0.7835723150202117,-0.023424456343211317,0.03105980739217111,0.5576923076923077,0.19230769230769232,GLOBAL_ALL_WORLD
A3EVAL-760FE287B4FECF7F,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,1,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,405,-0.0004471072954053169,-0.00022074064166005514,0.008846892133129109,-0.05053834597248298,0.48641975308641977,1,0.00042830280170566836,-1.0439046712390434,0.2965294967848271,-0.0012865653612260273,0.0003923507704153935,0.48950617283950615,0.0691358024691358,GLOBAL_ALL_WORLD
A3EVAL-E9246792F84B84D6,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,5,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,397,-0.0005563762949687151,-0.0009742088154583045,0.020825129889334135,-0.026716582221831448,0.4811083123425693,1,0.000947550924349124,-0.5871729747410588,0.5570875408608258,-0.0024135419802106353,0.0013007893902732054,0.4987405541561713,0.12342569269521411,GLOBAL_ALL_WORLD
A3EVAL-E8C33AF0EAF402A4,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,21,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,369,-0.0002668033896727569,-0.0004909522286200342,0.03456804646773722,-0.007718208488343933,0.4878048780487805,4,0.002789191188829872,-0.09565618547098842,0.9237936401908109,-0.005733517665775764,0.00519991088643025,0.49525745257452575,0.10569105691056911,GLOBAL_ALL_WORLD
A3EVAL-037741AD9CE00AE1,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,42,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,335,0.004211419672432659,0.0033625636487594965,0.04700256623912706,0.08959978165887639,0.5343283582089552,8,0.005137787774079907,0.8196951407139145,0.4123899208549169,-0.005858459324974171,0.014281298669839489,0.5291044776119403,0.14029850746268657,GLOBAL_ALL_WORLD
A3EVAL-61DF9B9A441EA24B,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,63,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,322,0.006061752703031829,0.00525781730963257,0.05401395434740256,0.11222567901702477,0.5559006211180124,12,0.007165003958310199,0.8460222406438751,0.3975403372490218,-0.007981397004343088,0.020104902410406744,0.5194099378881988,0.11180124223602485,GLOBAL_ALL_WORLD
A3EVAL-8031DA6BC333DA52,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,126,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,309,0.0038566858627361897,0.008161144309883184,0.07431540277438671,0.05189618462332309,0.5566343042071198,25,0.013707583436542218,0.28135417745879876,0.7784387601608372,-0.023009683987964342,0.030723055713436722,0.558252427184466,0.13592233009708737,GLOBAL_ALL_WORLD
A3EVAL-18FC2D324207EAE9,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,1,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,96,-0.0016952277646219236,-0.0008049022936802763,0.01065797719731796,-0.15905717691425736,0.4479166666666667,1,0.0010417365232706145,-1.6273095228528818,0.10367137641169058,-0.0037369938316123,0.0003465383023684527,0.4583333333333333,0.07291666666666667,GLOBAL_ALL_WORLD
A3EVAL-2E463D8EAAF82900,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,5,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,91,-0.0016400993433702288,-0.002222261381655906,0.017613997728547815,-0.09311340722566601,0.46153846153846156,1,0.00174605900620225,-0.9393149587410062,0.347569060646705,-0.005062312110408438,0.0017821134236679801,0.5082417582417582,0.08791208791208792,GLOBAL_ALL_WORLD
