module_id,net_cagr,maximum_drawdown,calmar_mar,ulcer_index,ulcer_performance_index,maximum_time_underwater_calendar_days,percentage_positive_rolling_12m,log_equity_curve_r2,log_equity_trend_standard_error,frequency_of_new_equity_highs,median_calendar_days_between_equity_highs,percentage_days_underwater,warning
REGIME_BINARY_WEEKLY,0.09199640961491196,-0.34777694338095,0.2645270520827494,0.19751569533208183,0.4657675910779597,1434,0.6041666666666666,0.2457810085971578,0.1815917981313683,0.02786624203821656,3.0,0.9721337579617835,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_GRADUAL_WEEKLY,0.0743059579304941,-0.31513043869776947,0.23579428962036364,0.13763994777174604,0.5398574987380751,835,0.6666666666666666,0.44668885853566176,0.10716437609950538,0.025477707006369428,3.0,0.9745222929936306,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_GRADUAL_HOSTILE25_WEEKLY,0.11247293764063726,-0.31512780178515987,0.35691213851488834,0.11176253014314201,1.006356401350125,579,0.75,0.6892477190407602,0.09644887042443699,0.03662420382165605,3.0,0.9633757961783439,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_BINARY_MONTHLY,0.18915766579395177,-0.3089820359281441,0.6121963214649206,0.12938680298187474,1.4619548627416823,553,0.7291666666666666,0.6789843233241502,0.16011879143533114,0.05732484076433121,3.0,0.9426751592356688,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_GRADUAL_MONTHLY,0.20311756897416822,-0.2785526904946235,0.7291890400106859,0.09923456782106888,2.046842883826653,335,0.8333333333333334,0.7747275432441116,0.12933629946477576,0.06528662420382166,3.0,0.9347133757961783,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_GRADUAL_HOSTILE25_MONTHLY,0.21859503853106532,-0.27855233847148675,0.7847539163755439,0.09379566543744468,2.3305452070901223,334,0.875,0.8005068625516866,0.1265873771537782,0.06687898089171974,3.0,0.9331210191082803,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_BASELINE,0.24861332935426628,-0.3089820359281441,0.8046206589566359,0.12310704207255986,2.0194890980138442,524,0.7916666666666666,0.764531716223947,0.15856212027217464,0.07165605095541401,3.0,0.928343949044586,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_SCALE_IN_ONLY,0.26802809741997624,-0.308982035928144,0.8674552765336433,0.11803715230852159,2.2707096213183227,509,0.8333333333333334,0.7816905566689653,0.16452222657137527,0.07722929936305732,3.0,0.9227707006369427,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_EXIT_ONLY_NOT_RUN,0.24861332935426628,-0.3089820359281441,0.8046206589566359,0.12310704207255986,2.0194890980138442,524,0.7916666666666666,0.764531716223947,0.15856212027217464,0.07165605095541401,3.0,0.928343949044586,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_PROFIT_HARVEST_ONLY,0.23589071121740512,-0.284965770631614,0.8277861256619131,0.11289206804885131,2.089524226939745,524,0.7916666666666666,0.7847164992688219,0.1425392825980782,0.07722929936305732,3.0,0.9227707006369427,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_REGIME_ONLY,0.24861332935426628,-0.3089820359281441,0.8046206589566359,0.12310704207255986,2.0194890980138442,524,0.7916666666666666,0.764531716223947,0.15856212027217464,0.07165605095541401,3.0,0.928343949044586,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_SCALE_IN_PLUS_EXIT_NOT_RUN,0.26802809741997624,-0.308982035928144,0.8674552765336433,0.11803715230852159,2.2707096213183227,509,0.8333333333333334,0.7816905566689653,0.16452222657137527,0.07722929936305732,3.0,0.9227707006369427,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_LIFECYCLE_PLUS_REGIME,0.26802809741997624,-0.308982035928144,0.8674552765336433,0.11803715230852159,2.2707096213183227,509,0.8333333333333334,0.7816905566689653,0.16452222657137527,0.07722929936305732,3.0,0.9227707006369427,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FULL_CONTROLLED_COMBINATION,0.26802809741997624,-0.308982035928144,0.8674552765336433,0.11803715230852159,2.2707096213183227,509,0.8333333333333334,0.7816905566689653,0.16452222657137527,0.07722929936305732,3.0,0.9227707006369427,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
