module_id,partial_reduction_events,aggregate_avoided_downside,aggregate_foregone_upside,aggregate_incremental_cost,aggregate_net_monetisation_value,warning
EXIT_FAST_TAPER_MONTHLY,14,0.09381718279340276,0.22098632961124326,0.00922344,-0.1363925868178405,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,59,0.2701975516061496,0.9809170216429186,0.05794164,-0.7686611100367691,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_MFE_GIVEBACK_LOCK_MONTHLY,4,0.04822671882658369,0.6618419496103587,0.008063840000000001,-0.621679070783775,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_MFE_GIVEBACK_LOCK_WEEKLY,15,0.10179735043872301,1.0412607037150858,0.029239400000000002,-0.9687027532763628,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_HARVEST_MONTHLY,4,0.05445948445614279,0.08383657527273725,0.00206384,-0.03144093081659445,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_HARVEST_WEEKLY,4,0.03843618373897839,0.11082634127546115,0.00206384,-0.07445399753648274,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_PLUS_DECELERATION_MONTHLY,4,0.05445948445614279,0.08383657527273725,0.00206384,-0.03144093081659445,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_PLUS_DECELERATION_WEEKLY,4,0.03843618373897839,0.11409827654114102,0.00206384,-0.07772593280216261,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_MONTHLY,3,0.018867311101394252,0.12495842362108056,0.0025478799999999998,-0.10863899251968633,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,14,0.10378499497915572,0.14705173384572318,0.00972344,-0.052990178866567456,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_MONTHLY,1,0.013631988459395061,0.0,0.00051596,0.013116028459395062,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_WEEKLY,3,0.012617893526137736,0.026346356566863294,0.00154788,-0.015276343040725556,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
