module_id,review_date,action_type,family,from_weight,to_weight,leadership_state,reason,position_return,mfe,mae,giveback_ratio
SCALE_IN_STARTER_A_WEEKLY,2022-06-10,STARTER_OPEN,CHINA_INTERNET,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-06-17,NONE,CHINA_INTERNET,0.25,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-06-24,NONE,CHINA_INTERNET,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-06-30,NONE,CHINA_INTERNET,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-07-01,NONE,CHINA_INTERNET,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-07-08,NONE,CHINA_INTERNET,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-07-15,STARTER_FAILED,CHINA_INTERNET,0.5,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-11-11,STARTER_OPEN,GLOBAL_GOLD_MINERS,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-11-18,NONE,GLOBAL_GOLD_MINERS,0.25,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-11-25,STARTER_FAILED,GLOBAL_GOLD_MINERS,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-11-30,STARTER_OPEN,GLOBAL_GOLD_MINERS,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-12-02,NONE,GLOBAL_GOLD_MINERS,0.25,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-12-09,NONE,GLOBAL_GOLD_MINERS,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-12-16,NONE,GLOBAL_GOLD_MINERS,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-12-23,NONE,GLOBAL_GOLD_MINERS,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2022-12-30,NONE,GLOBAL_GOLD_MINERS,0.5,0.75,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-01-06,NONE,GLOBAL_GOLD_MINERS,0.75,0.75,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-01-13,NONE,GLOBAL_GOLD_MINERS,0.75,1.0,EXTENDED,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-01-20,NONE,GLOBAL_GOLD_MINERS,1.0,0.75,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-01-27,NONE,GLOBAL_GOLD_MINERS,0.75,0.75,OTHER,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-01-31,NONE,GLOBAL_GOLD_MINERS,0.75,0.75,OTHER,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-02-03,NONE,GLOBAL_GOLD_MINERS,0.75,0.75,WEAKENING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-02-10,STARTER_FAILED,GLOBAL_GOLD_MINERS,0.75,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-07-28,STARTER_OPEN,CHINA_INTERNET,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-07-31,NONE,CHINA_INTERNET,0.25,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-08-04,STARTER_FAILED,CHINA_INTERNET,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-12-01,STARTER_OPEN,GLOBAL_SILVER_MINERS,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2023-12-08,STARTER_FAILED,GLOBAL_SILVER_MINERS,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-05-10,STARTER_OPEN,CHINA_INTERNET,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-05-17,NONE,CHINA_INTERNET,0.25,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-05-24,STARTER_FAILED,CHINA_INTERNET,0.5,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-07-19,STARTER_OPEN,GLOBAL_GENOMICS,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-07-26,NONE,GLOBAL_GENOMICS,0.25,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-07-31,STARTER_OPEN,GLOBAL_GENOMICS,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-08-02,STARTER_FAILED,GLOBAL_GENOMICS,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-08-09,STARTER_OPEN,GLOBAL_GENOMICS,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-08-16,STARTER_FAILED,GLOBAL_GENOMICS,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-10-18,STARTER_OPEN,GLOBAL_URANIUM_NUCLEAR,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2024-10-25,STARTER_FAILED,GLOBAL_URANIUM_NUCLEAR,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-05-30,STARTER_OPEN,GLOBAL_URANIUM_NUCLEAR,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-06-06,STARTER_FAILED,GLOBAL_URANIUM_NUCLEAR,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-06-13,STARTER_OPEN,GLOBAL_URANIUM_NUCLEAR,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-06-20,NONE,GLOBAL_URANIUM_NUCLEAR,0.25,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-06-27,NONE,GLOBAL_URANIUM_NUCLEAR,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-07-04,STARTER_OPEN,GLOBAL_URANIUM_NUCLEAR,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-07-11,STARTER_FAILED,GLOBAL_URANIUM_NUCLEAR,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-07-25,STARTER_OPEN,GLOBAL_SOLAR,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2025-07-31,STARTER_FAILED,GLOBAL_SOLAR,0.25,0.0,OTHER,CHALLENGER_FAILED_BEFORE_OR_AFTER_CONFIRMATION,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-05-15,STARTER_OPEN,GLOBAL_CYBERSECURITY,0.0,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-05-22,NONE,GLOBAL_CYBERSECURITY,0.25,0.25,EMERGING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-05-29,NONE,GLOBAL_CYBERSECURITY,0.25,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-06-05,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-06-12,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
SCALE_IN_STARTER_A_WEEKLY,2026-06-19,NONE,GLOBAL_CYBERSECURITY,0.5,0.5,CONFIRMING,STARTER_A_FROZEN_LADDER,,,,
