module_id,starter_episode_id,family,emerging_signal_date,starter_execution_date,confirming_date,slow_rank1_or_monthly_leader_date,failure_date,became_confirming,became_slow_leader,failed,maximum_allocation,early_entry_return_until_slow_entry,incumbent_return_same_interval,early_entry_value_vs_incumbent,time_saved_calendar_days,warning
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-001,CHINA_INTERNET,2022-06-10,2022-06-13,2022-06-17,,2022-07-15,True,False,True,0.5,0.12522815649551644,-0.17914746543778792,0.30437562193330436,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-002,GLOBAL_GOLD_MINERS,2022-11-11,2022-11-14,,,2022-11-25,False,False,True,0.25,-0.047963999560970416,-0.057640750670241325,0.009676751109270909,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-003,GLOBAL_GOLD_MINERS,2022-11-30,2022-12-01,2022-12-02,,2023-02-10,True,False,True,1.0,0.0618909947531856,0.25260900885026527,-0.19071801409707967,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-004,CHINA_INTERNET,2023-07-28,2023-07-31,,,2023-08-04,False,False,True,0.25,,,,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-005,GLOBAL_SILVER_MINERS,2023-12-01,2023-12-04,,,2023-12-08,False,False,True,0.25,,,,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-006,CHINA_INTERNET,2024-05-10,2024-05-13,2024-05-17,,2024-05-24,True,False,True,0.5,0.029673143545714487,0.017051828584249362,0.012621314961465124,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-007,GLOBAL_GENOMICS,2024-07-19,2024-07-22,,,2024-08-02,False,False,True,0.25,0.04256010396361276,-0.025610833088018592,0.06817093705163135,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-008,GLOBAL_GENOMICS,2024-08-09,2024-08-12,,,2024-08-16,False,False,True,0.25,,,,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-009,GLOBAL_URANIUM_NUCLEAR,2024-10-18,2024-10-21,,,2024-10-25,False,False,True,0.25,,,,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-010,GLOBAL_URANIUM_NUCLEAR,2025-05-30,2025-06-02,,,2025-06-06,False,False,True,0.25,,,,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-011,GLOBAL_URANIUM_NUCLEAR,2025-06-13,2025-06-16,2025-06-20,,,True,False,False,0.5,0.014773240436100732,-0.08382186567931715,0.09859510611541789,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-012,GLOBAL_URANIUM_NUCLEAR,2025-07-04,2025-07-07,,,2025-07-11,False,False,True,0.25,,,,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-013,GLOBAL_SOLAR,2025-07-25,2025-07-28,,,2025-07-31,False,False,True,0.25,,,,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-ST-014,GLOBAL_CYBERSECURITY,2026-05-15,2026-05-18,2026-05-29,,2026-07-31,True,False,True,0.5,0.11929967426709998,0.09791638294974869,0.021383291317351283,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
